Instrument,Company Common Name,Country ISO Code of Headquarters,Organization Status Code
5082931561,S S V Nopphaket Joint Venture,TH,Act
5082931562,PTech Global Joint Venture,TH,Act
5082931564,W & J Automation Joint Venture,TH,Act
5082931566,CF Construction Joint Venture,TH,Act
5082931568,Joint Venture of VChaiwat Civil Partnership and AN2001 Partnership Ltd,TH,Act
5082931572,Maritime International Services Pte Ltd,TH,Act
5082931586,Amazing Logistics and Supply Chain Co Ltd,TH,Act
5082931587,Underground Construction Specialist Co Ltd,TH,Act
5082931601,KTN Import Export & Shipping Co Ltd,TH,Act
5082931608,Colgate-Palmolive Ihq Services Thailand Co Ltd,TH,Act
5082931617,SJP Information System Co Ltd,TH,Act
5082931625,Zhong Fu Construction International Co Ltd,TH,Act
5082931631,Shinwoo Global Co Ltd,TH,Act
5082931636,TVLK Services Co Ltd,TH,Act
5082931638,Paracom Asia Pacific Co Ltd,TH,Act
5082931648,Dungsavas Co Ltd,TH,Act
5082931664,JDPools Co Ltd,TH,Act
5082931697,Utility Petroleum Co Ltd,TH,Act
5082931715,Royal Inter Travel Co Ltd,TH,Act
5082931722,Zab Mike Inter Group Co Ltd,TH,Act
5082931723,NTP Engineering Co Ltd,TH,Act
5082931724,Nanthiphon Petroleum Co Ltd,TH,Act
5082931725,Lertpattana Construction Co Ltd,TH,Act
5082931733,J Land Logistics Co Ltd,TH,Act
5082931770,Professionals Survey Co Ltd,TH,Act
5082931799,Isuzu Logistics Asia Thailand Co Ltd,TH,Act
5082931800,Kerry-ApexThailand Co Ltd,TH,Act
5082931802,Cleaning Service Solution Co Ltd,TH,Act
5082931809,MEECHAI BEVERAGE COMPANY LIMITED,TH,Act
5082931830,J&J Logistics System Co Ltd,TH,Act
5082931837,Jaratrawee Rungreuangpaisaan Partnership Ltd,TH,Act
5082931846,GRAND UNION ENGINEERING COMPANY LIMITED,TH,Act
5082931856,Se-Project Services Thailand Ltd,TH,Act
5082931861,Kanisorn Import Co Ltd,TH,Act
5082931900,MPP Saka Thailand Co Ltd,TH,Act
5082931909,Bhiraj Total Solutions Co Ltd,TH,Act
5082931926,JP Elite Or Ngoen Co Ltd,TH,Act
5082931935,Bangkok Barge Service Co Ltd,TH,Act
5082931939,Khwanjai Siblor Import Export Partnership Ltd,TH,Act
5082931943,SCG Express Co Ltd,TH,Act
5082931951,FLY Brink Co Ltd,TH,Act
5082931957,Jce-Toa Co Ltd,TH,Act
5082931985,Jaroonrat Product Branch Co Ltd,TH,Act
5082931993,Macau Airlines,TH,Act
5082931996,Trancy Logistics Thailand Branch Co Ltd,TH,Act
5082932000,Serendipity Media Co Ltd,TH,Act
5082932002,Adi Resourcing Co Ltd,TH,Act
5082932012,DENSO (THAILAND) COMPANY LIMITED,TH,Act
5082932023,Information Technology Service Center,TH,Act
5082932028,Sakaeo Teacher Savings and Credit Cooperative Ltd,TH,Act
5082932029,Leschaco Customs Clearance Thailand Ltd,TH,Act
5082932079,Rbis International School,TH,Act
5082932102,Compass East Industry Thailand Public Branch Co Ltd,TH,Act
5082932120,Larsen & Toubro Thailand Branch Ltd,TH,Act
5082932125,Eiger Engineering Ltd,TH,Act
5082932127,Iai Robot Thailand Co Ltd,TH,Act
5082932129,GAA Enterprise Thailand Co Ltd,TH,Act
5082932130,Sripalang International Co Ltd,TH,Act
5082932132,Kas Construction Thai Co Ltd,TH,Act
5082932141,FUTURE TECHNOLOGY SUPPLY COMPANY LIMITED,TH,Act
5082932142,Azimuth Asia Pacific Ltd,TH,Act
5082932145,JVM Supply Co Ltd,TH,Act
5082932146,Testanorm Property Pattaya Co Ltd,TH,Act
5082932191,Naka Vitsavamit Co Ltd,TH,Act
5082932196,Aal Transportation Co Ltd,TH,Act
5082932205,Delta Hydraulics Thailand Ltd,TH,Act
5082932233,SKTTrailer Khonkaen Co Ltd,TH,Act
5082932244,Joint Venture of CHChaiyaphatra Construction and Petchboonma Limi Co Ltd,TH,Act
5082932257,R&T Asia Thailand Co Ltd,TH,Act
5082932264,Joint Venture of See Sang Karn Yotah 1979 and China International Water Co Ltd,TH,Act
5082932269,MT Food Systems Co Ltd,TH,Act
5082932288,PSK Consultants Co Ltd,TH,Act
5082932302,MSTD Enterprise Co Ltd,TH,Act
5082932317,Takatsu MFG Thailand Co Ltd,TH,Act
5082932325,MPMC Joint Venture,TH,Act
5082932344,Orion Machinery Asia Co Ltd,TH,Act
5082932346,Exeo JV,TH,Act
5082932348,Comsys-Ttec JV,TH,Act
5082932353,Joint Venture Between Italian-Thai Development PCL and Alcatel Contracting GMBH,TH,Act
5082932354,Chonburi Sermsup Transport Co Ltd,TH,Act
5082932355,Joint Venture of Hitachi Cable and Kyowa Exeo Corp,TH,Act
5082932367,Italian-Thai Nawarat Patanakarn Joint Venture,TH,Act
5082932372,Bing Samphaothong Joint Venture,TH,Act
5082932373,Ambitech-Yang Ma Joint Venture,TH,Act
5082932375,MCJV Joint Venture,TH,Act
5082932376,Billion Mesh Thai Engineer Joint Venture,TH,Act
5082932381,Cico Rojana Joint Venture,TH,Act
5082932385,Advance Naracon,TH,Act
5082932386,M2 Animation Studio Co Ltd,TH,Act
5082932387,SH-Un Jointventure,TH,Act
5082932390,Prachongkij Karnchang and PCN Tech Co Ltd,TH,Act
5082932391,As First & Rce Joint Venture,TH,Act
5082932392,Un SG Joint Venture,TH,Act
5082932398,S K J T Joint Venture,TH,Act
5082932401,VRP-G Gas Interlogistics Joint Venture,TH,Act
5082932402,F City-SK Joint Venture,TH,Act
5082932404,Rose James Construction Co Ltd,TH,Act
5082932405,PPMR Joint Venture,TH,Act
5082932406,Bangsaen Nont Joint Venture,TH,Act
5082932408,Joint Venture of Modern Technology Consultants and Kraftig Consultant Comp Co Ltd,TH,Act
5082932409,Sarakham Pornphol Intertrade Joint Venture,TH,Act
5082932410,Interpac and PPSN Consult Group,TH,Act
5082932412,Excellent Thaicom 2553 Joint Venture,TH,Act
5082932416,Yuthakarn Interguard and Shine Car Co Ltd,TH,Act
5082932417,QN RC Joint Venture,TH,Act
5082932418,Tips Automobile Co Ltd,TH,Act
5082932419,PS Inter and SAC Joint Venture,TH,Act
5082932420,Joint Venture of Imperial Technology and Dream Maker Creation Limi Co Ltd,TH,Act
5082932439,R & P JV,TH,Act
5082932440,Smart Delight Joint Venture,TH,Act
5082932443,VLP Engineering Joint Venture,TH,Act
5082932451,Joint Venture of Asian Highway and TKJ Associates Co Ltd,TH,Act
5082932453,Thai-Diamond Joint Venture,TH,Act
5082932464,Joint Venture of Panus Assembly and Pricen Thai Co Ltd,TH,Act
5082932471,Unique Chunwo Joint Venture,TH,Act
5082932475,YPMC Joint Venture,TH,Act
5082932476,Amr Mahachai Dockyard Joint Venture,TH,Act
5082932486,Joint Venture of Sri U-Thong and Future Electrical Control,TH,Act
5082932488,at & H2 Oil,TH,Act
5082932489,Precise System & Project and Precise International Ltd Corp,TH,Act
5082932496,at&SST,TH,Act
5082932498,Juaseng Yasothon Partnership and Synsiri Construction Joint Ventur Ltd Co,TH,Act
5082932505,Chaiwit and Somphoch Joint Venture,TH,Act
5082932517,Joint Venture of SNTaveekij and SNK Light & Cool Co Ltd,TH,Act
5082932520,Joint Venture of Khun Tic and SK,TH,Act
5082932524,Seafco & Prayoonchai1984 Jiontventure,TH,Act
5082932529,CPS Logistics Service Co Ltd,TH,Act
5082932538,Prasert Allied Partnership and Thai Rung Poly Tech and Service Joi Ltd Co,TH,Act
5082932541,Joint Venture PPS,TH,Act
5082932542,Whiteline Activation Co Ltd,TH,Act
5082932554,Joint Venture of Ims Cable Communications and Green Information Technology Co Ltd,TH,Act
5082932555,Sikorn and Energy for Envoronment Joint Venture Co Ltd,TH,Act
5082932563,SRST Joint Venture Co Ltd,TH,Act
5082932564,CHPattana-Innova Joint Venture,TH,Act
5082932567,Expert Engineering & Communication and Genius Traffic System Limit Co Ltd,TH,Act
5082932572,S K C P Joint Venture,TH,Act
5082932576,SDD Joint Venture,TH,Act
5082932579,Festo-Subsist Joint Venture,TH,Act
5082932580,Bangkok Technology Engineering and Business and Future Electrical Control Co Ltd,TH,Act
5082932586,ISU Joint Venture,TH,Act
5082932588,Naowarat-Strega Joint Venture,TH,Act
5082932603,Joint Venture of SM Supply Engineering and Secco HV Co Ltd,TH,Act
5082932628,Bangkok Riddle International Co Ltd,TH,Act
5082932630,Joint Venture of Unithai Shipyard and Engineering and Scalde Naval Shipbuilding,TH,Act
5082932640,JBT International Thailand Co Ltd,TH,Act
5082932650,Thanaaekanan Co Ltd,TH,Act
5082932652,Prairie Systems and EquipLimited Hollywood International Ltd,TH,Act
5082932659,Joint Venture of Samakkee Chonlasith Karnchang,TH,Act
5082932662,Medlog Thai Depot Co Ltd,TH,Act
5082932669,Joint Venture of BSU 03,TH,Act
5082932675,Joint Venture of Genius,TH,Act
5082932680,Siam-Asia Joint Venture Ltd,TH,Act
5082932685,Ground Tech Right Tunnelling Joint Venture Co Ltd,TH,Act
5082932690,Sapsinsiam Joint Venture,TH,Act
5082932691,Calsonic Kansei Thailand Plant 2 Co Ltd,TH,Act
5082932692,Calsonic Kansei Thailand Via Logistics Co Ltd,TH,Act
5082932693,Bangpoo Muang Sa-Ard Joint Venture,TH,Act
5082932718,Joint Venture of Siemens Siemens Ag Ibm Thailand and Por Co Ltd,TH,Act
5082932721,Joint Venture of SG Bang Saen World Multilink,TH,Act
