Instrument,NAICS Sector Name,Legal Entity ID (LEI),NAICS Sector Code
5062225410,Manufacturing,83680080YMV0L4TNA921,31-33
5062227372,Manufacturing,300300Z1265733000071,31-33
5062228295,Manufacturing,65560024W2WTV8B4TG26,31-33
5062228571,Manufacturing,83680045ZL3HUH78P378,31-33
5062231201,Wholesale Trade,655600H09WLKLWKO0R32,42
5062234497,Wholesale Trade,655600T9G6SXFZCL3L28,42
5060885115,Administrative and Support and Waste Management and Remediation Services,529900LY1J74VWC41Z02,56
5060885598,Administrative and Support and Waste Management and Remediation Services,529900J9IPK3Z4Y67X26,56
5060885677,"Professional, Scientific, and Technical Services",391200DDFUGPCUHIMN90,54
5060885724,"Professional, Scientific, and Technical Services",3912008TP3LS1Q6TIO68,54
5060885798,Administrative and Support and Waste Management and Remediation Services,984500979F2I0BAT8432,56
5060885808,"Professional, Scientific, and Technical Services",391200THAWKX4SK7WO58,54
5060886063,"Professional, Scientific, and Technical Services",984500CEBE5A8877K108,54
5060886176,"Professional, Scientific, and Technical Services",391200PV6LKQLXOWYT72,54
5060886462,Administrative and Support and Waste Management and Remediation Services,984500F5BF7951AC0B23,56
5060886746,Educational Services,391200A07U4MNUAIQD57,61
5060886935,Administrative and Support and Waste Management and Remediation Services,391200WQD8QWYGEYKY20,56
5060886976,Administrative and Support and Waste Management and Remediation Services,3912002SPMMIEJZ2EI68,56
5060887014,"Professional, Scientific, and Technical Services",9845001FCH8B63A09219,54
5060887566,Retail Trade,9845004A8E6C783F6813,44-45
5060887941,Administrative and Support and Waste Management and Remediation Services,894500LIMS08SG1JTA41,56
5060888086,"Professional, Scientific, and Technical Services",529900XCVJGAANQ07Z26,54
5060888148,"Professional, Scientific, and Technical Services",391200GOSDQWKXWU3T19,54
5060888225,Administrative and Support and Waste Management and Remediation Services,5299004V0UHM191HVU61,56
5060888449,"Professional, Scientific, and Technical Services",391200Y931HWZJYIX011,54
5060888972,"Professional, Scientific, and Technical Services",984500Q8AN8F90568440,54
5060888987,Administrative and Support and Waste Management and Remediation Services,391200XYURSA8HKFTU23,56
5060889616,Finance and Insurance,391200TTDEHKB2BF1Z04,52
5062389128,Construction,549300Q3DMLBDIIEKJ69,23
5062455107,Wholesale Trade,549300CLHKXVYR9DC939,42
5063313957,"Mining, Quarrying, and Oil and Gas Extraction",5493001IHGLU1X18S133,21
5063735128,Manufacturing,254900IA1W1AO9A5ND42,31-33
5063737684,Retail Trade,2549007LD7P32LE32R44,44-45
5063770819,Wholesale Trade,5493007R088XMVHY0B60,42
5064611730,Manufacturing,5493001WIMSXKSJN7N79,31-33
5064705883,Manufacturing,549300OAMUEPKVEO9U08,31-33
5065875254,Manufacturing,8945009DYQQYD87W5Q90,31-33
5066620732,Wholesale Trade,894500QKBV55W4Z5HR72,42
5067159856,Manufacturing,959800CT50G9ZYHR6M79,31-33
5067168389,Manufacturing,549300VJXX4CL6IUWX64,31-33
5067179420,Manufacturing,529900BE9WK22I0YSW74,31-33
5067496226,Manufacturing,549300TTZ2SWA1327P17,31-33
5068308116,Wholesale Trade,549300LEYZVMRO25IK77,42
5068340548,Manufacturing,549300Z4VK4GSH1X0129,31-33
5068476941,"Agriculture, Forestry, Fishing and Hunting",8945000A0ECOGIX21B54,11
5071532292,Wholesale Trade,254900UJTOEU1QIMM466,42
5071536410,Manufacturing,5493006TJSDD5JUHH815,31-33
5073093345,Manufacturing,984500CBE8988BD5EA05,31-33
5073622555,"Agriculture, Forestry, Fishing and Hunting",254900755BZ9YBHMWA65,11
