Instrument,Organization Ultimate Parent,Ultimate Parent Id,Country ISO2 Code of Ultimate Parent Headquarters
5082931830,BSP Holding Co Ltd,5083193407.0,TH
5082931943,Siam Cement PCL,4295892800.0,TH
5082931985,JAROONRAT PRODUCTS COMPANY LIMITED,5062379877.0,TH
5082931996,Trancy Logistics Thailand Co Ltd,5037054463.0,TH
5082932002,Adi Resourcing Co Ltd,5082932002.0,TH
5082932012,Denso Corp,4295877361.0,JP
5082932029,Leschaco Thailand Co Ltd,5062382962.0,TH
5082932102,Advanced Connection Corporation PCL,4295893184.0,TH
5082932120,Larsen and Toubro Ltd,4295872412.0,IN
5082932127,Iai Holdings KK,5083255171.0,JP
5082932130,Sammitr Green Power Co Ltd,5062390059.0,TH
5082932141,Api Solutions Company Limited,5083194160.0,TH
5082932162,Ushio Inc,4295878516.0,JP
5082932257,R&T Asia Thailand Co Ltd,5082932257.0,TH
5082932344,Orion Machinery Co Ltd,4298189149.0,JP
5082932662,Medlog Thai Depot Co Ltd,5082932662.0,TH
5082932691,KKR Group Co Inc,4297687008.0,US
5082932692,KKR Group Co Inc,4297687008.0,US
5082932922,TIPS Co Ltd,5035311715.0,TH
5082933082,Sonic Interfreight PCL,5062382480.0,TH
5082933133,Capricorn Holdings Ltd,5000808266.0,TH
5082933345,Property Perfect PCL,4295893390.0,TH
5082933351,Asia Precision PCL,5028043672.0,TH
5082933397,C & Y Group Investments Inc,5083107927.0,US
5082933427,Poem Corp Co Ltd,5085540227.0,TH
5082933525,Technip Energies NV,5079697919.0,FR
5082933532,Hayman Group Ltd,5083191463.0,TH
5082933552,Triple i Logistics PCL,5055456755.0,TH
5082933614,Beiqi Foton Motor Co Ltd,5079920127.0,CN
5082933670,V&A Holdings Co Ltd,5047105558.0,TH
5082933679,Lazada Express Holding Co Ltd,5083102577.0,TH
5082933705,Kasikornbank PCL,4295893041.0,TH
5082933720,SC Management Co Ltd,5050308664.0,TH
5082933736,Peri Werk Artur Schwoerer GmbH & Co KG,5000925235.0,DE
5082933772,SC Group Holding Co Ltd,5066565723.0,TH
5082933784,Takashimaya Co Ltd,4295877977.0,JP
5082933786,PP Land Property Co Ltd,5048738997.0,TH
5082933799,Sierra Infrastructure Holding Co Ltd,5079920218.0,TH
5082933822,DTGO Prosperous Co Ltd,5082933822.0,TH
5082933891,Sahathai Terminal PCL,5056387792.0,TH
5082934125,Delta Kogyo Co Ltd,4296681953.0,JP
5082934149,Wuxi Haiyue Investment Enterprise LP,5066564605.0,CN
5082934246,A G R Group Holding Co Ltd,5079920236.0,TH
5082934337,Thai Industrial Parts Co Ltd,5055445102.0,TH
5082934452,D Aman Croup Co Ltd,5083194231.0,TH
5082934519,INTELLICOMP MANAGEMENT COMPANY LIMITED,5083102599.0,TH
5082935111,Ep Story Co Ltd,5082935111.0,TH
5082935376,Siam Winery Holding Co Ltd,5063361123.0,TH
5082935610,CI Group PCL,4295893303.0,TH
5082935611,"Thailand, Kingdom of (Government)",5035526557.0,TH
5082935728,Deutsche Post AG,4295869983.0,DE
5082935736,Asian Marine Services PCL,4295893182.0,TH
5082937481,Thonburi Panich Leasing Co Ltd,5083102455.0,TH
5082937494,Nsf International Holdings,4297800049.0,US
5082937539,RCS Heavy Industries Co Ltd,5082937539.0,TH
5082937649,Japan AMCLTD,5044646446.0,JP
5082937710,Keymove Investment Pte Ltd,5074548292.0,SG
5082937804,Gaew Grung Thai Co Ltd,5035702470.0,TH
5082937956,Expertech & Trade Co Ltd,5083102465.0,TH
5082938056,Vnet Capital Co Ltd,5037589831.0,TH
5082938136,Mahachok Asset Co Ltd,5082938136.0,TH
5082938161,SIRIVATANA INTERPRINT PUBLIC COMPANY LIMITED,5062378622.0,TH
