Instrument,NAICS Sector Name,Legal Entity ID (LEI),NAICS Sector Code
5060884500,Information,,51
5060884519,Administrative and Support and Waste Management and Remediation Services,,56
5060884520,Administrative and Support and Waste Management and Remediation Services,,56
5060884527,"Professional, Scientific, and Technical Services",,54
5060884531,"Professional, Scientific, and Technical Services",,54
5060884533,Administrative and Support and Waste Management and Remediation Services,,56
5060884540,Administrative and Support and Waste Management and Remediation Services,,56
5060884541,Administrative and Support and Waste Management and Remediation Services,,56
5060884547,"Professional, Scientific, and Technical Services",,54
5060884550,Administrative and Support and Waste Management and Remediation Services,,56
5060884554,Administrative and Support and Waste Management and Remediation Services,,56
5060884555,Administrative and Support and Waste Management and Remediation Services,,56
5060884556,"Professional, Scientific, and Technical Services",,54
5060884564,Administrative and Support and Waste Management and Remediation Services,,56
5060884580,Administrative and Support and Waste Management and Remediation Services,,56
5060884581,Administrative and Support and Waste Management and Remediation Services,,56
5060884583,"Professional, Scientific, and Technical Services",,54
5060884584,Administrative and Support and Waste Management and Remediation Services,,56
5060884591,Administrative and Support and Waste Management and Remediation Services,,56
5060884603,Administrative and Support and Waste Management and Remediation Services,,56
5060884607,Administrative and Support and Waste Management and Remediation Services,,56
5060884616,Administrative and Support and Waste Management and Remediation Services,,56
5060884618,Administrative and Support and Waste Management and Remediation Services,,56
5060884621,Administrative and Support and Waste Management and Remediation Services,,56
5060884625,Administrative and Support and Waste Management and Remediation Services,,56
5060884627,Administrative and Support and Waste Management and Remediation Services,,56
5060884639,Administrative and Support and Waste Management and Remediation Services,,56
5060884645,Administrative and Support and Waste Management and Remediation Services,,56
5060884648,"Professional, Scientific, and Technical Services",,54
5060884655,Administrative and Support and Waste Management and Remediation Services,,56
5060884656,Administrative and Support and Waste Management and Remediation Services,,56
5060884659,Administrative and Support and Waste Management and Remediation Services,,56
5060884663,"Professional, Scientific, and Technical Services",,54
5060884664,"Professional, Scientific, and Technical Services",,54
5060884665,Administrative and Support and Waste Management and Remediation Services,,56
5060884667,Administrative and Support and Waste Management and Remediation Services,,56
5060884678,Administrative and Support and Waste Management and Remediation Services,,56
5060884681,Administrative and Support and Waste Management and Remediation Services,,56
5060884685,Administrative and Support and Waste Management and Remediation Services,,56
5060884689,Administrative and Support and Waste Management and Remediation Services,,56
5060884693,Administrative and Support and Waste Management and Remediation Services,,56
5060884694,Administrative and Support and Waste Management and Remediation Services,,56
5060884698,Administrative and Support and Waste Management and Remediation Services,,56
5060884704,Administrative and Support and Waste Management and Remediation Services,,56
5060884707,Administrative and Support and Waste Management and Remediation Services,,56
5060884717,Administrative and Support and Waste Management and Remediation Services,,56
5060884720,Administrative and Support and Waste Management and Remediation Services,,56
5060884728,"Professional, Scientific, and Technical Services",,54
5060884731,Administrative and Support and Waste Management and Remediation Services,,56
5060884738,"Professional, Scientific, and Technical Services",,54
5060884740,Administrative and Support and Waste Management and Remediation Services,,56
5060884742,Administrative and Support and Waste Management and Remediation Services,,56
5060884743,Administrative and Support and Waste Management and Remediation Services,,56
5060884756,"Professional, Scientific, and Technical Services",,54
5060884758,"Professional, Scientific, and Technical Services",,54
5060884769,Administrative and Support and Waste Management and Remediation Services,,56
5060884778,"Professional, Scientific, and Technical Services",,54
5060884786,Administrative and Support and Waste Management and Remediation Services,,56
5060884787,Administrative and Support and Waste Management and Remediation Services,,56
5060884803,Administrative and Support and Waste Management and Remediation Services,,56
5060884805,Administrative and Support and Waste Management and Remediation Services,,56
5060884809,Administrative and Support and Waste Management and Remediation Services,,56
5060884815,Administrative and Support and Waste Management and Remediation Services,,56
5060884817,Administrative and Support and Waste Management and Remediation Services,,56
5060884825,"Professional, Scientific, and Technical Services",,54
5060884826,Administrative and Support and Waste Management and Remediation Services,,56
5060884835,Administrative and Support and Waste Management and Remediation Services,,56
5060884841,"Professional, Scientific, and Technical Services",,54
5060884850,Administrative and Support and Waste Management and Remediation Services,,56
5060884851,Administrative and Support and Waste Management and Remediation Services,,56
5060884852,Administrative and Support and Waste Management and Remediation Services,,56
5060884856,"Professional, Scientific, and Technical Services",,54
5060884858,Administrative and Support and Waste Management and Remediation Services,,56
5060884865,Administrative and Support and Waste Management and Remediation Services,,56
5060884866,"Professional, Scientific, and Technical Services",,54
5060884867,"Professional, Scientific, and Technical Services",,54
5060884869,"Professional, Scientific, and Technical Services",,54
5060884887,Administrative and Support and Waste Management and Remediation Services,,56
5060884892,Administrative and Support and Waste Management and Remediation Services,,56
5060884895,Other Services (except Public Administration),,81
5060884901,Administrative and Support and Waste Management and Remediation Services,,56
5060884902,Administrative and Support and Waste Management and Remediation Services,,56
5060884909,Administrative and Support and Waste Management and Remediation Services,,56
5060884913,"Professional, Scientific, and Technical Services",,54
5060884915,Administrative and Support and Waste Management and Remediation Services,,56
5060884917,Administrative and Support and Waste Management and Remediation Services,,56
5060884918,Administrative and Support and Waste Management and Remediation Services,,56
5060884925,Administrative and Support and Waste Management and Remediation Services,,56
5060884928,Administrative and Support and Waste Management and Remediation Services,,56
5060884932,Administrative and Support and Waste Management and Remediation Services,,56
5060884942,"Professional, Scientific, and Technical Services",,54
5060884945,"Professional, Scientific, and Technical Services",,54
5060884953,Administrative and Support and Waste Management and Remediation Services,,56
5060884954,Administrative and Support and Waste Management and Remediation Services,,56
5060884960,"Professional, Scientific, and Technical Services",,54
5060884962,Administrative and Support and Waste Management and Remediation Services,,56
5060884963,"Professional, Scientific, and Technical Services",,54
5060884978,Administrative and Support and Waste Management and Remediation Services,,56
5060884980,Administrative and Support and Waste Management and Remediation Services,,56
5060884982,Administrative and Support and Waste Management and Remediation Services,,56
5060884983,"Professional, Scientific, and Technical Services",,54
5060885013,Administrative and Support and Waste Management and Remediation Services,,56
5060885017,Administrative and Support and Waste Management and Remediation Services,,56
5060885024,Administrative and Support and Waste Management and Remediation Services,,56
5060885027,Administrative and Support and Waste Management and Remediation Services,,56
5060885030,Administrative and Support and Waste Management and Remediation Services,,56
5060885033,Administrative and Support and Waste Management and Remediation Services,,56
5060885035,"Professional, Scientific, and Technical Services",,54
5060885039,Administrative and Support and Waste Management and Remediation Services,,56
5060885044,"Professional, Scientific, and Technical Services",,54
5060885052,"Professional, Scientific, and Technical Services",,54
5060885055,Administrative and Support and Waste Management and Remediation Services,,56
5060885061,Administrative and Support and Waste Management and Remediation Services,,56
5060885072,Administrative and Support and Waste Management and Remediation Services,,56
5060885078,"Professional, Scientific, and Technical Services",,54
5060885081,"Professional, Scientific, and Technical Services",,54
5060885090,Administrative and Support and Waste Management and Remediation Services,,56
5060885093,Construction,,23
5060885094,Administrative and Support and Waste Management and Remediation Services,,56
5060885097,Administrative and Support and Waste Management and Remediation Services,,56
5060885099,Administrative and Support and Waste Management and Remediation Services,,56
5060885104,"Professional, Scientific, and Technical Services",,54
5060885105,"Professional, Scientific, and Technical Services",,54
5060885114,Administrative and Support and Waste Management and Remediation Services,,56
5060885115,Administrative and Support and Waste Management and Remediation Services,529900LY1J74VWC41Z02,56
5060885116,Administrative and Support and Waste Management and Remediation Services,,56
5060885117,"Professional, Scientific, and Technical Services",,54
5060885132,Administrative and Support and Waste Management and Remediation Services,,56
5060885140,"Professional, Scientific, and Technical Services",,54
5060885142,Administrative and Support and Waste Management and Remediation Services,,56
5060885146,"Professional, Scientific, and Technical Services",,54
5060885147,Administrative and Support and Waste Management and Remediation Services,,56
5060885152,Administrative and Support and Waste Management and Remediation Services,,56
5060885158,Administrative and Support and Waste Management and Remediation Services,,56
5060885168,Administrative and Support and Waste Management and Remediation Services,,56
5060885170,Administrative and Support and Waste Management and Remediation Services,,56
5060885173,Administrative and Support and Waste Management and Remediation Services,,56
5060885174,Administrative and Support and Waste Management and Remediation Services,,56
5060885179,Administrative and Support and Waste Management and Remediation Services,,56
5060885180,Administrative and Support and Waste Management and Remediation Services,,56
5060885181,Administrative and Support and Waste Management and Remediation Services,,56
5060885184,Administrative and Support and Waste Management and Remediation Services,,56
5060885188,"Professional, Scientific, and Technical Services",,54
5060885206,Administrative and Support and Waste Management and Remediation Services,,56
5060885224,"Professional, Scientific, and Technical Services",,54
5060885233,"Professional, Scientific, and Technical Services",,54
5060885241,"Professional, Scientific, and Technical Services",,54
5060885247,"Professional, Scientific, and Technical Services",,54
5060885264,Administrative and Support and Waste Management and Remediation Services,,56
5060885265,Administrative and Support and Waste Management and Remediation Services,,56
5060885267,Administrative and Support and Waste Management and Remediation Services,,56
5060885268,Administrative and Support and Waste Management and Remediation Services,,56
5060885281,Administrative and Support and Waste Management and Remediation Services,,56
5060885287,Administrative and Support and Waste Management and Remediation Services,,56
5060885289,Administrative and Support and Waste Management and Remediation Services,,56
5060885296,Administrative and Support and Waste Management and Remediation Services,,56
5060885297,Administrative and Support and Waste Management and Remediation Services,,56
5060885302,"Professional, Scientific, and Technical Services",,54
