Instrument,Organization Ultimate Parent,Ultimate Parent Id,Country ISO2 Code of Ultimate Parent Headquarters
5040933966,Daloc Futura AB,4297677277,SE
5040934228,Boe Invest AS,5083548961,NO
5040934387,Nefab Packaging AB,4298452512,SE
5040934389,L T L AS,5038915014,NO
5040934391,Gjodsel A/S,5040934391,NO
5040934394,,,
5040934440,,,
5040934642,SMBG Holding AS,5078521669,NO
5040934798,,,
5040934829,,,
5040934832,,,
5040935378,Lagercrantz Group AB,4295890479,SE
5040935472,Freddy Rybom As,5040935472,NO
5040935473,,,
5040935509,PJT Holding AS,5053431650,NO
5040935598,Erling Freitag As,5040935598,NO
5040935601,Glassfiber Holding As,5076391975,NO
5040935707,,,
5040935710,Ternen As,5046294923,NO
5040935733,Hibernian Holding As,5042956488,NO
5040935778,Ivar Brathen Mekaniske As,5040935778,NO
5040935786,,,
5040935805,Billakkspesialisten As,5040935805,NO
5040935981,,,
5040936224,Visnes Kalk Og Marmorbrudd As,5044744836,NO
5040936236,Brodr Borgen Ferdigbetong As,5040936236,NO
5040936237,Sotra Takstol As,5040936237,NO
5040936268,,,
5040936277,Roto Holding AS,5083289006,NO
5040936425,Hiller Holding As,5044253194,NO
5040936593,Aerosols Sweden AB,4298313577,SE
5040936670,Norsk Etikett Holding AS,5083551639,NO
5040936695,Alpen Holding AS,5044705028,NO
5040936962,CNC Produkter As,5040936962,NO
5040936963,,,
5040937024,Tapwell Aktiebolag,5044689603,SE
5040937027,VF Holding As,5055461282,NO
5040937038,Jervbekken Holding As,5046288029,NO
5040937050,Leander Holding AS,5083551031,NO
5040937078,Nr 13 Holding AS,5042957016,NO
5040937092,,,
5040937101,Smed T Kristiansen As,5040937101,NO
5040937137,Albert Fjeld As,5040937137,NO
5040937241,,,
5040937274,Pamica 2 AB,5063195218,SE
5040937450,H Henriksen As,5040937450,NO
5040937492,Seland Eiendom As,5044744835,NO
5040937497,Tresgaard Invest AS,5041978721,NO
5040937520,,,
5040937524,,,
5040937536,Roald Invest As,5044175347,NO
5040937540,Fosheim Sag AS,5040937540,NO
5040937553,,,
5040937555,Hallingdal Betong As,5040937555,NO
5040937614,,,
5040937649,Svein A Hallonen As,5040937649,NO
5040937677,,,
5040937708,,,
5040937711,,,
5040937814,Finnsitt As,5044724148,NO
5040937980,Tomma Invest AS,5051759105,NO
5040937986,Runar Botnen As,5042955836,NO
5040937999,,,
5040938038,Helseth Invest AS,5043436703,NO
5040938057,Sunnfjord Betong As,5040938057,NO
5040938066,,,
5040938088,,,
5040938144,,,
5040938153,Recama AS,5042956490,NO
5040938156,,,
5040938167,,,
5040938210,Ha Element As,5040938210,NO
5040938213,Gunnar Hippe Eiendom As,5042956776,NO
5040938241,Nordvestvinduet AS,5040938241,NO
5040938256,Stone Gallery,5037996242,
5040938302,Niras Holding As,5042956643,NO
5040938307,,,
5040938343,Tore Olsen Holding As,5052517286,NO
5040938348,Katfos Holding As,5042956594,NO
5040938350,Flaen Sag & Hovleri As,5040938350,NO
5040938369,,,
5040938389,OLAISEN GRUPPEN AS,5076390165,NO
5040938428,Klepsvik & Sonn As,5040938428,NO
5040938460,,,
5040938533,,,
5040938537,Lid Holding As,5044173327,NO
5040938605,,,
5040938617,Loddesol Sagbruk & Hovleri As,5040938617,NO
5040938619,Tokvam Industrier AS,5086894991,NO
5040938881,,,
5040938883,GF Inveco A/S,5038912867,DK
5040938925,,,
5040938965,West Mekan Produksjon As,5040938965,NO
5040939008,Gedigen Holding As,5046725535,NO
5040939098,Helitep Holding AS,5086870499,NO
5040939135,,,
5040939142,,,
5040939177,We Kings Holding As,5042956437,NO
5040939243,Arve G Flatin As,5044712029,NO
5040939314,Mineral Commodities Ltd,4295857955,AU
5040939315,,,
5040939319,CORUM INTERNATIONAL S.A.,5039613209,
5040939434,,,
5040939494,Troodon Sp z o o,5057822157,PL
5040939496,Industrisveis As,5040939496,NO
5040939498,Forde Stal As,5040939498,NO
5040939503,Eide Stein As,5040939503,NO
5040939520,Just Holding As,5044175458,NO
5040939522,Ikm Gruppen AS,5051005957,NO
5040939528,Xo Invest AS,5071153601,NO
5040939549,ICL Group Ltd,4295875035,IL
5040939550,,,
5040939639,,,
5040939643,,,
5040939657,,,
5040939661,Halfdan L Solberg Holding AS,5078521672,NO
5040939684,,,
5040939687,Kongsberg Interior As,5040939687,NO
5040939752,Norske Metallfasader As,5040939752,NO
5040939754,,,
5040939757,Reklameservice Eiendom As,5042957004,NO
5040939806,Lycro Holding AS,5044035496,NO
5040939932,Rupro As,5040939932,NO
5040939995,Con-Form Bergen As,5040939995,NO
5040940002,,,
5040940004,,,
5040940047,Ad Metam AS,5040940047,NO
5040940053,,,
5040940061,,,
5040940075,,,
5040940153,Storegga AS,5044717547,NO
5040940161,Aquatiq AS,5044773342,NO
5040940208,Erland Slaatto Eiendom AS,5081170937,NO
5040940209,,,
5040940216,,,
5040940219,Raufoss Tak Og Blikk As,5040940219,NO
5040940249,BYGG Og Energi Systemer As,5040940249,NO
5040940289,,,
5040940363,,,
5040940522,Steinriket Holding AS,5057756988,NO
5040940533,TP Products Holding AS,5044676120,NO
5040940582,,,
5040940664,Shelby AS,5086563028,NO
5040940718,,,
5040940731,Ardal Invest AS,5044717556,NO
5040940885,Hibernian Holding As,5042956488,NO
5040940890,,,
5040941180,Compagnie de Saint Gobain SA,4295867362,FR
5040941266,Oslo VVS Senter As,5040941266,NO
5040941282,TL Invest As,5044590258,NO
5040941357,Advokatfirmaet Thommessen As,5001106232,NO
5040941361,Sotra Trelast As,5040941361,NO
5040941372,,,
5040941374,,,
5040941377,Vector Knife Holdings Cayman Ltd,5035705317,
5040944961,Woxen Invest AS,5044700189,NO
5040945179,K Invest AS,5042953654,NO
5040945192,Frisema AS,5078521467,NO
5040945385,Intermec AS,5040945385,NO
5040945644,,,
5040945646,,,
5040945656,Gam Holding As,5044173303,NO
5040945665,Solvberget Investeringsselskab As,5043320919,NO
5040945706,Nylund As,5044782687,NO
5040945813,Algol Oy,4295968377,FI
5040945819,,,
5040945827,NSL Eiendom & Invest As,5049107384,NO
5040945828,,,
5040945836,,,
5040945880,,,
5040945889,Protecta Group As,5044199305,NO
5040945899,,,
5040945938,,,
5040945975,,,
5040946421,,,
5041748646,,,
5041748767,Sportlov Topco AS,5073148364,NO
5041748922,,,
5041748945,,,
5041749244,Kvinnherad BYGG As,5041749244,NO
5041749808,Kasu AS,5038914926,NO
5041749821,,,
5041749963,Tomo Industrier AS,5057757027,NO
5041749990,,,
5041750368,,,
5041750524,Gunnar Nordbo AS,5038913261,
5041750685,Luncon Holding AS,5042212854,NO
5041750699,Daimyo AS,5037631502,NO
5041750701,,,
5041750723,Allskog SA,4298292184,NO
5041751459,Zurhaar & Rubb AS,5038909445,NO
5041758996,Fast Wood AS,5053434253,NO
5041758997,,,
5041759002,,,
5041759220,Gilje Tre As,4297356808,NO
5041827356,,,
5041945981,Agnar Skatun As,5041945981,NO
5041964090,,,
5041964100,,,
5041972998,,,
5041976760,,,
5041976799,Arne Tysnes As,5041976799,NO
5041978702,Cordim Holding AB,5066562175,SE
5041978721,Jiyuan Packaging Holdings Ltd,5051397053,KY
5041980166,Solskjermingsgruppen Holding As,5041980166,NO
5041980497,,,
5042212854,Luncon Holding AS,5042212854,NO
5042213553,Nor-Safe Per Halsli,5042213553,NO
5042214061,,,
5042216993,,,
5042217138,Ak Gruppen As,5042217138,NO
5042217312,,,
5042218024,,,
5042218071,Thomas Concrete Group AB,4297465543,SE
5042218283,Stena AB,4295890300,SE
5042218730,Westgroup As,5042218730,NO
5042218735,,,
5042222286,,,
5042222306,,,
5042222349,,,
5042230428,,,
5042236226,,,
5042238426,,,
5042240933,,,
5042270879,Stiftelsen Norsar,5042270888,NO
5042953654,,,
5042953719,,,
5042953951,,,
5042953968,Solberg Industri Holding AS,5042953968,NO
5042954199,Con-Son Invest As,5042954199,NO
5042954310,,,
5042954579,,,
5042954917,,,
5042955081,,,
5042955309,,,
5042955501,,,
5042955570,BBR Polska holding Sp z o o,5039613691,PL
5042955616,,,
5042955618,Bringo Holding AS,5042955618,NO
5042955633,Gustav Og John Hagen As,5042955633,NO
5042955930,Haucon Holding As,5042955930,NO
5042955946,,,
5042955965,BYGG Invest AS,5056411503,NO
5042956038,,,
5042956134,Jol AS,5042212703,NO
5042956162,,,
5042956436,Leigland As,5038912079,NO
5042956488,Hibernian Holding As,5042956488,NO
5042956622,Sjovik Group AS,5078521579,NO
5042956643,Niras Holding As,5042956643,NO
5042956645,,,
