Instrument,TRBC Industry Group Name,SIC Industry Code,GICS Sub-Industry Code
5062141525,Chemicals,,
5062141531,Paper & Forest Products,,
5062141606,Construction Materials,,
5062141620,Paper & Forest Products,,
5062141622,Construction Materials,,
5062141682,Paper & Forest Products,,
5062141725,Paper & Forest Products,,
5062141750,Construction Materials,,
5062141836,Metals & Mining,,
5062141849,Paper & Forest Products,,
5062141853,Paper & Forest Products,,
5062141890,Construction Materials,,
5062141903,Metals & Mining,,
5062141930,Chemicals,,
5062141990,Construction Materials,,
5062142061,Chemicals,,
5062142072,Metals & Mining,,
5062142091,Paper & Forest Products,,
5062142148,Paper & Forest Products,,
5062142181,Paper & Forest Products,,
5062142221,Chemicals,,
5062142291,Metals & Mining,,
5062142378,Paper & Forest Products,,
5062142380,Paper & Forest Products,,
5062142502,Metals & Mining,,
5062142532,Paper & Forest Products,,
5062142566,Metals & Mining,,
5062142571,Paper & Forest Products,,
5062142630,Metals & Mining,,
5062142636,Paper & Forest Products,,
5062142644,Paper & Forest Products,,
5062142688,Construction Materials,,
5062142731,Metals & Mining,,
5062142734,Metals & Mining,,
5062142743,Metals & Mining,,
5062142760,Paper & Forest Products,,
5062142802,Paper & Forest Products,,
5062142830,Paper & Forest Products,,
5062142833,Paper & Forest Products,,
5062142911,Metals & Mining,,
5062142915,Metals & Mining,,
5062142930,Metals & Mining,,
5062142945,Metals & Mining,,
5062142948,Metals & Mining,,
5062142957,Containers & Packaging,,
5062143076,Paper & Forest Products,,
5062143129,Paper & Forest Products,,
5062143137,Paper & Forest Products,,
5062165127,,,
5062165175,Construction Materials,,
5062348416,Metals & Mining,,
5062348482,Paper & Forest Products,,
5062348488,Paper & Forest Products,,
5062348740,Paper & Forest Products,,
5062348741,Paper & Forest Products,,
5062348831,Paper & Forest Products,,
5062348838,Paper & Forest Products,,
5062348839,Paper & Forest Products,,
5062348840,Paper & Forest Products,,
5062349165,Metals & Mining,,
5062351391,Paper & Forest Products,,
5062351433,Metals & Mining,,
5062351441,Metals & Mining,,
5062351467,Paper & Forest Products,,
