Instrument,Total Assets,Date,Total Fixed Assets - Net,Revenue from Business Activities - Total,Intangible Assets - Gross - Total,Full-Time Employees (Pvt),Salaries and Wages from CSR reporting,Revenue from Goods & Services (ASR),Operating Profit before Non-Recurring Income/Expense,Sales per Employee,Labor & Related Expenses - Total,"Employees Full-Time/Full-Time Equiv Period End (BUS,ASR)",Cost of Operating Revenue,Market Capitalization,International/Export Sales - Geographic Segment,Cost of Revenues - Total,Stock Based Compensation - Mean,Labor Expenses including Stock-Based Compensation in COGS,Intangible Assets - excluding Goodwill - Gross - Total (ASR)
5082933679,86964752.5962126,2020,,220543561.255236,,,,,-52107325.5759416,,,,,,,,,,
5082938183,3828192.20430108,2019,,,,,,,,,,,,,,,,,
5060884500,81779.5251976344,2017,,,,,,,,,,,,,,,,,
5060884500,42710.6385906964,2018,,,,,,,,,,,,,,,,,
5060884500,63636.5491110463,2019,,,,,,,,,,,,,,,,,
5060884500,168090.241817294,2020,,,,,,,,,,,,,,,,,
5060884519,27627.5336417157,2016,,,,,,,,,,,,,,,,,
5060884519,32193.7476757716,2017,,,,,,,,,,,,,,,,,
5060884519,31340.4899532067,2018,,,,,,,,,,,,,,,,,
5060884519,31258.5476313253,2019,,,,,,,,,,,,,,,,,
5060884520,29025.5318686808,2015,,,,,,,,,,,,,,,,,
5060884520,28098.1917577797,2016,,,,,,,,,,,,,,,,,
5060884520,35132.7359316707,2017,,,,,,,,,,,,,,,,,
5060884520,38816.6345536288,2018,,,,,,,,,,,,,,,,,
5060884520,39602.7173060108,2019,,,,,,,,,,,,,,,,,
5060884527,162981.907233848,2015,,,,6.0,,,,,,,,,,,,,
5060884527,191600.042052145,2016,,,,6.0,,,,,,,,,,,,,
5060884527,371578.148054846,2017,,,,6.0,,,,,,,,,,,,,
5060884527,395842.967244701,2018,,,,,,,,,,,,,,,,,
5060884527,271484.586238594,2019,,,,,,,,,,,,,,,,,
5060884531,91710.6812447435,2016,,,,,,,,,,,,,,,,,
5060884531,182185.098547282,2017,,,,,,,,,,,,,,,,,
5060884533,61103.6803420382,2006,,,,,,,,,,,,,,,,,
5060884533,69554.0010212269,2007,,,,,,,,,,,,,,,,,
5060884533,37753.8754001202,2008,,,,,,,,,,,,,,,,,
5060884533,40255.5546011567,2009,,,,,,,,,,,,,,,,,
5060884533,40458.0964483981,2010,,,,,,,,,,,,,,,,,
5060884533,42625.0873786408,2011,,,,,,,,,,,,,,,,,
5060884533,42513.9507989908,2016,,,,1.0,,,,,,,,,,,,,
5060884533,52265.4478713067,2017,,,,1.0,,,,,,,,,,,,,
5060884533,50892.7080466098,2018,,,,,,,,,,,,,,,,,
5060884533,51158.4198372307,2019,,,,1.0,,,,,,,,,,,,,
5060884533,57546.2017586712,2020,,,,1.0,,,,,,,,,,,,,
5060884540,16547.8220262595,2015,,,,,,,,,,,,,,,,,
5060884540,18346.1206896552,2016,,,,,,,,,,,,,,,,,
5060884540,24053.010400547,2017,,,,,,,,,,,,,,,,,
5060884540,24995.6762088265,2018,,,,,,,,,,,,,,,,,
5060884540,26862.4419882071,2019,,,,,,,,,,,,,,,,,
5060884540,20844.4553004397,2020,,,,,,,,,,,,,,,,,
5060884541,317920.577722664,2007,,,,,,,,,,,,,,,,,
5060884541,323591.716638012,2008,,,,,,,,,,,,,,,,,
5060884541,301367.076103762,2009,,,,,,,,,,,,,,,,,
5060884541,277090.508996054,2010,,,,,,,,,,,,,,,,,
5060884541,249139.171521036,2011,,,,,,,,,,,,,,,,,
5060884541,248638.339138695,2012,,,,1.0,,,,,,,,,,,,,
5060884541,248457.321934189,2013,,,,1.0,,,,,,,,,,,,,
5060884541,183328.022742394,2014,,,,1.0,,,,,,,,,,,,,
5060884541,170410.052019418,2015,,,,1.0,,,,,,,,,,,,,
5060884541,124585.19764508,2016,,,,1.0,,,,,,,,,,,,,
5060884541,129549.225657082,2017,,,,1.0,,,,,,,,,,,,,
5060884541,106323.057161207,2018,,,,,,,,,,,,,,,,,
5060884541,45472.9390399749,2019,,,,,,,,,,,,,,,,,
5060884547,35014.2374648407,2015,,,,6.0,,,,,,,,,,,,,
5060884547,404941.736753575,2016,,,,6.0,,,,,,,,,,,,,
5060884547,359050.971077602,2017,,,,6.0,,,,,,,,,,,,,
5060884547,346011.021653363,2018,,,,,,,,,,,,,,,,,
5060884547,387081.407080241,2019,,,,,,,,,,,,,,,,,
5060884550,75285.1265591947,2007,,,,,,,,,,,,,,,,,
5060884550,76818.1043038258,2008,,,,,,,,,,,,,,,,,
5060884550,83234.9825345015,2009,,,,,,,,,,,,,,,,,
5060884550,84469.88161327,2010,,,,,,,,,,,,,,,,,
5060884550,86038.3948220065,2011,,,,,,,,,,,,,,,,,
5060884550,85220.8273150813,2015,,,,,,,,,,,,,,,,,
5060884550,84388.0677039529,2016,,,,,,,,,,,,,,,,,
5060884550,95094.9964611749,2017,,,,,,,,,,,,,,,,,
5060884550,91899.73850812,2018,,,,,,,,,,,,,,,,,
5060884550,90715.6805596036,2019,,,,,,,,,,,,,,,,,
5060884554,46605.787056671,2006,,,,,,,,,,,,,,,,,
5060884555,52139.2556770395,2016,,,,,,,,,,,,,,,,,
5060884555,66203.6803781145,2017,,,,,,,,,,,,,,,,,
5060884555,64659.6476740985,2018,,,,,,,,,,,,,,,,,
5060884555,63980.4609555411,2019,,,,,,,,,,,,,,,,,
5060884556,6858.92556770395,2016,,,,1.0,,,,,,,,,,,,,
5060884556,31154.4007389547,2017,,,,1.0,,,,,,,,,,,,,
5060884556,10281.6428112671,2018,,,,,,,,,,,,,,,,,
5060884556,10641.3357845885,2019,,,,,,,,,,,,,,,,,
5060884556,23528.9570102589,2020,,,,,,,,,,,,,,,,,
5060884564,31086.417157275,2016,,,,,,,,,,,,,,,,,
5060884564,41041.878096472,2017,,,,,,,,,,,,,,,,,
5060884564,39866.1001009267,2018,,,,,,,,,,,,,,,,,
5060884564,40356.1195435285,2019,,,,,,,,,,,,,,,,,
5060884580,53843.047729642,2006,,,,,,,,,,,,,,,,,
5060884580,62490.2472828069,2007,,,,,,,,,,,,,,,,,
5060884580,61879.7612557834,2008,,,,,,,,,,,,,,,,,
5060884580,66355.9239535017,2009,,,,,,,,,,,,,,,,,
5060884580,63203.2104875928,2010,,,,,,,,,,,,,,,,,
5060884580,61300.4660194175,2011,,,,1.0,,,,,,,,,,,,,
5060884580,61645.2186536019,2014,,,,,,,,,,,,,,,,,
5060884580,55823.3837599505,2015,,,,,,,,,,,,,,,,,
5060884580,53452.8490328007,2016,,,,,,,,,,,,,,,,,
5060884580,63076.4866064467,2017,,,,,,,,,,,,,,,,,
5060884580,59288.0195430774,2018,,,,,,,,,,,,,,,,,
5060884580,59834.4618075017,2019,,,,1.0,,,,,,,,,,,,,
5060884580,63853.0043966781,2020,,,,1.0,,,,,,,,,,,,,
5060884581,230151.766273868,2006,,,,,,,,,,,,,,,,,
5060884581,269468.889050988,2007,,,,,,,,,,,,,,,,,
5060884581,275770.313526509,2008,,,,,,,,,,,,,,,,,
5060884581,301145.564908664,2009,,,,,,,,,,,,,,,,,
5060884581,300316.727978062,2010,,,,,,,,,,,,,,,,,
5060884581,308219.003236246,2011,,,,1.0,,,,,,,,,,,,,
5060884581,335476.343149673,2012,,,,1.0,,,,,,,,,,,,,
5060884581,371021.01602661,2013,,,,1.0,,,,,,,,,,,,,
5060884581,346901.493981734,2014,,,,1.0,,,,,,,,,,,,,
5060884581,342124.032800673,2016,,,,,,,,,,,,,,,,,
5060884581,407793.34460959,2017,,,,1.0,,,,,,,,,,,,,
5060884581,407477.578218185,2018,,,,,,,,,,,,,,,,,
5060884581,419118.545837724,2019,,,,,,,,,,,,,,,,,
5060884583,40478.8095411773,2007,,,,,,,,,,,,,,,,,
5060884583,39261.4864203743,2008,,,,,,,,,,,,,,,,,
5060884583,47603.6906602531,2009,,,,,,,,,,,,,,,,,
5060884583,20860.1966423651,2010,,,,4.0,,,,,,,,,,,,,
5060884583,51114.3689320388,2011,,,,1.0,,,,,,,,,,,,,
5060884583,68541.4027865738,2012,,,,1.0,,,,,,,,,,,,,
5060884583,97492.3303186079,2013,,,,3.0,,,,,,,,,,,,,
5060884583,73968.0517752374,2014,,,,3.0,,,,,,,,,,,,,
5060884584,31808.0647249191,2011,,,,,,,,,,,,,,,,,
5060884584,33059.2674688621,2012,,,,,,,,,,,,,,,,,
5060884584,32041.8653142342,2015,,,,,,,,,,,,,,,,,
5060884584,32944.9222035324,2016,,,,,,,,,,,,,,,,,
5060884584,38690.4187809647,2017,,,,,,,,,,,,,,,,,
5060884584,36578.3902192862,2018,,,,,,,,,,,,,,,,,
5060884584,36623.0858910836,2019,,,,,,,,,,,,,,,,,
5060884603,47933.6417157275,2016,,,,,,,,,,,,,,,,,
5060884603,53245.5224865345,2017,,,,,,,,,,,,,,,,,
5060884603,113079.181576291,2018,,,,,,,,,,,,,,,,,
5060884603,160415.218707262,2019,,,,,,,,,,,,,,,,,
5060884607,30761.795626577,2016,,,,,,,,,,,,,,,,,
5060884607,34933.961924641,2017,,,,,,,,,,,,,,,,,
5060884607,34463.5746398752,2018,,,,,,,,,,,,,,,,,
5060884607,34631.52702733,2019,,,,,,,,,,,,,,,,,
5060884607,37034.5505617978,2020,,,,,,,,,,,,,,,,,
5060884616,294487.888982338,2016,,,,,,,,,,,,,,,,,
5060884616,339519.439546071,2017,,,,,,,,,,,,,,,,,
5060884616,330744.471969905,2018,,,,,,,,,,,,,,,,,
5060884616,300070.802412394,2019,,,,,,,,,,,,,,,,,
5060884616,284735.832926234,2020,,,,,,,,,,,,,,,,,
5060884618,34652.6825137604,2014,,,,,,,,,,,,,,,,,
5060884618,32571.4968343089,2015,,,,,,,,,,,,,,,,,
5060884618,32647.06686291,2016,,1383.30150916707,,,,,1383.30150916707,,,,,,,,,,
5060884618,38319.2020249277,2017,,1412.59013466169,,,,,1412.59013466169,,,,,,,,,,
5060884618,38495.1945132581,2018,,,,,,,,,,,,,,,,,
5060884618,39430.6436786763,2019,,,,,,,,,,,,,,,,,
5060884618,44798.8519785051,2020,,,,,,,,,,,,,,,,,
5060884621,1172.31917577796,2016,,,,,,,,,,,,,,,,,
5060884621,2534.93840045105,2017,,,,,,,,,,,,,,,,,
5060884621,3454.54858243876,2018,,,,,,,,,,,,,,,,,
5060884621,3964.81178396072,2019,,,,,,,,,,,,,,,,,
5060884639,75657.8693867856,2006,,,,,,,,,,,,,,,,,
5060884639,88874.6225107594,2007,,,,,,,,,,,,,,,,,
5060884639,89537.3562013391,2008,,,,,,,,,,,,,,,,,
5060884639,96999.5705205291,2009,,,,,,,,,,,,,,,,,
5060884639,96069.8949903017,2010,,,,,,,,,,,,,,,,,
5060884639,98891.0161812298,2011,,,,,,,,,,,,,,,,,
5060884639,118327.404678781,2013,,,,1.0,,,,,,,,,,,,,
5060884639,109864.416621303,2014,,,,1.0,,,,,,,,,,,,,
5060884639,100840.390525733,2015,,,,1.0,,,,,,,,,,,,,
5060884639,99975.7989907485,2016,,,,1.0,,,,,,,,,,,,,
5060884639,117129.185110543,2017,,,,1.0,,,,,,,,,,,,,
5060884639,114134.519221947,2018,,,,,,,,,,,,,,,,,
5060884639,114261.798533731,2019,,,,,,,,,,,,,,,,,
5060884639,127099.719101124,2020,,,,,,,,,,,,,,,,,
5060884645,48134.4268352225,2006,,,,,,,,,,,,,,,,,
5060884645,55857.9765117806,2007,,,,,,,,,,,,,,,,,
5060884645,44042.479137837,2008,,,,,,,,,,,,,,,,,
5060884645,44644.2335223043,2009,,,,,,,,,,,,,,,,,
5060884645,45155.0665507324,2010,,,,,,,,,,,,,,,,,
5060884645,47175.3268608414,2011,,,,,,,,,,,,,,,,,
5060884645,59280.1907798884,2013,,,,,,,,,,,,,,,,,
5060884645,56156.1120183875,2014,,,,,,,,,,,,,,,,,
5060884645,53877.8575384716,2015,,,,,,,,,,,,,,,,,
5060884648,17007.0016820858,2016,,,,,,,,,,,,,,,,,
5060884648,25634.8172406761,2017,,,,,,,,,,,,,,,,,
5060884648,24449.43343426,2018,,,,,,,,,,,,,,,,,
5060884648,23805.6393076494,2019,,,,,,,,,,,,,,,,,
5060884655,54164.0138772077,2016,,,,,,,,,,,,,,,,,
5060884655,60449.6467172899,2017,,,,,,,,,,,,,,,,,
5060884655,62815.4417836499,2018,,,,,,,,,,,,,,,,,
5060884655,47710.3894356882,2019,,,,,,,,,,,,,,,,,
5060884656,92383.354666737,2006,,,,,,,,,,,,,,,,,
5060884656,109612.269312131,2007,,,,,,,,,,,,,,,,,
5060884656,114236.32602284,2008,,,,,,,,,,,,,,,,,
5060884656,124820.706636889,2009,,,,4.0,,,,,,,,,,,,,
5060884656,124426.794194368,2010,,,,4.0,,,,,,,,,,,,,
5060884656,130562.343042071,2011,,,,4.0,,,,,,,,,,,,,
5060884656,146425.742454485,2014,,,,3.0,,,,,,,,,,,,,
5060884656,143651.482338099,2016,,,,3.0,,,,,,,,,,,,,
5060884656,174140.461366826,2017,,,,3.0,,,,,,,,,,,,,
5060884656,176001.502431416,2018,,,,,,,,,,,,,,,,,
5060884656,179827.321032218,2019,,,,3.0,,,,,,,,,,,,,
5060884656,206319.247679531,2020,,,,3.0,,,,,,,,,,,,,
5060884659,158698.145119582,2008,,,,,,,,,,,,,,,,,
5060884659,101397.440302354,2009,,,,,,,,,,,,,,,,,
5060884659,97587.2383118186,2010,,,,1.0,,,,,,,,,,,,,
5060884659,96653.4239482201,2011,,,,1.0,,,,,,,,,,,,,
5060884659,98690.4950390543,2012,,,,1.0,,,,,,,,,,,,,
5060884659,22134.1801245993,2014,,,,1.0,,,,,,,,,,,,,
5060884659,19822.7864597474,2015,,,,1.0,,,,,,,,,,,,,
5060884659,7122.94995794786,2016,,,,,,,,,,,,,,,,,
5060884663,28543.5757648158,2015,,,,,,,,,,,,,,,,,
5060884664,1318660.56560135,2016,,,,6.0,,,,,,,,,,,,,
5060884664,1367577.65621814,2017,,,,6.0,,,,,,,,,,,,,
5060884664,1204901.5850078,2018,,,,,,,,,,,,,,,,,
5060884664,1060154.69811448,2019,,,,,,,,,,,,,,,,,
5060884665,519178.059293524,2016,,,,,,,,,,,,,,,,,
5060884665,583205.263852401,2017,,,,,,,,,,,,,,,,,
5060884665,680955.580787228,2018,,,,,,,,,,,,,,,,,
5060884665,649557.070152232,2019,,,,,,,,,,,,,,,,,
5060884667,21074.8867313916,2011,,,,,,,,,,,,,,,,,
5060884667,23085.6686721554,2012,,,,,,,,,,,,,,,,,
5060884667,22573.6796950511,2015,,,,,,,,,,,,,,,,,
5060884667,23488.2253994954,2016,,,,,,,,,,,,,,,,,
5060884667,28771.3079257686,2017,,,,,,,,,,,,,,,,,
5060884667,30098.7361225801,2018,,,,,,,,,,,,,,,,,
5060884667,29294.6886980696,2019,,,,,,,,,,,,,,,,,
5060884667,32138.5930630191,2020,,,,,,,,,,,,,,,,,
5060884678,278404.447014298,2016,,,,,,,,,,,,,,,,,
