Instrument,Revenue from Business Activities - Total,Date
5060884618,1383.30150916707,2016
5060884618,1412.59013466169,2017
5060885115,7817516.49950367,2017
5060885115,856815.739446006,2018
5060885115,2219353.55360437,2019
5060885115,3300877.16705231,2020
5060886034,2103.00906216034,2007
5060886034,3579.96654414078,2008
5060886034,2788.83731620795,2009
5060886062,40492064.7348669,2019
5060886840,452427.819382071,2007
5060886840,505342.928083816,2008
5060886840,472084.452626836,2009
5060886840,510802.610782526,2010
5060886840,1740.4416834685,2011
5060886840,421075.042478096,2012
5060887357,2374.90967296226,2006
5060888122,66114.19932508,2009
5060889546,63920.7786446128,2007
5060889546,48651.4964605082,2008
5060889743,58671.0295792928,2009
5060889743,43150.6744118095,2010
5082931636,8560881.18538635,2020
5082931638,8841034.85666778,2019
5082931837,7181875.69321894,2018
5082931926,7134726.96385385,2018
5082932146,10899734.6186619,2019
5082932146,5629525.56728821,2020
5082932640,6973322.28967055,2019
5082932662,8638805.84812665,2018
5082933059,6517859.70992006,2018
5082933065,7041976.99340743,2018
5082933097,15035016.1297203,2019
5082933104,1685108.94924506,2020
5082933567,4520.3415368431,2020
5082933606,5287952.74777358,2020
5082933679,220543561.255236,2020
5082933692,5976566.48270193,2019
5082933875,2530057.30682903,2021
5082933926,8702115.72464173,2019
5082933926,10705794.7758571,2020
5082933970,5278718.46747739,2018
5082934108,11724517.7538127,2016
5082934358,10286137.9954486,2018
5082934368,11356580.4004375,2020
5082934691,4996211.31399926,2019
5082935153,5276098.44823308,2016
5082935225,5725140.59149771,2021
5082935231,25711133.7444712,2020
5082935263,7193797.81838383,2020
5082935326,10562445.5891604,2018
5082935450,6347150.28179938,2020
5082937443,5080177.2796,2019
5082937710,5514311.28545703,2019
5082937915,6655715.83411786,2020
5082937919,7181216.911542,2018
5082937919,9697787.75310913,2020
5082937941,6474497.89926265,2018
5082937942,5751527.75206967,2018
5082937952,6024003.34618269,2018
5082937960,13397119.424928,2018
5082937964,5884974.21836897,2018
5082937970,7997766.63905559,2017
5082937978,5387119.5964482,2018
5082938119,5152542.4194821,2019
5082938227,5451003.63155376,2020
5082938373,4542356.70271227,2020
5082938524,26496509.9231719,2019
5082939007,6040205.91169294,2016
5082939022,7078744.82801346,2014
5082939040,5867260.23924879,2019
5082939110,12647311.1976549,2020
5082939137,5435506.57433715,2020
5082939475,5708672.48219501,2018
5082939476,7232681.22739775,2017
5082939553,12153889.4513139,2016
5082939578,6433002.860005,2019
5082939684,5792978.73361953,2018
5082939693,8722785.18271954,2020
5082939711,6380973.65831779,2018
5082109319,10550178.6167678,2019
5082109319,11968266.6469406,2020
5082110833,10065074.2630408,2020
5082151381,15404002.0501106,2018
5082151381,11799085.9293312,2019
5082341875,33899893.9256097,2019
5082341875,31211764.3768561,2020
5082355554,12947323.9355872,2009
5082355554,13880763.0212915,2010
5082355554,16305488.1376596,2011
5082355554,17288808.5511574,2012
5082355554,17041385.2707265,2013
5082355554,18112039.0468538,2014
5082355554,17738980.7086698,2015
5082355554,19061692.0974178,2016
5082355554,23602165.2824043,2017
5082355554,28004211.1924773,2018
5082355554,34996124.2115273,2019
5082355554,37382666.6466722,2020
5082355718,3373288.59503494,2018
5082355746,1253571.17471503,2019
5082355746,1527734.40335899,2020
5082355866,30125224.6270752,2020
5082355883,14210180.3860022,2020
5082355883,15196364.3303014,2021
5082358929,5467941.71068295,2019
5082358958,10634695.9050943,2020
5082359765,16517245.5942234,2020
5082360812,44645284.2652296,2018
5082360812,72939173.9355946,2019
5082360812,108170507.755619,2020
5082360815,36333310.9780132,2018
5082360815,44507831.1470009,2019
5082360815,41246537.3391914,2020
5082360845,15597278.6820755,2020
5082360849,0.0,2017
5082360849,4792712.78975851,2018
5082360849,4663657.2232058,2019
5082360849,4949178.7223601,2020
5082360857,18549115.9960712,2019
5082360857,19885986.739814,2020
5082360954,6042151.35069441,2020
5082361109,40515323.74837,2020
5082361147,54878945.993289,2020
5082467162,31160117.6763692,2020
5082535002,37226106.3399916,2020
5082535415,66612500.35163,2009
5082535415,67345155.9630648,2010
5082535415,63256301.3880063,2011
5082535415,73217228.9109888,2019
5082535415,64457214.428904,2020
5082535505,12584484.8249594,2013
5082535505,14984263.1955054,2014
5082535505,16195502.0214841,2015
5082535505,19490888.4985314,2016
5082535505,19828328.6183706,2017
5082535505,18546155.5404503,2018
5082535505,21285617.6552402,2019
5082535505,14662522.4771662,2020
5082535661,19548616.6355757,2008
5082535661,16548898.7232694,2009
5082535661,19664820.4934917,2010
5082535661,28215234.1678081,2011
5082535661,31749999.1884894,2012
5082535661,26074238.9632747,2013
5082535661,28903930.211417,2014
5082535661,30800460.0162315,2015
5082535661,28414500.3892032,2016
5082535661,33940926.4418706,2017
5082535661,40395706.1577508,2018
5082535661,43062302.527022,2019
5082535661,40574508.7454439,2020
5082535661,41919617.1443177,2021
5083221833,13649.6706030548,2018
5083222324,4865991.17912564,2020
5083224798,6598324.11851836,2017
5083225568,5460564.89213822,2016
5083253201,25437442.2197485,2019
5083253230,21897809.5191857,2020
5083253452,5024720.8474836,2016
5083253506,12646820.536704,2014
5083253506,12471270.7757297,2015
5083253506,13094180.7498841,2016
5083253506,13311013.3412586,2017
5083253506,11933219.9375214,2018
5083253506,11137917.1202868,2019
5083253506,5979326.97252862,2020
5083253705,5692822.61951405,2018
5083253741,6059455.37589926,2014
5083253862,17296040.7579802,2015
5083254219,15215648.8874346,2014
5083254245,4698958.70768778,2019
5083254352,3616798.67921398,2020
5083254809,9878647.44105691,2015
5083254919,4995911.93830629,2017
5083255085,4248082.84966271,2009
5083255085,7738658.56428747,2010
5083255085,6170945.09570429,2011
5083255085,6082755.52767952,2012
5083255085,4813918.86300116,2013
5083255085,4835735.29902586,2014
5083255085,4508748.99904537,2015
5083255085,5867881.10575769,2016
5083255085,6951284.14276231,2017
5083255085,10680090.2412113,2018
5083255085,10465622.4589473,2019
5083255085,11793866.0472515,2020
5083255113,13900978.7770489,2019
5083255168,5552686.00132269,2018
5083255296,8889271.67484692,2019
5083255371,8297108.02364348,2015
5083255375,7654602.87562451,2019
5083255579,3429971.79275541,2020
5083255818,5578500.95704357,2014
5083255973,17316304.7353492,2020
5083256099,14107143.1370868,2008
5083256099,10805978.2541077,2009
5083256099,11953803.1433967,2010
5083256099,13298491.9032917,2011
5083256099,14358711.7352335,2012
5083256099,12713817.8919133,2013
5083256099,14897693.8590622,2014
5083256099,14679855.5995054,2015
5083256099,19091285.6353237,2016
5083256099,20079265.3497792,2017
5083256099,22846537.1718859,2018
5083256099,20550226.3300846,2019
5083256099,12261848.9028176,2020
5083256304,5172970.28247426,2015
5083256506,7213837.60007659,2015
5083256571,481151.376175747,2019
5083256599,16981206.7834597,2019
5083256726,5625187.70864368,2020
5083256907,14875170.2379991,2014
5083256907,14927860.3046735,2015
5083256940,42871372.0649224,2020
5083257071,13863228.553419,2014
5083257071,14194814.6121878,2015
