Instrument,Intangible Assets - excluding Goodwill - Gross - Total (ASR),Date
4295888290,170387.412795013,2005
4295888290,190317.718608677,2006
4295888290,210080.968706689,2007
4295888306,23014938.287136,2008
4295888306,77639354.6355151,2009
4295888306,70610874.1890175,2010
4295888306,28150393.5275081,2011
4295888306,26586947.1712054,2012
4295888306,29578893.2567282,2013
4295888306,28553855.9245146,2014
4295888306,35990773.8630775,2017
4295888339,616254.43114173,2010
4295888339,699390.291262136,2011
4296328295,41965924.2946282,2005
4296328295,54918779.1134981,2006
4296328295,65524837.6978627,2007
4296328295,70749640.0665353,2008
4296328295,79377827.4065166,2009
4296328295,89194033.84389,2010
4296328295,97218122.9773463,2011
4296328295,114464587.291535,2012
4296393538,1733823.12676828,2002
4296393538,2246692.89663973,2003
4296393538,2874120.57459563,2004
4296393538,4356899.20406662,2010
4296393538,4182524.27184466,2011
4296595172,18860513.5516697,2008
4296595172,22052339.2315181,2009
4296595172,21903551.6018995,2010
4296595172,24160517.7993528,2011
