Instrument,Cost of Revenues - Total,Date
5060879437,1568523.38306259,2017
5060881311,-20370.4866644981,2018
5060882952,298341.409591976,2017
5060882952,295313.528251508,2018
5060882952,234534.796700862,2019
5060882952,218267.662819766,2020
5060883921,769.314717862545,2009
5081872610,20981313.1348679,2019
5081872610,23812311.1102893,2020
5081872666,44448769.9822599,2019
5081872666,55152441.3042521,2020
5081872770,12184646.0761029,2020
5081872789,12131980.4464327,2019
5081872789,12815304.1154629,2020
5081872797,24517645.4855857,2017
5081872797,23580299.8427988,2018
5081872816,0.0,2018
5081872816,444438.780388904,2019
5081872816,2055853.0088203,2020
5081872930,34269588.7637162,2015
5081872930,52011254.3510015,2016
5081872930,61992513.8232366,2017
5081872930,67376370.9206836,2018
5081872930,79043969.9791726,2019
5081872930,83394656.7582915,2020
5081873008,27298419.3600112,2019
5081873008,40880705.3626083,2020
5081873012,130258.586350266,2018
5081873012,8747375.45137876,2019
5081873262,7477973.8148951,2017
5081873262,9096969.34610357,2018
5081873380,25985754.1080826,2019
5081873380,36395558.0129031,2020
5081873408,4388383.70398742,2016
5081873408,40838552.6607135,2017
5081873408,70846364.3744149,2018
5081873408,66975493.2222667,2019
5081873408,68148943.2273704,2020
5081873460,18559789.4318538,2020
5081873473,2734478.64868076,2017
5081873473,5111899.37612545,2018
5081873473,6106797.89707704,2019
5081873485,7878610.33417317,2020
5081873493,810428.718460452,2018
5081873493,9801289.6680482,2019
5081873493,13295914.1060427,2020
5081873548,16704614.7548391,2019
5081873548,18173411.1599403,2020
5081873554,40913289.7710784,2019
5081873554,44956851.0980085,2020
5081873623,10436235.8439421,2019
5081873623,4041545.73741179,2020
5081873650,13303683.8158769,2019
5081873650,14394680.9605049,2020
5081873714,15106113.3860274,2018
5081873714,11028032.1650865,2019
5081873731,29391539.7123522,2019
5081873731,37210520.5057046,2020
5081873776,4499349.11383999,2019
5081873776,12060463.6373834,2020
5081873784,5914947.6295611,2019
5081873784,4546245.96121401,2020
5081873787,1949499.23228643,2020
5081873853,24808274.1271504,2019
5081873853,31059849.5190088,2020
5081873854,43291553.258499,2019
5081873854,32117852.0529355,2020
5081873882,8128721.00223209,2018
5081873882,15324122.5265011,2019
5081873882,11774257.4946599,2020
5081873923,93587625.2826757,2017
5081873923,113944848.026558,2018
5081873923,113506197.413728,2019
5081873923,91308899.0533876,2020
5081873949,5013491.38643217,2020
5081873971,50935060.5084453,2019
5081873971,60289727.6402507,2020
5081873999,8066489.42495736,2019
5081873999,1588256.77705902,2020
5081874069,7992575.89663645,2020
