Instrument,Labor & Related Expenses - Total,Date
5082109319,999631.567297793,2019
5082109319,1208782.36069225,2020
5082110833,926019.06128473,2020
5082151381,727616.007665562,2018
5082151381,697933.054713122,2019
5082355554,709460.609651033,2009
5082355554,844363.290354818,2010
5082355554,775275.406337441,2011
5082355554,1003994.26951281,2012
5082355554,841452.592685304,2013
5082355554,824337.028299556,2014
5082355554,668622.333262029,2015
5082355554,730087.687718052,2016
5082355554,875732.312360122,2017
5082355554,906294.869506763,2018
5082355554,1103953.21314789,2019
5082355554,1458185.5778071,2020
5082355883,592287.958757152,2020
5082355883,598080.964401055,2021
5082359765,2950036.46972947,2020
5082360845,534432.190801634,2020
5082360849,0.0,2017
5082360849,44769.1724201825,2018
5082360849,61216.5871528324,2019
5082360849,61328.7652487018,2020
5082360857,470245.678129645,2019
5082360857,712512.256003009,2020
5082361147,1563271.83242507,2020
5082467162,486202.310343923,2020
5082535415,4659906.05868443,2009
5082535415,4794679.30539972,2010
5082535415,4754158.78237794,2011
5082535505,128195.071043949,2013
5082535505,276579.103326946,2014
5082535505,641858.078879994,2015
5082535505,532319.157881826,2016
5082535505,786758.95270964,2017
5082535505,1122212.84003535,2018
5082535505,564667.748688375,2019
5082535505,473990.772588364,2020
5082535661,611446.003688475,2008
5082535661,541527.186863801,2009
5082535661,513712.604205018,2010
5082535661,646132.177217743,2011
5082535661,842546.081073259,2012
5082535661,976123.628722287,2013
5082535661,1129522.10079515,2014
5082535661,1238599.88517224,2015
5082535661,1262109.93629157,2016
5082535661,1280292.89661916,2017
5082535661,1429471.11409582,2018
5082535661,1505871.85046928,2019
5082535661,1562018.51463058,2020
5082535661,1633078.58093816,2021
5083253506,1239856.41699494,2014
5083253506,1193033.0019055,2015
5083253506,1259405.79525683,2016
5083253506,1375161.39327735,2017
5083253506,1430282.9053487,2018
5083253506,1365419.00671604,2019
5083253506,1113687.44831001,2020
5083255085,1959936.55231885,2009
5083255085,1353115.86300151,2010
5083255085,593276.938145337,2011
5083255085,224655.779722837,2012
5083255085,110647.848632259,2013
5083255085,336620.499622578,2014
5083255085,347282.937444704,2015
5083255085,428979.45348315,2016
5083255085,700507.452691546,2017
5083255085,738350.660074496,2018
5083255085,649275.254811922,2019
5083255085,662234.519336104,2020
5083256099,810385.133398569,2008
5083256099,832220.937194382,2009
