Instrument,Sales per Employee,Date
5062165127,94146.4463520733,2016
5062165127,107103.691970269,2017
5062165127,82767.0830101751,2018
5062388447,953584.922735809,2015
5062388447,998861.487399174,2016
5062388447,1247898.13573778,2017
5062388447,1240213.61238766,2018
5062388447,846224.824569398,2019
5062388447,735747.288574904,2020
5062388646,399366.501504559,2015
5062388646,339872.812490619,2016
5062388646,358978.108119085,2017
5062388646,305346.869320615,2018
5062388646,322374.861463475,2019
5062388646,350989.169843435,2020
5062389008,2469173.51071291,2015
5062455107,270227.686205637,2017
5062455107,284649.310660169,2018
5062455107,327657.396827177,2019
5062455107,386919.875494002,2020
5063282442,252832.498056535,2016
5063282442,150473.518973166,2017
5063282442,122752.622144892,2018
5063282442,127159.762514725,2019
5063282442,145490.154933026,2020
5063353452,1679859.27880387,2017
5063353452,4434976.91778804,2018
5063353452,3282124.59449057,2019
5063353452,2193676.31296892,2020
5063763810,421095.499898188,2015
5063763810,545181.98936034,2016
5063763810,599987.815279639,2017
5063763810,605137.347054534,2018
5063763847,460457.582883829,2015
5063763847,699764.578750338,2016
5063763847,784619.836724747,2017
5063763847,626043.270399481,2018
5063763847,552813.517476782,2019
5063763847,551417.01348815,2020
5063764057,726115.307591687,2018
5063764057,336711.891308971,2019
5064611730,380552.683650884,2019
5064611730,453284.28551595,2020
5066545550,623501.426210701,2016
5066545550,399924.676274134,2017
5066545550,251385.377098737,2018
5066545550,265607.754387031,2019
5066545550,236369.689032929,2020
5066545600,260254.79604132,2017
5066545600,230135.792894078,2018
5066545600,270019.550560639,2019
5066545600,316470.834634793,2020
5066555711,341799.814750492,2016
5066555711,263338.884150386,2017
5066555711,246485.499637016,2018
5066555711,216718.814868819,2019
5066555711,307528.001544019,2020
5066556120,136181.936995544,2016
5066556120,245881.989566479,2017
5066556120,306833.801531518,2018
5066556120,408586.226799113,2019
5066556120,357445.684064087,2020
5066556777,702018.447763498,2016
5066556777,774876.540112816,2017
5066556777,740119.076558587,2018
5066556777,709519.32521239,2019
5066607259,2497667.35454168,2016
5066607259,662267.670187738,2017
5066607259,507946.797550557,2018
5066607259,531108.825558839,2019
5066607259,315539.545420985,2020
5066620092,2309519.95091854,2018
5066620092,2570086.80397339,2019
5066620092,1836696.62737966,2020
5066620732,421941.635189472,2017
5066620732,427827.682405917,2018
5066620732,408360.293447553,2019
5066621268,318930.88579438,2016
5066621268,402552.69891556,2017
5066621268,411467.63454518,2018
5066621268,410667.091952975,2019
5066621268,457749.497168854,2020
5066621491,271686.110103985,2012
5066621491,207512.541966822,2013
5066621491,182637.401855818,2014
5066625433,288688.201921964,2016
5066625433,369546.322245238,2017
5066625433,364089.418461025,2018
5066625433,262881.618518181,2019
5066625433,244008.081590706,2020
5067168389,116725.688929494,2018
5067168389,163444.505832498,2019
5067168389,159172.602462919,2020
5067179420,261407.636407546,2011
5067179420,316881.736854118,2012
5067179420,426994.696792989,2013
5067179420,653075.760482396,2014
5067179420,598249.884208338,2015
5067179420,577977.292279463,2016
5067179420,330431.190506616,2017
5067179420,320532.645635762,2018
5067179420,326237.615310129,2019
5067179420,325958.998043856,2020
5068476941,56555.9013940199,2015
5068476941,59069.3317334512,2016
5068476941,272206.652857317,2017
5068476941,134414.514529579,2018
5068476941,132066.587684923,2019
5068476941,163695.854074618,2020
5071532292,4109280.82630947,2020
5071536410,192261.687779094,2019
5071536410,949753.306623869,2020
5073093345,9483.80090098898,2018
5073093345,194837.102967666,2019
5073093345,237386.82985403,2020
5073622555,1116569.51383932,2014
5073622555,913157.272740839,2015
5073622555,661962.413959635,2016
5073622555,589902.082233324,2017
5073622555,639365.674954306,2018
5073622555,1807528.06656817,2019
5073651375,129789.581892476,2017
5073651375,199357.597345721,2018
5073651375,304874.201711894,2019
5073651375,358151.935714068,2020
5073651385,764971.97514317,2017
5073651385,860901.138674415,2018
5073651385,993168.296207574,2019
5073651385,991168.334574064,2020
5073651386,436204.285540218,2017
5073651386,491434.456423962,2018
5073651386,465610.190923175,2019
5073651386,453039.205399923,2020
5073651420,3575849.88424516,2017
5073651420,3342285.29755635,2018
5073651420,3686548.80160394,2019
5073651420,3526853.89197822,2020
5073651468,541184.354819057,2017
5073651468,12215726.9033535,2018
5073651468,980076.095871685,2019
5073651468,320561.522150067,2020
5073651858,1281564.51809431,2017
5073651858,1455103.19839791,2018
5073651858,1207684.59645704,2019
5073651858,994663.612306042,2020
5073651918,487510.661630316,2017
5073651918,673290.303075286,2018
5073651918,660313.952428689,2019
5073651918,533442.705302951,2020
5073651967,391303.00095206,2017
5073651967,483231.4819682,2018
5073651967,622767.614349591,2019
5073651967,523043.274370861,2020
5073652072,992511.083409097,2017
5073652072,1018015.82799881,2018
5073652072,1005612.26039673,2019
5073652072,983010.604771176,2020
5073652101,1181341.90112308,2016
5073652101,1410960.15596442,2017
5073652101,2085933.06863301,2018
5073652101,1801097.0108448,2019
5073652101,1393144.00960608,2020
