Instrument,Total Assets,Date
5082933679,86964752.5962126,2020
5082938183,3828192.20430108,2019
5060884500,81779.5251976344,2017
5060884500,42710.6385906964,2018
5060884500,63636.5491110463,2019
5060884500,168090.241817294,2020
5060884519,27627.5336417157,2016
5060884519,32193.7476757716,2017
5060884519,31340.4899532067,2018
5060884519,31258.5476313253,2019
5060884520,29025.5318686808,2015
5060884520,28098.1917577797,2016
5060884520,35132.7359316707,2017
5060884520,38816.6345536288,2018
5060884520,39602.7173060108,2019
5060884527,162981.907233848,2015
5060884527,191600.042052145,2016
5060884527,371578.148054846,2017
5060884527,395842.967244701,2018
5060884527,271484.586238594,2019
5060884531,91710.6812447435,2016
5060884531,182185.098547282,2017
5060884533,61103.6803420382,2006
5060884533,69554.0010212269,2007
5060884533,37753.8754001202,2008
5060884533,40255.5546011567,2009
5060884533,40458.0964483981,2010
5060884533,42625.0873786408,2011
5060884533,42513.9507989908,2016
5060884533,52265.4478713067,2017
5060884533,50892.7080466098,2018
5060884533,51158.4198372307,2019
5060884533,57546.2017586712,2020
5060884540,16547.8220262595,2015
5060884540,18346.1206896552,2016
5060884540,24053.010400547,2017
5060884540,24995.6762088265,2018
5060884540,26862.4419882071,2019
5060884540,20844.4553004397,2020
5060884541,317920.577722664,2007
5060884541,323591.716638012,2008
5060884541,301367.076103762,2009
5060884541,277090.508996054,2010
5060884541,249139.171521036,2011
5060884541,248638.339138695,2012
5060884541,248457.321934189,2013
5060884541,183328.022742394,2014
5060884541,170410.052019418,2015
5060884541,124585.19764508,2016
5060884541,129549.225657082,2017
5060884541,106323.057161207,2018
5060884541,45472.9390399749,2019
5060884547,35014.2374648407,2015
5060884547,404941.736753575,2016
5060884547,359050.971077602,2017
5060884547,346011.021653363,2018
5060884547,387081.407080241,2019
5060884550,75285.1265591947,2007
5060884550,76818.1043038258,2008
5060884550,83234.9825345015,2009
5060884550,84469.88161327,2010
5060884550,86038.3948220065,2011
5060884550,85220.8273150813,2015
