Instrument,Total Fixed Assets - Net,Date
4295888306,904996177.401597,2018
4295888306,194803412.326525,2019
4295888306,155561191.988275,2020
5062241098,5534278.58556248,2008
5062241098,6672109.34382279,2009
5062241098,9165128.02427921,2010
5062241098,11985070.3188802,2011
5062241098,13816080.8927626,2012
5062241098,14392863.9096751,2013
5062241098,14441207.7233021,2015
4295882999,156437000.0,1994
4295882999,173287000.0,1995
4295882999,305539000.0,1996
4295882999,245480000.0,1997
4295882999,209288000.0,1998
4295882999,187280000.0,1999
4295882999,184689000.0,2000
4295882999,177915000.0,2001
4295882999,192457000.0,2002
4295882999,191369000.0,2003
4295882999,211841000.0,2004
4295882999,208734000.0,2005
4295882999,209467000.0,2006
4296916352,1659808000.0,2004
4296916352,1893597000.0,2005
4296916352,1778985000.0,2006
4296916352,2132256000.0,2007
4296916352,2399440000.0,2008
4296916352,2440068000.0,2009
4296916352,2430394000.0,2010
4296916352,3128336000.0,2011
4296916352,2862101000.0,2012
4296916352,3204285000.0,2013
4296916352,3630116000.0,2014
5037639151,259713754.11478,1997
5037639151,266504019.57358,1998
5037639151,698566109.36701,2004
5037639151,964390340.77369,2005
5037639151,1624013000.0,2010
5037639151,1873184000.0,2011
5037639151,1786829000.0,2012
5037639151,32848178.0,2013
