Instrument,Intangible Assets - Gross - Total,Date
4295888255,985487.888678921,2009
4295888255,446105.277238981,2010
4295888271,546870.526255512,2009
4295888271,6226537.21682848,2011
4295888271,209784.673844205,2012
4295888281,0.0,2005
4295888281,3309.44241960386,2006
4295888281,259368.298198264,2007
4295888281,254431.724465691,2008
4295888294,290303.462350261,2008
4295888294,302296.283570979,2009
4295888294,3574.34285332085,2010
4295888294,3458.8996763754,2011
4295888294,3525.43804095419,2012
4295888294,3672.65030101438,2013
4295888306,144594843.782985,2012
4295888306,152235985.650274,2013
4295888306,136505154.539406,2014
4295888306,141863588.488622,2017
4295888306,562990.870722085,2018
4295888338,68913.878485419,2005
4295888338,9787.97404855863,2010
4295888338,12188.996763754,2011
4295888339,616254.43114173,2010
4295888339,1159160.59742453,2012
4295888339,1202665.14555901,2013
4295888339,1082628.68202988,2014
4295888350,15654.5267136231,2009
4296264318,8525.18226205605,2010
4296264318,4607.11974110032,2011
4296328295,108249814.791518,2008
4296328295,119051709.328294,2009
4296328295,97110679.6116505,2011
4296328295,113179491.239181,2012
4296393538,1664151.03268468,2002
4296393538,2219303.59869357,2003
4296393538,2875238.10266144,2004
4296393538,4356899.20406662,2010
4296393538,4182524.27184466,2011
4296595172,24160517.7993528,2011
4298130548,185264.559354063,2009
4298130548,155176.699029126,2011
4298130548,158164.450073886,2012
4298130548,164766.19842208,2013
5000688202,0.0,2010
5000688202,962585.761030188,2012
5000688202,1121413.25562856,2013
4295882999,18327000.0,2003
4295882999,18327000.0,2004
4295882999,18327000.0,2005
4295882999,18327000.0,2006
