Instrument,Full-Time Employees (Pvt),Date
5060884527,6.0,2015
5060884527,6.0,2016
5060884527,6.0,2017
5060884533,1.0,2016
5060884533,1.0,2017
5060884533,1.0,2019
5060884533,1.0,2020
5060884541,1.0,2012
5060884541,1.0,2013
5060884541,1.0,2014
5060884541,1.0,2015
5060884541,1.0,2016
5060884541,1.0,2017
5060884547,6.0,2015
5060884547,6.0,2016
5060884547,6.0,2017
5060884556,1.0,2016
5060884556,1.0,2017
5060884580,1.0,2011
5060884580,1.0,2019
5060884580,1.0,2020
5060884581,1.0,2011
5060884581,1.0,2012
5060884581,1.0,2013
5060884581,1.0,2014
5060884581,1.0,2017
5060884583,4.0,2010
5060884583,1.0,2011
5060884583,1.0,2012
5060884583,3.0,2013
5060884583,3.0,2014
5060884639,1.0,2013
5060884639,1.0,2014
5060884639,1.0,2015
5060884639,1.0,2016
5060884639,1.0,2017
5060884656,4.0,2009
5060884656,4.0,2010
5060884656,4.0,2011
5060884656,3.0,2014
5060884656,3.0,2016
5060884656,3.0,2017
5060884656,3.0,2019
5060884656,3.0,2020
5060884659,1.0,2010
5060884659,1.0,2011
5060884659,1.0,2012
5060884659,1.0,2014
5060884659,1.0,2015
5060884664,6.0,2016
5060884664,6.0,2017
5060884704,7.0,2009
5060884704,7.0,2010
5060884704,7.0,2011
5060884704,7.0,2012
5060884704,7.0,2014
5060884704,7.0,2018
5060884704,7.0,2019
5060884717,1.0,2012
5060884717,1.0,2013
5060884717,1.0,2014
5060884717,1.0,2015
5060884717,1.0,2016
5060884717,1.0,2017
5060884717,1.0,2018
5060884720,7.0,2015
5060884720,7.0,2016
5060884720,7.0,2017
5060884731,1.0,2011
5060884738,4.0,2009
5060884738,4.0,2010
5060884738,4.0,2011
5060884738,4.0,2012
5060884738,4.0,2013
5060884738,4.0,2015
5060884738,4.0,2016
5060884738,4.0,2017
5060884738,4.0,2018
5060884738,4.0,2019
5060884786,1.0,2011
5060884786,1.0,2012
5060884786,1.0,2014
5060884787,1.0,2009
5060884787,1.0,2010
5060884787,1.0,2011
5060884787,1.0,2012
5060884787,2.0,2014
5060884787,2.0,2015
5060884787,2.0,2016
5060884787,2.0,2017
5060884825,6.0,2015
5060884825,6.0,2016
5060884825,6.0,2017
5060884835,1.0,2016
5060884835,1.0,2017
5060884850,1.0,2016
5060884850,1.0,2017
5060884851,1.0,2016
5060884851,1.0,2017
5060884852,1.0,2016
5060884852,1.0,2017
5060884856,15.0,2011
5060884856,15.0,2012
5060884856,14.0,2016
5060884856,14.0,2017
5060884858,1.0,2011
5060884858,1.0,2015
5060884858,6.0,2018
5060884858,6.0,2019
5060884866,15.0,2016
5060884866,15.0,2017
5060884867,1.0,2011
5060884867,1.0,2013
5060884869,1.0,2010
5060884869,1.0,2011
5060884869,1.0,2014
5060884869,1.0,2015
5060884869,1.0,2016
5060884869,1.0,2017
5060884887,1.0,2010
5060884887,1.0,2011
5060884887,2.0,2015
5060884887,2.0,2016
5060884917,1.0,2009
