Instrument,Revenue from Goods & Services (ASR),Date
4295888271,1835474.48623574,2005
4295888271,25588918.8495119,2006
4295888271,60927595.1921554,2007
4295888271,75488948.9121867,2008
4295888271,45700677.1006997,2009
4295888271,48850521.1597553,2010
4295888271,45898928.0764312,2011
4295888271,32667970.5186374,2012
4295888271,39242354.1076662,2013
4295888271,32124787.7330395,2014
4295888271,16361944.91494,2015
4295888271,15808369.6467613,2016
4295888271,18339940.2363397,2017
4295888271,19180073.0571918,2018
4295888271,5239450.52956697,2019
