Instrument,Market Capitalization,Date
4295882999,101230715.0,1995
4295882999,62008660.0,1996
4295882999,44291900.0,1997
4295882999,56472172.5,1998
4295882999,45791900.0,1999
4295882999,42357498.25,2000
4295882999,36822900.0,2001
4295882999,27690820.8,2002
4295882999,36590803.2,2003
4295882999,74916765.52,2004
4295882999,93743483.4,2005
4295882999,118812465.15,2006
4295888255,76896163.7595861,2004
4295888255,63794845.2254348,2005
4295888255,71100328.5475668,2006
4295888255,121488190.385878,2007
4295888255,165494873.569002,2008
4295888255,140812467.78904,2009
4295888255,105992517.222928,2010
4295888263,151571073.618149,2004
4295888263,116702446.934863,2005
4295888263,151711757.901869,2006
4295888263,284744861.186082,2007
4295888263,137279000.433318,2008
4295888263,49832331.7872072,2009
4295888263,1879187.95933382,2010
4295888271,17004730.864844,2006
4295888271,23589760.3618061,2007
4295888271,16708368.9772298,2008
4295888271,15494475.2190345,2009
4295888271,10163833.7449,2010
4295888271,3713657.24271845,2011
4295888271,3785096.34262191,2012
4295888271,3943151.19443604,2013
4295888271,3470392.81437126,2014
4295888271,3069592.40234142,2015
4295888271,2161108.15811606,2016
4295888271,1952215.64040739,2017
4295888271,1964673.82328654,2018
4295888271,2352388.89760778,2019
4295888281,16239059.065837,2005
4295888281,16542950.5784487,2006
4295888281,89266124.1520169,2007
4295888281,68633443.7595225,2008
4295888290,159045936.187199,2006
4295888290,265334088.554964,2007
4295888291,88856842.6171148,2004
4295888291,72191533.5406289,2005
4295888291,88631412.5081235,2006
4295888291,210709303.552411,2007
4295888291,93648380.2574747,2008
4295888294,3870491.29090287,2006
4295888294,3850428.76942155,2007
4295888294,3928047.9724913,2008
4295888294,4014872.18690947,2009
4295888294,3860765.43375025,2010
4295888294,4424295.14563107,2011
4295888294,6137800.82330589,2012
4295888294,7516327.34969899,2013
4295888294,7740665.57793504,2014
4295888294,7217189.21384433,2015
4295888294,6986606.39192599,2016
4295888294,7972145.24777774,2017
4295888294,7621868.97880539,2018
4295888294,8116340.98680997,2020
4295888306,99046373.610653,2004
4295888306,171258050.361871,2005
4295888306,96810824.1539109,2006
4295888306,239907842.731053,2007
4295888306,211752294.166981,2008
4295888306,202132920.517666,2009
4295888306,154140190.08762,2010
4295888306,135451123.883495,2011
4295888306,116497941.735276,2012
4295888306,26221669.1865739,2013
4295888306,32367265.4690619,2014
4295888306,22403301.8755226,2015
4295888306,25406203.195963,2016
4295888306,25709716.05427,2017
4295888306,156502477.291495,2018
4295888306,239571624.106002,2019
4295888306,162730753.541768,2020
4295888322,26247899.0266182,2005
4295888322,35967182.8455196,2006
4295888322,70305449.7045736,2007
4295888322,53674256.7199228,2008
4295888322,1465922.23558381,2009
4295888322,59927.6971440037,2010
4295888322,149122.718446602,2011
4295888322,16887.9301245514,2012
4295888322,17593.1220276548,2013
4295888338,16568253.2982921,2005
4295888338,22415911.1626404,2006
4295888338,89690829.7468816,2007
4295888338,47810969.807523,2008
4295888338,47105766.0625322,2009
4295888338,45496422.84797,2010
4295888338,1492440.38834951,2011
4295888339,10128098.607681,2005
4295888339,9025294.39389192,2006
4295888339,27187239.7694945,2007
4295888339,26048690.2615284,2008
4295888339,26678539.6266392,2009
4295888339,24928758.6114641,2010
4295888339,31067300.9708738,2011
4295888339,32509336.6054465,2012
4295888339,35186321.0270226,2013
4295888339,27096744.6924333,2014
4295888339,19125511.4301539,2015
4295888348,3276946.37931686,2004
4295888348,3561247.49801267,2005
4295888348,4252565.22697904,2006
4295888348,11778575.6072653,2007
4295888350,24749777.5427137,2005
4295888350,31955080.9418924,2006
4295888350,57695087.8984609,2007
4295888350,28745042.6468738,2008
4295888350,14153888.9366088,2009
4295888350,24687729.7839609,2010
4295888350,67744628.1423948,2011
4295888363,7069694.73922527,2004
4295888363,5643794.81641505,2005
4295888363,21497753.3630242,2006
4295888363,24469865.3439346,2007
4295888363,21423983.7296096,2008
4295888363,20700008.5895894,2009
4295888363,14700182.1951709,2010
4295888363,4492231.45631068,2011
4295888366,37035250.270453,2004
4295888366,25165403.7899769,2005
4295888366,34213384.6901425,2006
4295888366,76223584.2147494,2007
4295888366,40206794.0873066,2008
4295888366,5680556.68270057,2009
4295888366,1511169.44685974,2010
4296264318,10137062.3890261,2006
4296264318,51353125.6838573,2007
4296264318,16773598.3561874,2008
4296264318,13743343.0682013,2009
4296328295,1448266569.40696,2007
4296328295,346491002.943767,2008
4296328295,426037021.688713,2009
4296328295,355877447.394823,2010
4296328295,160036995.313916,2011
4296328295,67104520.7937513,2012
4296393538,146732517.168336,1998
4296393538,139678829.961372,1999
4296393538,37579096.9518562,2002
4296393538,46606628.9786208,2003
4296393538,57813906.0754316,2004
4296393538,57267941.9165058,2005
4296393538,15278584.647334,2006
4296393538,25492688.7446203,2007
4296393538,20122726.8279728,2008
4296393538,14888621.6572181,2009
4296393538,13002474.7508528,2010
4296393538,5125695.79288026,2011
4296393538,18417604.2365949,2012
4296393538,219919.17970146,2013
4296595172,534028192.924337,2008
4296595172,545084137.390483,2009
4296595172,466528218.179386,2010
4296595172,148935394.174757,2011
4296595172,38044986.1067131,2012
4296595172,12370453.8582071,2013
4297820783,16988.5496495688,2003
4297820783,19556.8256632313,2004
4297820783,20399.025239152,2005
4297826062,66020637.8160775,2008
4297826062,32806090.0188971,2009
4297826062,17010126.412949,2010
4297885257,195478.67656309,2008
4297885257,75401.9927847449,2009
4298130548,3936260.99719042,2008
4298130548,4401133.82580313,2009
4298130548,213848.652264063,2010
4298130548,477558.058252427,2011
4298130548,180095.56681444,2012
4298130548,338046.567886302,2013
4298130548,238013.572854291,2014
4298130548,427349.659538884,2015
4298130548,581760.302775442,2016
4298130548,3048007.48551481,2017
5000688202,4933449.26760752,2010
5000688202,12270446.2212371,2012
5000688202,20872978.5303901,2013
5000688202,20063930.3211758,2014
5000688202,9756628.40325366,2015
5000688202,10171444.4911691,2016
