Instrument,Cost of Revenues - Total,Date
5081872389,,
5081872391,,
5081872401,,
5081872409,,
5081872413,,
5081872428,,
5081872440,,
5081872447,,
5081872453,,
5081872460,,
5081872498,,
5081872499,,
5081872501,,
5081872512,,
5081872514,,
5081872525,,
5081872537,,
5081872544,,
5081872545,,
5081872548,,
5081872549,,
5081872552,,
5081872554,,
5081872598,,
5081872601,,
5081872605,,
5081872610,20981313.1348679,2019-12-31T00:00:00Z
5081872610,23812311.1102893,2020-12-31T00:00:00Z
5081872632,,
5081872634,,
5081872666,44448769.9822599,2019-12-31T00:00:00Z
5081872666,55152441.3042521,2020-12-31T00:00:00Z
5081872673,,
5081872678,,
5081872708,,
5081872709,,
5081872711,,
5081872712,,
5081872717,,
5081872724,,
5081872727,,
5081872733,,
5081872737,,
5081872741,,
5081872744,,
5081872763,,
5081872765,,
5081872770,12184646.0761029,2020-12-31T00:00:00Z
5081872772,,
5081872781,,
5081872782,,
5081872788,,
5081872789,12131980.4464327,2019-12-31T00:00:00Z
5081872789,12815304.1154629,2020-12-31T00:00:00Z
5081872794,,
5081872797,24517645.4855857,2017-12-31T00:00:00Z
5081872797,23580299.8427988,2018-12-31T00:00:00Z
5081872800,,
5081872810,,
5081872816,0.0,2018-12-31T00:00:00Z
5081872816,444438.780388904,2019-12-31T00:00:00Z
5081872816,2055853.0088203,2020-12-31T00:00:00Z
5081872817,,
5081872822,,
5081872837,,
5081872857,,
5081872864,,
5081872867,,
5081872875,,
5081872879,,
5081872883,,
5081872884,,
5081872903,,
5081872917,,
5081872919,,
5081872922,,
5081872930,34269588.7637162,2015-12-31T00:00:00Z
5081872930,52011254.3510015,2016-12-31T00:00:00Z
5081872930,61992513.8232366,2017-12-31T00:00:00Z
5081872930,67376370.9206836,2018-12-31T00:00:00Z
5081872930,79043969.9791726,2019-12-31T00:00:00Z
5081872930,83394656.7582915,2020-12-31T00:00:00Z
5081872951,,
5081872963,,
5081872965,,
5081872968,,
5081872982,,
5081872986,,
5081872992,,
5081873000,,
5081873003,,
5081873008,27298419.3600112,2019-12-31T00:00:00Z
5081873008,40880705.3626083,2020-12-31T00:00:00Z
5081873012,130258.586350266,2018-12-31T00:00:00Z
5081873012,8747375.45137876,2019-12-31T00:00:00Z
5081873028,,
5081873055,,
5081873072,,
5081873074,,
5081873077,,
5081873087,,
5081873100,,
5081873102,,
5081873115,,
5081873127,,
5081873130,,
5081873147,,
5081873180,,
5081873183,,
5081873184,,
5081873200,,
5081873204,,
5081873253,,
5081873262,7477973.8148951,2017-12-31T00:00:00Z
5081873262,9096969.34610357,2018-12-31T00:00:00Z
5081873273,,
5081873282,,
