Instrument,Sales per Employee,Date
5082068583,,
5082069154,,
5082069286,,
5082071849,,
5082086422,,
5082088939,,
5082095955,,
5082096156,,
5082103432,,
5082105073,,
5082105785,,
5082107289,,
5082107776,,
5082108859,,
5082109319,,
5082110833,,
5082112022,,
5082112132,,
5082124664,,
5082137670,,
5082143202,,
5082145169,,
5082148758,,
5082149584,,
5082150360,,
5082151381,,
5082152091,,
5082166813,,
5082178971,,
5082341875,,
5082341888,,
5082341891,,
5082355554,,2009-04-30T00:00:00Z
5082355554,1101894.33553951,2010-04-30T00:00:00Z
5082355554,1748434.87808989,2011-04-30T00:00:00Z
5082355554,1622298.93699766,2012-04-30T00:00:00Z
5082355554,1497764.65316417,2013-04-30T00:00:00Z
5082355554,,2014-12-31T00:00:00Z
5082355554,1421584.1144304,2015-12-31T00:00:00Z
5082355554,1408448.70039059,2016-12-31T00:00:00Z
5082355554,1723218.13267246,2017-12-31T00:00:00Z
5082355554,1842845.65975029,2018-12-31T00:00:00Z
5082355554,1960747.12645006,2019-12-31T00:00:00Z
5082355554,1887980.8297741,2020-12-31T00:00:00Z
5082355571,,
5082355683,,
5082355718,,
5082355720,,
5082355735,,
5082355746,,2019-12-31T00:00:00Z
5082355746,221183.312278502,2020-12-31T00:00:00Z
5082355760,,
5082355836,,
5082355866,,
5082355883,,
5082355886,,
5082355952,,
5082358929,,
5082358958,,
5082359040,,
5082359758,,
5082359765,,
5082360107,,
5082360785,,
5082360801,,
5082360812,,2018-12-31T00:00:00Z
5082360812,,2019-12-31T00:00:00Z
5082360812,857341.928045985,2020-12-31T00:00:00Z
5082360814,,
5082360815,,2018-12-31T00:00:00Z
5082360815,,2019-12-31T00:00:00Z
5082360815,28159.15276865,2020-12-31T00:00:00Z
5082360826,,
5082360844,,
5082360845,,
5082360849,,2017-12-31T00:00:00Z
5082360849,,2018-12-31T00:00:00Z
5082360849,285047.227532808,2019-12-31T00:00:00Z
5082360849,346710.665087777,2020-12-31T00:00:00Z
5082360857,,
5082360861,,
5082360865,,
5082360876,,
5082360954,,
5082361109,,
5082361147,,
5082361173,,
5082395773,,
5082419760,,
5082445343,,
5082446760,,
5082450392,,
5082451796,,
5082452288,,
5082467162,,
5082499805,,
5082503354,,
5082503651,,
5082525049,,
5082527864,,
5082531062,,
5082533788,,
5082535002,,
5082535415,,2009-12-31T00:00:00Z
5082535415,,2010-12-31T00:00:00Z
5082535415,443979.572717002,2011-12-31T00:00:00Z
5082535415,,2012-12-31T00:00:00Z
5082535415,,2013-12-31T00:00:00Z
5082535415,,2014-12-31T00:00:00Z
5082535415,,2015-12-31T00:00:00Z
5082535415,,2016-12-31T00:00:00Z
5082535415,,2017-12-31T00:00:00Z
5082535415,,2018-12-31T00:00:00Z
5082535415,,2019-12-31T00:00:00Z
5082535415,,2020-12-31T00:00:00Z
5082535505,,2013-12-31T00:00:00Z
5082535505,,2014-12-31T00:00:00Z
5082535505,486709.230445976,2015-12-31T00:00:00Z
5082535505,542669.58021176,2016-12-31T00:00:00Z
5082535505,599755.824579783,2017-12-31T00:00:00Z
5082535505,554749.394456557,2018-12-31T00:00:00Z
5082535505,613327.383830394,2019-12-31T00:00:00Z
5082535505,461482.628861784,2020-12-31T00:00:00Z
5082535582,,
5082535612,,
5082535661,,2008-03-31T00:00:00Z
5082535661,,2009-03-31T00:00:00Z
5082535661,,2010-03-31T00:00:00Z
5082535661,,2011-03-31T00:00:00Z
5082535661,2222279.77903482,2012-03-31T00:00:00Z
5082535661,1742893.07363905,2013-03-31T00:00:00Z
5082535661,1848798.06509181,2014-03-31T00:00:00Z
5082535661,1840586.92965415,2015-03-31T00:00:00Z
5082535661,1791554.2866618,2016-03-31T00:00:00Z
5082535661,,2017-03-31T00:00:00Z
5082535661,,2018-03-31T00:00:00Z
5082535661,2342097.97406331,2019-03-31T00:00:00Z
5082535661,2125790.21986773,2020-03-31T00:00:00Z
5082535661,2152808.7812841,2021-03-31T00:00:00Z
5082638546,,
5082703971,,
5082703972,,
5082749966,,
5083182266,,
5083184958,,
5083185217,,
5083185390,,
5083185908,,
5083186042,,
5083221833,,
5083222324,,
5083224798,,
5083225568,,
5083243489,,
5083253201,,
5083253230,,
5083253452,,
5083253487,,
5083253506,,2014-12-31T00:00:00Z
5083253506,,2015-12-31T00:00:00Z
5083253506,513375.551925558,2016-12-31T00:00:00Z
5083253506,,2017-12-31T00:00:00Z
5083253506,,2018-12-31T00:00:00Z
5083253506,,2019-12-31T00:00:00Z
5083253506,,2020-12-31T00:00:00Z
5083253705,,
5083253741,,
5083253776,,
5083253815,,
5083253862,,
5083253909,,
5083254219,,
5083254245,,
5083254246,,
5083254352,,
5083254422,,
5083254423,,
5083254442,,
5083254498,,
5083254577,,
5083254688,,
5083254809,,
5083254919,,
5083254955,,
5083255064,,
5083255070,,
5083255085,,2009-12-31T00:00:00Z
5083255085,,2010-12-31T00:00:00Z
5083255085,336598.158752081,2011-12-31T00:00:00Z
5083255085,214605.199515945,2012-12-31T00:00:00Z
5083255085,200649.711939019,2013-12-31T00:00:00Z
5083255085,179042.174525082,2014-12-31T00:00:00Z
5083255085,152137.524478459,2015-12-31T00:00:00Z
5083255085,230058.432737655,2016-12-31T00:00:00Z
5083255085,306626.870324871,2017-12-31T00:00:00Z
5083255085,369902.22294711,2018-12-31T00:00:00Z
5083255085,422181.499527758,2019-12-31T00:00:00Z
5083255085,776136.322923836,2020-12-31T00:00:00Z
5083255113,,
5083255159,,
5083255168,,
5083255296,,
5083255371,,
5083255375,,
5083255579,,
5083255618,,
5083255644,,
5083255656,,
5083255735,,
5083255818,,
5083255926,,
5083255955,,
5083255973,,
5083255975,,
5083256087,,
5083256099,,2008-12-31T00:00:00Z
5083256099,,2009-12-31T00:00:00Z
5083256099,373254.455559612,2010-12-31T00:00:00Z
5083256099,,2011-12-31T00:00:00Z
5083256099,,2012-12-31T00:00:00Z
5083256099,449090.381569916,2013-12-31T00:00:00Z
5083256099,494523.824402649,2014-12-31T00:00:00Z
5083256099,723956.244772009,2015-12-31T00:00:00Z
5083256099,1410635.33627741,2016-12-31T00:00:00Z
5083256099,1036932.21869406,2017-12-31T00:00:00Z
5083256099,980504.128735956,2018-12-31T00:00:00Z
5083256099,942037.240335985,2019-12-31T00:00:00Z
5083256099,760823.071177626,2020-12-31T00:00:00Z
5083256304,,
5083256430,,
5083256505,,
5083256506,,
5083256571,,
5083256599,,
5083256726,,
5083256840,,
5083256857,,
5083256907,,
5083256940,,
5083256989,,
5083257009,,
5083257071,,2014-04-30T00:00:00Z
5083257071,,2015-04-30T00:00:00Z
5083257071,564903.136673657,2016-04-30T00:00:00Z
5083257071,607393.181215593,2017-04-30T00:00:00Z
5083257071,575028.915135112,2018-04-30T00:00:00Z
5083257071,454709.982653281,2019-04-30T00:00:00Z
5083257071,297176.198386919,2020-04-30T00:00:00Z
5083257071,276385.959998057,2021-04-30T00:00:00Z
5083257074,,
5083257122,,
5083257200,,
5083257307,,
5083257419,,
5083257435,,
5083257493,,
5083257543,,
5083257582,,
5083257594,,
5083257676,,
5083257687,,2016-12-31T00:00:00Z
5083257687,,2017-12-31T00:00:00Z
5083257687,1632161.78747867,2018-12-31T00:00:00Z
5083257687,,2019-12-31T00:00:00Z
5083257687,,2020-12-31T00:00:00Z
5083257689,,
5083257705,,
5083257860,,
5083257911,,
5083257914,,
5083258075,,
5083258081,,
5083258083,,
5083258351,,
5083258451,,
5083258573,,
5083258616,,
5083258871,,2019-12-31T00:00:00Z
5083258871,333925.205982524,2020-12-31T00:00:00Z
5083258897,,
5083259063,,
5083259290,,
5083259292,,
5083259424,,
5083259487,,
5083259525,,
5083259550,,
5083259760,,
5083260211,,
5083260410,,
5083260480,,
5083260512,,
5083260767,,
5083260810,,
5083260874,,
5083261244,,
5083261263,,
5083261901,,
5083261927,,
5083261984,,
5083262004,,
5083262096,,
5083262311,,
5083262501,,
5083262542,,
5083262738,,
5083262742,,
5083262792,,
5083262882,,
5083262902,,
5083263077,,
5083263158,,
5083263429,,
5083263483,,
5083263494,,
5083263506,,
5083263640,,
5083263643,,
5083263707,,
5083263739,,
5083263874,,
5083264010,,
5083264024,,
5083264100,,
5083264334,,
5083264409,,
5083264434,,
5083264513,,
5083264525,,
5083264533,,
5083264573,,
5083264605,,
5083264617,,
5083264765,,
5083264874,,
5083264908,,
5083264964,,2013-12-31T00:00:00Z
5083264964,,2014-12-31T00:00:00Z
5083264964,,2015-12-31T00:00:00Z
5083264964,,2016-12-31T00:00:00Z
5083264964,,2017-12-31T00:00:00Z
5083264964,194293.297107889,2018-12-31T00:00:00Z
5083264964,180354.978750065,2019-12-31T00:00:00Z
5083264964,195201.867745361,2020-12-31T00:00:00Z
5083264993,,
5083265180,,
5083265265,,
5083265385,,2008-12-31T00:00:00Z
5083265385,,2009-12-31T00:00:00Z
5083265385,236936.295229699,2010-12-31T00:00:00Z
5083265385,265446.032640804,2011-12-31T00:00:00Z
5083265385,272502.76916813,2012-12-31T00:00:00Z
5083265385,269001.938467948,2013-12-31T00:00:00Z
5083265385,,2014-12-31T00:00:00Z
5083265385,,2015-12-31T00:00:00Z
5083265385,280550.237651895,2016-12-31T00:00:00Z
5083265385,351802.939283397,2017-12-31T00:00:00Z
5083265385,354889.284690526,2018-12-31T00:00:00Z
5083265385,390408.846257159,2019-12-31T00:00:00Z
5083265385,435888.912470124,2020-12-31T00:00:00Z
5083265453,,
5083265478,,
5083265672,,
5083265745,,
5083265747,,
5083265801,,
5083265828,,
5083265888,,
5083265989,,
5083266110,,
5083266116,,
5083266271,,
5083266310,,
5083266858,,
5083266892,,
5083266951,,
5083276865,,
5083277508,,
5083277739,,
5083277895,,
5083277908,,
5083278025,,
5083278125,,
5083278261,,
5083278570,,2015-12-31T00:00:00Z
5083278570,,2016-12-31T00:00:00Z
5083278570,,2017-12-31T00:00:00Z
5083278570,158936.80206593,2018-12-31T00:00:00Z
5083278570,220278.782610038,2019-12-31T00:00:00Z
5083278570,308382.581599608,2020-12-31T00:00:00Z
5083278576,,
5083278829,,
5083278862,,
5083278889,,
5083278917,,
5083279059,,
5083279147,,2008-12-31T00:00:00Z
5083279147,,2009-12-31T00:00:00Z
5083279147,1160345.85974399,2010-12-31T00:00:00Z
5083279147,,2011-12-31T00:00:00Z
5083279147,,2012-12-31T00:00:00Z
5083279147,,2013-12-31T00:00:00Z
5083279147,,2014-12-31T00:00:00Z
5083279147,751631.190211609,2015-12-31T00:00:00Z
