Instrument,Revenue from Business Activities - Total,Date
5082939794,,
5082939797,,
5082939809,,
5082939813,,
5082939814,3759527.80721134,2020-12-31T00:00:00Z
5082939816,,
5082939827,,
5082939830,,
5082939836,,
5082939844,,
5082939848,,
5082939854,,
5082939856,,
5082939862,,
5082939863,,
5082939874,,
5082939876,,
5082939882,,
5082939883,,
5082939885,,
5082939887,6455174.08052989,2018-12-31T00:00:00Z
5082939887,,2019-12-31T00:00:00Z
5082939887,,2020-12-31T00:00:00Z
5082939888,,
5082939894,,
5082939905,,
5082939921,,
5082939926,,
5082939927,,
5082939930,,
5082939934,,
5082939936,,
5082939945,,
5082939946,,
5082939959,,
5082939964,,
5082939967,,
5082939986,,
5082939996,,
5082939998,,
5082940006,,
5082940009,,
5082940015,,
5082940018,4955169.30329498,2020-05-31T00:00:00Z
5082940018,,2021-05-31T00:00:00Z
5082940019,,
5082940032,,
5082940033,,
5082940034,,
5082940046,,
5082940070,,
5082940073,,
5082940078,,
5082940087,,
5082940092,,
5082940097,,
5082940098,,
5082940099,,
5082940100,,
5082940107,,
5082940108,,
5082940110,,
5082940112,,
5082940117,,
5082940120,,
5082940121,,
5082940131,,
5082940132,,
5082940133,,
5082940136,,
5082940137,,
5082940138,,
5082940152,,
5082940163,,
5082940164,,
5082940168,7209307.38453947,2018-12-31T00:00:00Z
5082940168,,2019-12-31T00:00:00Z
5082940168,,2020-12-31T00:00:00Z
5082940171,6381211.03400828,2020-12-31T00:00:00Z
5082940172,,
5082940173,5691862.32424632,2020-12-31T00:00:00Z
5082940174,12293065.8186797,2020-12-31T00:00:00Z
5082940184,3808334.1189326,2020-12-31T00:00:00Z
5082940190,,
5082940193,,
5082940195,8240384.0476568,2020-12-31T00:00:00Z
5082940204,,
5082940209,,
5082940211,,
5082940214,,
5082940225,,
5082940235,,
5082940236,,
5082940250,,
5082940286,,
5082940289,6394804.92808608,2019-06-30T00:00:00Z
5082940293,,
5082940294,,
5082940296,,
5082940306,7203442.66820145,2020-06-30T00:00:00Z
5082940306,,2021-06-30T00:00:00Z
5082940310,,
5082940327,,
5082940351,,
5082940354,,
5082940355,,
5082940398,10171429.2410575,2020-12-31T00:00:00Z
5083151031,,
5083151145,,
5083151236,,
5083151242,,
5083161933,,
5083162018,,
5083201623,15911073.3105586,2018-12-31T00:00:00Z
5083201623,,2019-12-31T00:00:00Z
5083225724,4888771.26314454,2019-12-31T00:00:00Z
5083236382,10133011.1812531,2018-12-31T00:00:00Z
5083236405,10655531.6957659,2019-12-31T00:00:00Z
5083236569,,
5083236938,,
5083237167,17791067.5657118,2018-12-31T00:00:00Z
5083237167,,2019-12-31T00:00:00Z
5083237439,7769873.46644778,2018-12-31T00:00:00Z
5083237484,,
5083237764,,
5083237937,34363947.169003,2019-12-31T00:00:00Z
5083238380,,
5083238413,4502724.74354571,2019-12-31T00:00:00Z
5083238736,,
5083239021,,
5083239379,5663063.72750045,2019-12-31T00:00:00Z
5083239519,,
5083239646,15835197.8981187,2019-12-31T00:00:00Z
5083239677,7017717.42875645,2019-12-31T00:00:00Z
5083240045,12743276.0503854,2019-11-30T00:00:00Z
5083240138,18751715.0079554,2018-12-31T00:00:00Z
5083240138,,2019-12-31T00:00:00Z
5083240392,121736.488080386,2018-12-31T00:00:00Z
5083240392,,2019-12-31T00:00:00Z
5083240472,9954628.32413091,2018-12-31T00:00:00Z
5083240565,,
5083240603,,
5083240618,,
5083240635,,
5083240671,12595794.0357044,2019-03-31T00:00:00Z
5083240865,56448280.3745574,2019-12-31T00:00:00Z
5083240891,,
5083240894,,
5083240919,11241152.3388346,2018-12-31T00:00:00Z
5083240919,,2019-12-31T00:00:00Z
5083240919,,2020-12-31T00:00:00Z
5083240925,,
5083240960,,
5083240962,,
5083240968,,
5083240973,,
5083240982,,
5083240989,4872728.13762325,2017-12-31T00:00:00Z
5083240989,,2018-12-31T00:00:00Z
5083241058,,
5083241065,,
5083241068,,
5083241071,,
5083241077,,
5083241092,,
5083241104,6796907.57780291,2018-12-31T00:00:00Z
5083241104,,2019-12-31T00:00:00Z
5083241104,,2020-12-31T00:00:00Z
5083241112,,
5083241114,,
5083241119,84641295.8606136,2019-12-31T00:00:00Z
5083241119,,2020-12-31T00:00:00Z
5083241125,,
5083241129,11533058.1066674,2018-12-31T00:00:00Z
5083241129,,2019-12-31T00:00:00Z
5083241144,,
5083241160,,
5083241230,,
5083241239,,
5083241257,,
5083241274,,
5083241281,,
5083241306,,
5083241328,,
5083241338,,
5083241349,,
5083241357,,
5083241381,,
5083241408,,
5083241424,12222596.1906526,2018-12-31T00:00:00Z
5083241424,,2019-12-31T00:00:00Z
5083241426,,
5083241446,362914.766378533,2018-12-31T00:00:00Z
5083241446,,2019-12-31T00:00:00Z
5083241458,,
5083241464,,
5083241468,,
5083241473,16708088.5804166,2019-12-31T00:00:00Z
5083241490,10869352.2976169,2018-03-31T00:00:00Z
5083241490,,2019-03-31T00:00:00Z
5083241490,,2020-03-31T00:00:00Z
5083241496,,
5083241507,,
5083241512,,
5083241514,,
5083241520,,
5083241522,,
5083241529,,
5083241534,5177499.01748709,2018-12-31T00:00:00Z
5083241534,,2019-12-31T00:00:00Z
5083241534,,2020-12-31T00:00:00Z
5083241555,215206.76,2017-12-31T00:00:00Z
5083241555,2697385.09,2018-12-31T00:00:00Z
5083241555,2147107.04,2019-12-31T00:00:00Z
5083241555,214120.12,2020-12-31T00:00:00Z
5083241597,,
5083241598,,
5083241605,,
5083241615,,2018-01-01T00:00:00Z
5083241615,11239285.82,2019-01-01T00:00:00Z
5083241615,10636409.45,2020-01-01T00:00:00Z
5083241615,14626424.48,2021-01-01T00:00:00Z
5083241630,,
5083241640,,
5083241679,,
5083241703,,
5083241730,4487522.16886671,2018-12-31T00:00:00Z
5083241730,,2019-12-31T00:00:00Z
5083241753,,
5083241758,,
5083241791,,
5083241810,,
5083241822,,
5083241887,,
5083241889,,
5083241891,,
5083241901,,
5083241911,,
5083241929,,
5083241936,,
5083241945,,
5083241947,,
5083241950,,
5083241967,,
5083241979,,
5083241982,,
5083241988,,
5083242012,,
5083242028,,
5083242032,,
5083242044,6410934.40521922,2018-06-30T00:00:00Z
5083242044,,2019-12-31T00:00:00Z
5083242044,,2020-12-31T00:00:00Z
5083242083,,
5083242091,,
5083242095,7710685.61033543,2019-12-31T00:00:00Z
5083242109,,
5083242170,15627059.3325492,2019-12-31T00:00:00Z
5083242214,,
5083242252,,
5083242255,2350561.89022542,2017-12-31T00:00:00Z
5083242255,,2018-12-31T00:00:00Z
5083242255,,2019-12-31T00:00:00Z
5083242255,,2020-12-31T00:00:00Z
5083242264,,
5083242276,,
5083242280,,
5083242307,,
5083242315,13665637.7465811,2018-12-31T00:00:00Z
5083242315,,2019-12-31T00:00:00Z
5083242327,,
5083242340,,
5083242347,,
5083242350,,
5083242355,,
5083242359,,
5083242374,,
5083242390,1222470.94193509,2018-12-31T00:00:00Z
5083242390,,2019-12-31T00:00:00Z
5083242392,8547231.66744148,2016-12-31T00:00:00Z
5083242400,,
5083242405,,
5083242410,,
5083242415,,
5083242423,,
5083242424,,
5083242449,,
5083242451,,
5083242467,,
5083242476,,
5083242492,,
5083242510,,
5083242511,,
5083242523,,
5083242545,15916710.960026,2019-12-31T00:00:00Z
5083242552,,
5083242574,,
5083242578,,
5083242579,,
5083242590,,
5083242604,,
5083242622,,
5083242624,,
5083242635,,
5083242673,87982647.7836761,2019-12-31T00:00:00Z
5083242692,,
5083242729,,
5083242745,,
5083242757,25832055.9975219,2019-12-31T00:00:00Z
5083242758,,
5083242764,,
5083242789,,
5083242797,,
5083242822,,
5083242846,,
5083242858,8983645.86221981,2017-12-31T00:00:00Z
5083242858,,2018-12-31T00:00:00Z
5083242858,,2019-12-31T00:00:00Z
5083242858,,2020-12-31T00:00:00Z
5083242876,,
5083242941,,
5083242945,,
5083242956,,
5083242973,,
5083242977,,
5083242982,,
5083242987,,
5083242995,,
5083243046,9542488.36357705,2019-12-31T00:00:00Z
5083243046,9414698.75344238,2020-12-31T00:00:00Z
5083243057,,
5083243088,,
5083243114,,
5083243115,10604855.749934,2019-12-31T00:00:00Z
5083243115,6529355.14484163,2020-12-31T00:00:00Z
5083243196,,
5083243221,20845257.0538321,2019-05-20T00:00:00Z
5083243221,,2020-05-20T00:00:00Z
5083243225,,
5083243230,11714023.4031039,2020-12-31T00:00:00Z
5083243241,,
5083243242,,
5083243312,,
5083243322,,
5083243351,,
5083243361,,
5083243374,,
5083243385,8552392.87006815,2018-12-31T00:00:00Z
5083243385,,2019-12-31T00:00:00Z
5083243385,,2020-12-31T00:00:00Z
5083243391,,
5083243393,,
5083243409,,
5083243418,,
5083243436,10065359.8434351,2019-12-31T00:00:00Z
5083243436,,2020-12-31T00:00:00Z
5083243460,,
5083243462,,
5083243470,,
5083243476,,
5083243481,,
5083243483,5175674.23218314,2018-12-31T00:00:00Z
5083243483,,2019-12-31T00:00:00Z
5083243483,,2020-12-31T00:00:00Z
5083243500,,
5083243506,,
5083243522,,
5083243553,,
5083243559,,
5083243568,,
5083243611,,
5083243618,,
5083243678,,
5083243680,,
5083243684,,
5083243702,,
5083243716,8121826.40344265,2017-12-31T00:00:00Z
5083243716,,2018-12-31T00:00:00Z
5083243716,,2019-12-31T00:00:00Z
5083243725,,
5083243747,,
5083243799,,
5083243802,,
5083243819,,
5083243827,12782712.7072924,2019-05-31T00:00:00Z
5083243827,,2020-05-31T00:00:00Z
5083243827,,2021-05-31T00:00:00Z
5083243863,,
5083243873,,
5083243888,,
5083243893,,
5083243896,,
5083243952,,
5083243960,,
5083243980,,
5083243999,4678144.28359548,2020-12-31T00:00:00Z
5083244006,,
5083244012,9623965.4676304,2018-12-31T00:00:00Z
5083244012,,2019-12-31T00:00:00Z
5083244012,,2020-12-31T00:00:00Z
5083244038,,
5083244070,,
5083244075,,
5083244080,,
5083244089,,
5083244099,,
5083244116,3081194.09802622,2019-09-30T00:00:00Z
5083244130,,
5083244141,,
5083244145,6637461.85207695,2018-07-31T00:00:00Z
5083244145,,2019-07-31T00:00:00Z
5083244147,,
5083244166,,
5083244169,,
5083244172,7644771.70222571,2018-12-31T00:00:00Z
5083244172,,2019-12-31T00:00:00Z
5083244172,,2020-12-31T00:00:00Z
5083244177,4503998.35793815,2019-12-31T00:00:00Z
5083244236,,
5083244250,,
5083244263,,
5083244277,,
5083244305,,
5083244308,5186100.67445161,2018-12-31T00:00:00Z
5083244308,,2019-12-31T00:00:00Z
5083244308,734679.848393055,2020-12-31T00:00:00Z
5083244318,4422143.58517332,2019-12-31T00:00:00Z
5083244323,,
5083244333,,
5083244344,,
5083244359,,
5083244368,,
5083244385,6463906.70326599,2018-03-31T00:00:00Z
5083244385,,2019-03-31T00:00:00Z
5083244385,,2020-03-31T00:00:00Z
5083244385,,2021-03-31T00:00:00Z
5083244387,,
5083244394,13276237.728184,2019-12-31T00:00:00Z
5083244659,9846393.42789631,2019-12-31T00:00:00Z
5083254735,15681611.2143751,2019-12-31T00:00:00Z
5083254851,,
5083255388,,
5083259328,,
5083261065,,
5083261931,,
5083262124,,
5083275861,,
5083275895,,
5083276001,,
5083276033,3430813.75668485,2018-12-31T00:00:00Z
5083276033,,2019-12-31T00:00:00Z
5083276061,7494903.53052549,2018-12-31T00:00:00Z
5083276061,,2019-12-31T00:00:00Z
5083276061,,2020-12-31T00:00:00Z
5083276074,,
5083276114,,
5083276177,,
5083276359,,
5083276374,,
5083276391,1039373.85617405,2019-12-31T00:00:00Z
5083276394,33970567.3332229,2018-12-31T00:00:00Z
5083276414,,
5083276488,,
5083276493,,
5083276536,,
5083276568,,
5083276625,1686629.21752154,2020-12-31T00:00:00Z
5083276670,,
5083276760,,
5083276827,,
5083277002,,
5083277012,8875794.32756718,2019-03-31T00:00:00Z
5083277012,,2020-03-31T00:00:00Z
5083277079,9281580.64756819,2016-12-31T00:00:00Z
5083277079,,2017-12-31T00:00:00Z
5083277079,,2018-12-31T00:00:00Z
5083277079,,2019-12-31T00:00:00Z
5083277079,,2020-12-31T00:00:00Z
5083277122,,
5083277170,3157761.15193445,2018-12-31T00:00:00Z
5083277170,,2019-12-31T00:00:00Z
5083277235,,
5083277288,2647002.7138291,2019-12-31T00:00:00Z
5083277351,10902339.8738188,2019-12-31T00:00:00Z
5083277351,,2020-12-31T00:00:00Z
5083277372,2955038.03155556,2020-12-31T00:00:00Z
5083282731,13492433.7116439,2018-12-31T00:00:00Z
5083282731,,2019-12-31T00:00:00Z
5083282782,6715802.47534945,2015-12-31T00:00:00Z
5083282817,,
5083282945,,
5083282964,9532995.57148072,2019-12-31T00:00:00Z
5083282984,7502797.97658816,2019-12-31T00:00:00Z
5083282985,39238270.9293275,2019-12-31T00:00:00Z
5083282985,,2020-12-31T00:00:00Z
5083283083,9657504.49874914,2019-12-31T00:00:00Z
5083283083,11675185.8072687,2020-12-31T00:00:00Z
5083283180,22262303.8745371,2019-08-31T00:00:00Z
5083283218,13368877.5470144,2018-12-31T00:00:00Z
5083283222,,
5083283238,22591517.5331767,2018-12-31T00:00:00Z
5083283238,,2019-12-31T00:00:00Z
5083283268,8963909.41002488,2016-12-31T00:00:00Z
5083283279,4827255.26351793,2018-12-31T00:00:00Z
5083283279,,2019-12-31T00:00:00Z
5083283339,4962101.9166008,2020-12-31T00:00:00Z
5083283422,13836814.4108634,2018-12-31T00:00:00Z
5083283422,,2019-12-31T00:00:00Z
5083283422,9609650.54523788,2020-12-31T00:00:00Z
5083283432,4404237.00136867,2019-12-31T00:00:00Z
5083283550,,
5083283579,14002101.57586,2019-12-31T00:00:00Z
5083283766,,
5083283777,16459046.8563591,2016-12-31T00:00:00Z
5083283777,,2017-12-31T00:00:00Z
5083283777,,2018-12-31T00:00:00Z
5083283777,65760513.7432323,2019-12-31T00:00:00Z
5083283779,21702960.9379806,2018-12-31T00:00:00Z
5083283838,,
5083283869,5766501.04168647,2020-12-31T00:00:00Z
5083283908,1337410.87467369,2019-12-31T00:00:00Z
5083283933,5596004.03552421,2019-12-31T00:00:00Z
5083284004,203377424.687632,2018-12-31T00:00:00Z
5083284004,,2019-12-31T00:00:00Z
5083284023,3750479.29078531,2018-12-31T00:00:00Z
5083284023,,2019-12-31T00:00:00Z
5083284038,,
5083284048,9613532.52331032,2018-12-31T00:00:00Z
5083284048,,2019-12-31T00:00:00Z
5083284080,4551856.84407419,2020-12-31T00:00:00Z
5083284125,12021823.7045759,2018-12-31T00:00:00Z
5083284125,,2019-12-31T00:00:00Z
5083284125,,2020-12-31T00:00:00Z
5083284168,,
5083284185,23181588.1217038,2019-05-31T00:00:00Z
5083284185,,2020-05-31T00:00:00Z
5083284263,19931087.4973094,2019-12-31T00:00:00Z
5083284263,,2020-12-31T00:00:00Z
5083284271,19136191.6561303,2020-03-31T00:00:00Z
5083284380,7005856.88917658,2018-12-31T00:00:00Z
5083284424,5252715.77229051,2018-12-31T00:00:00Z
5083284424,,2019-12-31T00:00:00Z
5083284476,16666594.4387936,2020-03-31T00:00:00Z
5083284569,8138567.65880739,2018-12-31T00:00:00Z
5083284597,12928100.2807529,2018-03-31T00:00:00Z
5083284597,,2019-03-31T00:00:00Z
5083284597,,2020-03-31T00:00:00Z
5083284619,,
5083284678,85504578.3102957,2016-05-31T00:00:00Z
5083284687,47660230.5010955,2018-12-31T00:00:00Z
5083284713,18187676.9935643,2019-12-31T00:00:00Z
5083284739,12432397.6113711,2018-12-31T00:00:00Z
5083284739,,2019-12-31T00:00:00Z
5083284756,15620948.2328815,2016-12-31T00:00:00Z
5083284824,22440486.408019,2019-12-31T00:00:00Z
5083284870,9206506.54645451,2019-12-31T00:00:00Z
5083285001,17306100.5268061,2019-06-30T00:00:00Z
5083285043,,
5083285236,16599000.5267379,2018-12-31T00:00:00Z
5083285236,,2019-12-31T00:00:00Z
5083285304,,
5083285312,2215401.6882311,2019-12-31T00:00:00Z
5083285576,4275466.13378484,2019-12-31T00:00:00Z
5083285660,10567376.4195255,2019-12-31T00:00:00Z
5083285691,,
5083285887,,
5083285987,30484204.0970914,2019-12-31T00:00:00Z
5083286039,41318721.9166521,2020-03-31T00:00:00Z
5083286136,3872847.43673575,2018-03-31T00:00:00Z
5083286141,,
5083286143,91809742.8211118,2018-12-31T00:00:00Z
5083286143,,2019-12-31T00:00:00Z
5083286145,911.469899651779,2019-05-31T00:00:00Z
5083286145,,2020-05-31T00:00:00Z
5083286169,7250619.74793527,2019-12-31T00:00:00Z
5083286169,6944720.50318621,2020-12-31T00:00:00Z
5083286197,26136321.6957434,2019-12-31T00:00:00Z
5083286197,,2020-12-31T00:00:00Z
5083286206,11088350.4104847,2018-12-31T00:00:00Z
5083286206,,2019-12-31T00:00:00Z
5083286209,7998925.88292103,2018-12-31T00:00:00Z
5083286307,13244869.0569511,2019-04-30T00:00:00Z
5083286307,,2020-04-30T00:00:00Z
5083286307,,2021-04-30T00:00:00Z
5083286419,34085577.2545567,2020-12-31T00:00:00Z
5083286505,17961776.3298566,2019-12-31T00:00:00Z
5083286639,35064157.3557727,2020-12-31T00:00:00Z
5083286675,10878680.2692844,2018-12-31T00:00:00Z
5083286675,,2019-12-31T00:00:00Z
5083286703,,
5083286734,22153577.0305759,2019-04-30T00:00:00Z
5083286949,17827642.5360217,2019-12-31T00:00:00Z
5083286971,,
5083287045,9912442.05344287,2018-12-31T00:00:00Z
5083287075,11429606.8191217,2019-12-31T00:00:00Z
5083287075,,2020-03-25T00:00:00Z
5083287075,,2021-03-25T00:00:00Z
5083288043,23829077.0749206,2018-03-31T00:00:00Z
5083288043,,2019-03-31T00:00:00Z
5083288043,,2020-03-31T00:00:00Z
5083288779,9609393.99553554,2019-12-31T00:00:00Z
5083289886,13560637.6788596,2019-12-31T00:00:00Z
5083290501,17221060.116468,2019-12-31T00:00:00Z
5083290501,,2020-12-31T00:00:00Z
5083290748,17361702.7929278,2019-12-31T00:00:00Z
5083291019,3190465.49481974,2020-12-31T00:00:00Z
5083291689,28072651.0907409,2018-12-31T00:00:00Z
5083291689,,2019-12-31T00:00:00Z
5083292961,,
5083292989,20089893.5565071,2019-12-31T00:00:00Z
5083293031,,
5083293132,,
5083293541,,
5083294064,20694947.9482639,2019-12-31T00:00:00Z
5083294545,262666529.319838,2020-03-31T00:00:00Z
5083294861,,
5083294934,,
5083295686,24212571.7972361,2017-12-31T00:00:00Z
5083295686,,2018-12-31T00:00:00Z
5083295686,,2019-12-31T00:00:00Z
5083295782,,
5083308129,,
5083309062,33881147.077486,2018-06-30T00:00:00Z
5083309062,,2019-06-30T00:00:00Z
5083309062,,2020-06-30T00:00:00Z
5083309990,,
5083311326,26784638.1371802,2018-12-31T00:00:00Z
5083311326,,2019-12-31T00:00:00Z
5083311529,7895041.01977432,2016-12-31T00:00:00Z
5083311529,,2017-12-31T00:00:00Z
5083311529,,2018-12-31T00:00:00Z
5083311529,,2019-12-31T00:00:00Z
5083312383,,
5083312895,19580060.2800767,2019-12-31T00:00:00Z
5083312977,,
5083313706,24108425.4590026,2019-12-31T00:00:00Z
5083326060,16681370.0795178,2019-12-31T00:00:00Z
5083327016,9156765.66337106,2019-12-31T00:00:00Z
5083337514,7601724.65603277,2019-12-31T00:00:00Z
5083337590,61796798.9347473,2018-12-31T00:00:00Z
5083337688,14606269.2601784,2019-12-31T00:00:00Z
5083337714,5292166.9437189,2020-12-31T00:00:00Z
5083337796,,
5083337800,13237802.6266354,2018-12-31T00:00:00Z
5083337800,,2019-12-31T00:00:00Z
5083337806,6247530.84601204,2019-12-31T00:00:00Z
5083337847,20036373.3513392,2019-12-31T00:00:00Z
5083337994,20672611.373323,2019-12-31T00:00:00Z
5083338005,7176027.70681413,2015-12-31T00:00:00Z
5083338005,,2016-12-31T00:00:00Z
5083338005,,2017-12-31T00:00:00Z
5083338005,,2018-12-31T00:00:00Z
5083338005,,2019-12-31T00:00:00Z
5083338005,,2020-12-31T00:00:00Z
5083338057,3822388.79251716,2018-12-31T00:00:00Z
5083338107,42074486.8430128,2019-12-31T00:00:00Z
5083338114,,
5083338144,23639973.4795278,2018-12-31T00:00:00Z
5083338144,,2019-12-31T00:00:00Z
5083338144,17894691.2260312,2020-12-31T00:00:00Z
