Instrument,Operating Profit before Non-Recurring Income/Expense,Date
5082939794,,
5082939797,,
5082939809,,
5082939813,,
5082939814,,
5082939816,,
5082939827,,
5082939830,,
5082939836,,
5082939844,,
5082939848,,
5082939854,,
5082939856,,
5082939862,,
5082939863,,
5082939874,,
5082939876,,
5082939882,,
5082939883,,
5082939885,,
5082939887,,
5082939888,,
5082939894,,
5082939905,,
5082939921,,
5082939926,,
5082939927,,
5082939930,,
5082939934,,
5082939936,,
5082939945,,
5082939946,,
5082939959,,
5082939964,,
5082939967,,
5082939986,,
5082939996,,
5082939998,,
5082940006,,
5082940009,,
5082940015,,
5082940018,,
5082940019,,
5082940032,,
5082940033,,
5082940034,,
5082940046,,
5082940070,,
5082940073,,
5082940078,,
5082940087,,
5082940092,,
5082940097,,
5082940098,,
5082940099,,
5082940100,,
5082940107,,
5082940108,,
5082940110,,
5082940112,,
5082940117,,
5082940120,,
5082940121,,
5082940131,,
5082940132,,
5082940133,,
5082940136,,
5082940137,,
5082940138,,
5082940152,,
5082940163,,
5082940164,,
5082940168,,
5082940171,,
5082940172,,
5082940173,,
5082940174,,
5082940184,,
5082940190,,
5082940193,,
5082940195,,
5082940204,,
5082940209,,
5082940211,,
5082940214,,
5082940225,,
5082940235,,
5082940236,,
5082940250,,
5082940286,,
5082940289,,
5082940293,,
5082940294,,
5082940296,,
5082940306,,
5082940310,,
5082940327,,
5082940351,,
5082940354,,
5082940355,,
5082940398,,
5083151031,,
5083151145,,
5083151236,,
5083151242,,
5083161933,,
5083162018,,
5083201623,,
5083225724,,
5083236382,,
5083236405,,
5083236569,,
5083236938,,
5083237167,,
5083237439,,
5083237484,,
5083237764,,
5083237937,,
5083238380,,
5083238413,,
5083238736,,
5083239021,,
5083239379,,
5083239519,,
5083239646,,
5083239677,,
5083240045,,
5083240138,,
5083240392,,
5083240472,,
5083240565,,
5083240603,,
5083240618,,
5083240635,,
5083240671,,
5083240865,,
5083240891,,
5083240894,,
5083240919,,
5083240925,,
5083240960,,
5083240962,,
5083240968,,
5083240973,,
5083240982,,
5083240989,,
5083241058,,
5083241065,,
5083241068,,
5083241071,,
5083241077,,
5083241092,,
5083241104,,
5083241112,,
5083241114,,
5083241119,,
5083241125,,
5083241129,,
5083241144,,
5083241160,,
5083241230,,
5083241239,,
5083241257,,
5083241274,,
5083241281,,
5083241306,,
5083241328,,
5083241338,,
5083241349,,
5083241357,,
5083241381,,
5083241408,,
5083241424,,
5083241426,,
5083241446,,
5083241458,,
5083241464,,
5083241468,,
5083241473,,
5083241490,,
5083241496,,
5083241507,,
5083241512,,
5083241514,,
5083241520,,
5083241522,,
5083241529,,
5083241534,,
5083241555,-1145597.22,2017-12-31T00:00:00Z
5083241555,-4940281.05,2018-12-31T00:00:00Z
5083241555,-2006679.08,2019-12-31T00:00:00Z
5083241555,-2513701.86,2020-12-31T00:00:00Z
5083241597,,
5083241598,,
5083241605,,
5083241615,,2018-01-01T00:00:00Z
5083241615,-4211668.95,2019-01-01T00:00:00Z
5083241615,-4478835.84,2020-01-01T00:00:00Z
5083241615,-10678270.23,2021-01-01T00:00:00Z
5083241630,,
5083241640,,
5083241679,,
5083241703,,
5083241730,,
5083241753,,
5083241758,,
5083241791,,
5083241810,,
5083241822,,
5083241887,,
5083241889,,
5083241891,,
5083241901,,
5083241911,,
5083241929,,
5083241936,,
5083241945,,
5083241947,,
5083241950,,
5083241967,,
5083241979,,
5083241982,,
5083241988,,
5083242012,,
5083242028,,
5083242032,,
5083242044,,
5083242083,,
5083242091,,
5083242095,,
5083242109,,
5083242170,,
5083242214,,
5083242252,,
5083242255,,
5083242264,,
5083242276,,
5083242280,,
5083242307,,
5083242315,,
5083242327,,
5083242340,,
5083242347,,
5083242350,,
5083242355,,
5083242359,,
5083242374,,
5083242390,,
5083242392,,
5083242400,,
5083242405,,
5083242410,,
5083242415,,
5083242423,,
5083242424,,
5083242449,,
5083242451,,
5083242467,,
5083242476,,
5083242492,,
5083242510,,
5083242511,,
5083242523,,
5083242545,,
5083242552,,
5083242574,,
5083242578,,
5083242579,,
5083242590,,
5083242604,,
5083242622,,
5083242624,,
5083242635,,
5083242673,,
5083242692,,
5083242729,,
5083242745,,
5083242757,,
5083242758,,
5083242764,,
5083242789,,
5083242797,,
5083242822,,
5083242846,,
5083242858,,
5083242876,,
5083242941,,
5083242945,,
5083242956,,
5083242973,,
5083242977,,
5083242982,,
5083242987,,
5083242995,,
5083243046,,
5083243057,,
5083243088,,
5083243114,,
5083243115,,
5083243196,,
5083243221,,
5083243225,,
5083243230,,
5083243241,,
5083243242,,
5083243312,,
5083243322,,
5083243351,,
5083243361,,
5083243374,,
5083243385,,
5083243391,,
5083243393,,
5083243409,,
5083243418,,
5083243436,,
5083243460,,
5083243462,,
5083243470,,
5083243476,,
5083243481,,
5083243483,,
5083243500,,
5083243506,,
5083243522,,
5083243553,,
5083243559,,
5083243568,,
5083243611,,
5083243618,,
5083243678,,
5083243680,,
5083243684,,
5083243702,,
5083243716,,
5083243725,,
5083243747,,
5083243799,,
5083243802,,
5083243819,,
5083243827,,
5083243863,,
5083243873,,
5083243888,,
5083243893,,
5083243896,,
5083243952,,
5083243960,,
5083243980,,
5083243999,,
5083244006,,
5083244012,,
5083244038,,
5083244070,,
5083244075,,
5083244080,,
5083244089,,
5083244099,,
5083244116,,
5083244130,,
5083244141,,
5083244145,,
5083244147,,
5083244166,,
5083244169,,
5083244172,,
5083244177,,
5083244236,,
5083244250,,
5083244263,,
5083244277,,
5083244305,,
5083244308,,
5083244318,,
5083244323,,
5083244333,,
5083244344,,
5083244359,,
5083244368,,
5083244385,,
5083244387,,
5083244394,,
5083244659,,
5083254735,,
5083254851,,
5083255388,,
5083259328,,
5083261065,,
5083261931,,
5083262124,,
5083275861,,
5083275895,,
5083276001,,
5083276033,,
5083276061,,
5083276074,,
5083276114,,
5083276177,,
5083276359,,
5083276374,,
5083276391,,
5083276394,,
5083276414,,
5083276488,,
5083276493,,
5083276536,,
5083276568,,
5083276625,,
5083276670,,
5083276760,,
5083276827,,
5083277002,,
5083277012,,
5083277079,,
5083277122,,
5083277170,,
5083277235,,
5083277288,,
5083277351,,
5083277372,,
5083282731,,
5083282782,,
5083282817,,
5083282945,,
5083282964,,
5083282984,,
5083282985,,
5083283083,,
5083283180,,
5083283218,,
5083283222,,
5083283238,,
5083283268,,
5083283279,,
5083283339,,
5083283422,,
5083283432,,
5083283550,,
5083283579,,
5083283766,,
5083283777,,2016-12-31T00:00:00Z
5083283777,,2017-12-31T00:00:00Z
5083283777,,2018-12-31T00:00:00Z
5083283777,660888.140614616,2019-12-31T00:00:00Z
5083283779,,
5083283838,,
5083283869,,
5083283908,,
5083283933,,
5083284004,,
5083284023,,
5083284038,,
5083284048,,
5083284080,,
5083284125,,
5083284168,,
5083284185,,
5083284263,,
5083284271,,
5083284380,,
5083284424,,
5083284476,,
5083284569,,
5083284597,,
5083284619,,
5083284678,,
5083284687,,
5083284713,,
5083284739,,
5083284756,,
5083284824,,
5083284870,,
5083285001,,
5083285043,,
5083285236,,
5083285304,,
5083285312,,
5083285576,,
5083285660,,
5083285691,,
5083285887,,
5083285987,,
5083286039,,
5083286136,,
5083286141,,
5083286143,,
5083286145,,
5083286169,,
5083286197,,
5083286206,,
5083286209,,
5083286307,,
5083286419,,
5083286505,,
5083286639,,
5083286675,,
5083286703,,
5083286734,,
5083286949,,
5083286971,,
5083287045,,
5083287075,,
5083288043,,
5083288779,,
5083289886,,
5083290501,,
5083290748,,
5083291019,,
5083291689,,
5083292961,,
5083292989,,
5083293031,,
5083293132,,
5083293541,,
5083294064,,
5083294545,,
5083294861,,
5083294934,,
5083295686,,
5083295782,,
5083308129,,
5083309062,,
5083309990,,
5083311326,,
5083311529,,
5083312383,,
5083312895,,
5083312977,,
5083313706,,
5083326060,,
5083327016,,
5083337514,,
5083337590,,
5083337688,,
5083337714,,
5083337796,,
5083337800,,
5083337806,,
5083337847,,
5083337994,,
5083338005,,
5083338057,,
5083338107,,
5083338114,,
5083338144,,
5083338157,,
5083338200,,
5083338333,,
5083338341,,
5083338487,,
5083338768,,
5083338836,,
5083338871,,
5083338872,,
5083339092,,
5083339297,,
5083339327,,
5083339365,1873607.07928986,2019-12-31T00:00:00Z
5083339365,12865375.8460796,2020-12-31T00:00:00Z
5083339504,,
5083339578,,
5083339802,,
5083339820,,
5083340410,,
5083340495,,
5083340547,,
5083340854,,
5083340868,,
5083340921,,
5083340942,,
5083340954,,
5083340956,,
5083341312,,
5083341341,,
5083341353,,
5083341467,,
5083341489,,
5083341529,,
5083341593,,
5083341600,,
5083341676,,
5083365457,,
5083367043,,
5083367717,,
5083415781,,
5083421268,,
5083426980,,
5083428222,,
5083439461,,
5083455014,,
5083460418,,
5083460421,,
5083478474,,
5083478490,,
5083483341,,2017-12-31T00:00:00Z
5083483341,,2018-12-31T00:00:00Z
5083483341,14993.6522792832,2019-12-31T00:00:00Z
5083484009,,
5083502345,,2017-12-31T00:00:00Z
5083502345,,2018-12-31T00:00:00Z
5083502345,,2019-12-31T00:00:00Z
5083502345,-201976.46,2020-12-31T00:00:00Z
5083502346,,2017-12-31T00:00:00Z
5083502346,,2018-12-31T00:00:00Z
5083502346,,2019-12-31T00:00:00Z
5083502346,320548.35,2020-12-31T00:00:00Z
5083502352,,
5083502353,,
5083502354,-61685.1474322747,2017-12-31T00:00:00Z
5083502354,2578.60985525214,2018-12-31T00:00:00Z
5083502354,-44924.4594874736,2019-12-31T00:00:00Z
5083502354,14364.1353696653,2020-12-31T00:00:00Z
5083502368,,2019-12-31T00:00:00Z
5083502368,-2565.29,2020-12-31T00:00:00Z
5083502374,,
5083502376,,
5083502386,,
5083502398,,
5083502399,,
5083502402,-7197.81449330417,2016-12-31T00:00:00Z
5083502402,26107.8011356541,2017-12-31T00:00:00Z
5083502406,,
5083502408,,
5083502409,13946.6601142904,2019-12-31T00:00:00Z
5083502409,36406.0820833361,2020-12-31T00:00:00Z
5083502411,-42182.2466149866,2019-12-31T00:00:00Z
5083502411,5347.71660165142,2020-12-31T00:00:00Z
5083502412,,
5083502414,,
5083502416,-7569.88,2019-12-31T00:00:00Z
5083502416,-16183.96,2020-12-31T00:00:00Z
5083502423,881.15,2019-06-30T00:00:00Z
5083502423,15758.02,2020-06-30T00:00:00Z
5083502431,,2017-12-31T00:00:00Z
5083502431,,2018-12-31T00:00:00Z
5083502431,,2019-12-31T00:00:00Z
5083502431,-262420.61,2020-12-31T00:00:00Z
5083502436,,
5083502445,-1731.26,2018-12-31T00:00:00Z
5083502445,-508.63,2019-12-31T00:00:00Z
5083502445,-283.35,2020-12-31T00:00:00Z
5083502446,,2018-12-31T00:00:00Z
5083502446,-35729.14,2019-12-31T00:00:00Z
5083502446,-181291.33,2020-12-31T00:00:00Z
5083502452,,2018-12-31T00:00:00Z
5083502452,,2019-12-31T00:00:00Z
5083502452,-166812.8,2020-12-31T00:00:00Z
5083502454,,
5083502462,-483.34,2018-12-31T00:00:00Z
5083502462,-3236.04,2019-12-31T00:00:00Z
5083502469,10188.137974187,2017-12-31T00:00:00Z
5083502469,9313.39539282924,2018-12-31T00:00:00Z
5083502469,10544.8711973817,2019-12-31T00:00:00Z
5083502469,17767.1049688758,2020-12-31T00:00:00Z
5083502471,-581.18,2017-12-31T00:00:00Z
5083502471,-94617.87,2018-12-31T00:00:00Z
5083502471,-57453.62,2019-12-31T00:00:00Z
5083502471,-118552.11,2020-12-31T00:00:00Z
5083502472,2632.29775748586,2017-12-31T00:00:00Z
5083502472,471702.957905266,2018-12-31T00:00:00Z
5083502472,369929.129547748,2019-12-31T00:00:00Z
5083502472,171807.004933096,2020-12-31T00:00:00Z
5083502474,-22139.8692127026,2016-12-31T00:00:00Z
5083502474,-21473.4095257379,2017-12-31T00:00:00Z
5083502474,11652.8700651855,2018-12-31T00:00:00Z
5083502474,-165213.612451352,2019-12-31T00:00:00Z
5083502474,-269022.094800392,2020-12-31T00:00:00Z
5083502476,,
5083502495,,
5083502497,,2017-12-31T00:00:00Z
5083502497,,2018-12-31T00:00:00Z
5083502497,,2019-12-31T00:00:00Z
5083502497,-759347.154243248,2020-12-31T00:00:00Z
5083502498,,
5083502502,,
5083502511,,2018-02-28T00:00:00Z
5083502511,93333.37,2019-02-28T00:00:00Z
5083502511,100496.86,2020-02-29T00:00:00Z
5083502511,52436.73,2021-02-28T00:00:00Z
5083502513,,
5083502514,,
5083502516,-808.235060041318,2015-12-31T00:00:00Z
5083502516,13483.2757505929,2016-12-31T00:00:00Z
5083502516,21981.5506510205,2017-12-31T00:00:00Z
5083502516,-44798.0209479933,2018-12-31T00:00:00Z
5083502518,-3625.55685029614,2017-12-31T00:00:00Z
5083502518,102597.047685552,2018-12-31T00:00:00Z
5083502518,,2019-12-31T00:00:00Z
5083502518,1754.53927068821,2020-12-31T00:00:00Z
5083502520,,
5083502521,,
5083502530,,2017-12-31T00:00:00Z
5083502530,,2018-12-31T00:00:00Z
5083502530,,2019-12-31T00:00:00Z
5083502530,-98214.38,2020-12-31T00:00:00Z
5083502531,-552.22,2016-12-31T00:00:00Z
5083502532,-3144.62,2016-12-31T00:00:00Z
5083502532,169761.95,2017-12-31T00:00:00Z
5083502532,-81923.18,2018-12-31T00:00:00Z
5083502532,-39734.28,2019-12-31T00:00:00Z
5083502534,1589.24,2017-12-31T00:00:00Z
5083502534,-32291.6,2018-12-31T00:00:00Z
5083502534,-31115.88,2019-12-31T00:00:00Z
5083502534,-14040.71,2020-12-31T00:00:00Z
5083502535,-118317.001893001,2017-12-31T00:00:00Z
5083502535,-338472.774331182,2018-12-31T00:00:00Z
5083502535,-1745407.3459661,2019-12-31T00:00:00Z
5083502535,-1249538.74212301,2020-12-31T00:00:00Z
5083502539,,
5083502564,,2017-12-31T00:00:00Z
5083502564,,2018-12-31T00:00:00Z
5083502564,,2019-12-31T00:00:00Z
5083502564,82909.71,2020-12-31T00:00:00Z
5083502569,,
5083502571,,
5083502574,,
5083502577,-134701.72,2016-12-31T00:00:00Z
5083502577,-319616.61,2017-12-31T00:00:00Z
5083502577,-311873.82,2018-12-31T00:00:00Z
5083502577,-586302.68,2019-12-31T00:00:00Z
5083502579,-312482.13443671,2014-12-31T00:00:00Z
5083502584,-24361.35,2017-12-31T00:00:00Z
5083502584,-41714.22,2018-12-31T00:00:00Z
5083502584,-28153.75,2019-12-31T00:00:00Z
5083502584,-22583.75,2020-12-31T00:00:00Z
5083502589,,
5083502601,,2017-12-31T00:00:00Z
5083502601,-333906.31,2018-12-31T00:00:00Z
5083502601,-299205.4,2019-12-31T00:00:00Z
5083502604,-197720.9,2018-12-31T00:00:00Z
5083502604,249192.74,2019-12-31T00:00:00Z
5083502604,58270.49,2020-12-31T00:00:00Z
5083502605,-465.23,2018-12-31T00:00:00Z
5083502612,,2018-12-31T00:00:00Z
5083502612,,2019-12-31T00:00:00Z
5083502612,24818.47,2020-12-31T00:00:00Z
5083502613,,
5083502620,2555.30765716144,2018-12-31T00:00:00Z
5083502620,-12119.4121237138,2019-12-31T00:00:00Z
5083502620,-1888.79119348945,2020-12-31T00:00:00Z
5083502628,,
5083502631,,
5083502634,6655.4,2017-05-31T00:00:00Z
5083502634,468.15,2018-05-31T00:00:00Z
5083502634,-13778.75,2019-05-31T00:00:00Z
5083502634,35403.3,2020-05-31T00:00:00Z
5083502637,,
5083502638,-280.1,2015-12-31T00:00:00Z
5083502638,-390.74,2016-12-31T00:00:00Z
5083502638,2345.65,2017-12-31T00:00:00Z
5083502638,12646.96,2018-12-31T00:00:00Z
5083502639,,2017-12-31T00:00:00Z
5083502639,,2018-12-31T00:00:00Z
5083502639,,2019-12-31T00:00:00Z
5083502639,-170284.26,2020-12-31T00:00:00Z
5083502640,,
5083502645,,
5083502646,120807.76,2017-12-31T00:00:00Z
5083502646,391570.63,2018-12-31T00:00:00Z
5083502646,484778.33,2019-12-31T00:00:00Z
5083502646,-52033.82,2020-12-31T00:00:00Z
5083502647,,
5083502650,-790.52,2012-12-31T00:00:00Z
5083502650,-13008.63,2013-12-31T00:00:00Z
5083502650,5904.3,2014-12-31T00:00:00Z
5083502654,-242933.062107899,2015-11-30T00:00:00Z
5083502654,-490240.774217252,2016-11-30T00:00:00Z
5083502654,-160109.721377915,2017-11-30T00:00:00Z
5083502654,-161904.706591941,2018-11-30T00:00:00Z
5083502656,,
5083502669,-196726.451851572,2017-12-31T00:00:00Z
5083502669,-150086.877746265,2018-12-31T00:00:00Z
5083502669,136204.374491059,2019-12-31T00:00:00Z
5083502669,,2020-12-31T00:00:00Z
5083502675,,
5083502676,-12503.4669014182,2017-12-31T00:00:00Z
5083502676,59038.7256975031,2018-12-31T00:00:00Z
5083502676,-231734.549334759,2019-12-31T00:00:00Z
5083502676,-132000.29433063,2020-12-31T00:00:00Z
5083502684,,2017-06-30T00:00:00Z
5083502684,,2018-06-30T00:00:00Z
5083502684,,2019-06-30T00:00:00Z
5083502684,-7296.51,2020-06-30T00:00:00Z
5083502684,-2848.7,2021-06-30T00:00:00Z
5083502688,-6230.22,2015-12-31T00:00:00Z
5083502688,-28922.03,2016-12-31T00:00:00Z
5083502688,5213.14,2017-12-31T00:00:00Z
5083502688,-11006.6,2018-12-31T00:00:00Z
5083502689,,2017-12-31T00:00:00Z
5083502689,1375.69,2018-12-31T00:00:00Z
5083502689,-152373.13,2019-12-31T00:00:00Z
5083502689,-200874.82,2020-12-31T00:00:00Z
5083502691,30094.1314238511,2013-12-31T00:00:00Z
5083502691,77068.7052772465,2014-12-31T00:00:00Z
5083502691,28442.0564583126,2015-12-31T00:00:00Z
5083502691,41427.9444166189,2016-12-31T00:00:00Z
5083502691,74931.5115940676,2017-12-31T00:00:00Z
5083502696,,
5083502697,-15455.25,2012-12-31T00:00:00Z
5083502697,-10873.6,2013-12-31T00:00:00Z
5083502697,9478.5,2014-12-31T00:00:00Z
5083502702,9093.75858699834,2015-12-31T00:00:00Z
5083502702,-31769.9788647801,2016-12-31T00:00:00Z
5083502702,33504.1809552066,2017-12-31T00:00:00Z
5083502702,58239.2371798277,2018-12-31T00:00:00Z
5083502707,,
5083502712,,
5083502716,,
5083502717,,2016-12-31T00:00:00Z
5083502717,,2017-12-31T00:00:00Z
5083502717,,2018-12-31T00:00:00Z
5083502717,47162.32,2019-12-31T00:00:00Z
5083502729,,
5083502738,,
5083502740,,
5083502741,,
5083502746,,
5083502748,,
5083502749,,
5083502754,,
5083502756,,
5083502757,,
5083502776,,
5083502777,,
5083502779,-81.36753013235,2020-12-31T00:00:00Z
5083502787,,
5083502788,,
5083502789,,
5083502794,21035.1923541742,2020-12-31T00:00:00Z
5083502801,,
5083502809,2630.45712955001,2016-12-31T00:00:00Z
5083502809,11177.4230696336,2017-12-31T00:00:00Z
5083502809,10464.4779634902,2018-12-31T00:00:00Z
5083502809,,2019-12-31T00:00:00Z
5083502813,,
5083502814,33509.7873551421,2016-12-31T00:00:00Z
5083502814,43728.2550768228,2017-12-31T00:00:00Z
5083502814,55472.5688793185,2018-12-31T00:00:00Z
5083502814,57759.224529596,2019-12-31T00:00:00Z
5083502827,,2016-12-31T00:00:00Z
5083502827,,2017-12-31T00:00:00Z
5083502827,,2018-12-31T00:00:00Z
5083502827,,2019-12-31T00:00:00Z
5083502827,10571.11,2020-12-31T00:00:00Z
5083502830,,2017-12-31T00:00:00Z
5083502830,,2018-12-31T00:00:00Z
5083502830,,2019-12-31T00:00:00Z
5083502830,202207.38,2020-12-31T00:00:00Z
5083502833,,2017-12-31T00:00:00Z
5083502833,,2018-12-31T00:00:00Z
5083502833,,2019-12-31T00:00:00Z
5083502833,-67174.15,2020-12-31T00:00:00Z
5083502834,67917.12,2016-12-31T00:00:00Z
5083502834,62520.39,2017-12-31T00:00:00Z
5083502834,108329.1,2018-12-31T00:00:00Z
5083502834,2116.17,2019-12-31T00:00:00Z
5083502834,-398.66,2020-12-31T00:00:00Z
5083502835,,
5083502837,,
5083508083,,
5083509975,1063142.19225235,2018-12-31T00:00:00Z
5083509975,1702867.50984056,2019-12-31T00:00:00Z
5083509975,571827.090805948,2020-12-31T00:00:00Z
5083516875,,
5083516895,,
5083517742,,
