Instrument,Labor & Related Expenses - Total,Date
5040933966,719068.197868778,2011-12-31T00:00:00Z
5040933966,712110.591724106,2012-12-31T00:00:00Z
5040933966,640235.438919748,2013-12-31T00:00:00Z
5040933966,728351.239119305,2014-12-31T00:00:00Z
5040933966,611925.329461829,2015-12-31T00:00:00Z
5040933966,587540.52491241,2016-12-31T00:00:00Z
5040933966,668127.851174369,2017-12-31T00:00:00Z
5040933966,767387.462903856,2018-12-31T00:00:00Z
5040933966,829089.900609092,2019-12-31T00:00:00Z
5040933966,804094.291768917,2020-12-31T00:00:00Z
5040934228,915811.26095365,2011-12-31T00:00:00Z
5040934228,1442979.05065409,2012-12-31T00:00:00Z
5040934228,1676296.13989044,2013-12-31T00:00:00Z
5040934228,1551088.90411224,2014-12-31T00:00:00Z
5040934228,1249704.90806606,2015-12-31T00:00:00Z
5040934228,992025.8274586,2016-12-31T00:00:00Z
5040934228,817811.741703917,2017-12-31T00:00:00Z
5040934228,1116893.09905334,2018-12-31T00:00:00Z
5040934228,1170098.47819533,2019-12-31T00:00:00Z
5040934228,,2020-12-31T00:00:00Z
5040934387,1671869.29902095,2011-12-31T00:00:00Z
5040934387,1552084.44339287,2012-12-31T00:00:00Z
5040934387,1472762.92640039,2013-12-31T00:00:00Z
5040934387,1381575.33993784,2014-12-31T00:00:00Z
5040934387,1098681.28927749,2015-12-31T00:00:00Z
5040934387,1011689.96267372,2016-12-31T00:00:00Z
5040934387,1118390.55747604,2017-12-31T00:00:00Z
5040934387,1276519.52963814,2018-12-31T00:00:00Z
5040934387,1302725.56340732,2019-12-31T00:00:00Z
5040934387,1392526.20683579,2020-12-31T00:00:00Z
5040934389,1825368.20110079,2011-12-31T00:00:00Z
5040934389,1640711.06367753,2012-12-31T00:00:00Z
5040934389,1745446.33627283,2013-12-31T00:00:00Z
5040934389,1749889.31881067,2014-12-31T00:00:00Z
5040934389,1284260.10643909,2015-12-31T00:00:00Z
5040934389,1203087.54543423,2016-12-31T00:00:00Z
5040934391,20907.3009817711,2011-12-31T00:00:00Z
5040934391,17725.3240569316,2012-12-31T00:00:00Z
5040934391,17713.3507974604,2013-12-31T00:00:00Z
5040934391,,2014-12-31T00:00:00Z
5040934391,,2015-12-31T00:00:00Z
5040934391,,2016-12-31T00:00:00Z
5040934391,,2017-12-31T00:00:00Z
5040934391,,2018-12-31T00:00:00Z
5040934391,,2019-12-31T00:00:00Z
5040934394,1004962.90439376,2010-12-31T00:00:00Z
5040934394,1081282.72000596,2011-12-31T00:00:00Z
5040934394,1242149.40818381,2012-12-31T00:00:00Z
5040934394,892821.008464304,2013-12-31T00:00:00Z
5040934440,1955815.46363662,2011-12-31T00:00:00Z
5040934440,2364007.53951524,2012-12-31T00:00:00Z
5040934440,2873139.56348423,2013-12-31T00:00:00Z
5040934440,2784479.14710514,2014-12-31T00:00:00Z
5040934440,1912592.94016436,2015-12-31T00:00:00Z
5040934440,1256836.1816889,2016-12-31T00:00:00Z
5040934440,1255842.99740406,2017-12-31T00:00:00Z
5040934440,1918345.67849956,2018-12-31T00:00:00Z
5040934440,1991112.45852135,2019-12-31T00:00:00Z
5040934440,,2020-12-31T00:00:00Z
5040934642,1114519.96772057,2011-12-31T00:00:00Z
5040934642,1071435.60755783,2012-12-31T00:00:00Z
5040934642,1068762.27167369,2013-12-31T00:00:00Z
5040934642,993842.905826255,2014-12-31T00:00:00Z
5040934642,689363.777614321,2015-12-31T00:00:00Z
5040934642,746045.372403993,2016-12-31T00:00:00Z
5040934642,659287.297769306,2017-12-31T00:00:00Z
5040934642,688927.01397234,2018-12-31T00:00:00Z
5040934642,,2019-12-31T00:00:00Z
5040934642,,2020-12-31T00:00:00Z
5040934798,279300.09773084,2011-12-31T00:00:00Z
5040934798,315441.932003453,2012-12-31T00:00:00Z
5040934798,334680.137663555,2013-12-31T00:00:00Z
5040934798,336957.948692213,2014-12-31T00:00:00Z
5040934798,583336.496275516,2015-12-31T00:00:00Z
5040934798,570855.804123822,2016-12-31T00:00:00Z
5040934798,924867.210335083,2017-12-31T00:00:00Z
5040934798,618337.205685991,2018-12-31T00:00:00Z
5040934798,298467.814405029,2019-12-31T00:00:00Z
5040934798,472174.748595437,2020-12-31T00:00:00Z
5040934829,709239.979458544,2011-12-31T00:00:00Z
5040934829,847029.563186576,2012-12-31T00:00:00Z
5040934829,975596.859306283,2013-12-31T00:00:00Z
5040934832,1260692.37971278,2011-12-31T00:00:00Z
5040934832,1138378.82171459,2012-12-31T00:00:00Z
5040934832,1169762.43535537,2013-12-31T00:00:00Z
5040935378,807849.593056876,2010-12-31T00:00:00Z
5040935378,895618.739492623,2011-12-31T00:00:00Z
5040935378,895903.272236756,2012-12-31T00:00:00Z
5040935378,864888.416822155,2013-12-31T00:00:00Z
5040935378,847090.317874332,2014-12-31T00:00:00Z
5040935378,726032.063657636,2015-12-31T00:00:00Z
5040935378,845676.990827274,2016-12-31T00:00:00Z
5040935378,924988.313806385,2017-12-31T00:00:00Z
5040935378,861466.214365626,2018-12-31T00:00:00Z
5040935378,,2019-12-31T00:00:00Z
5040935378,,2020-12-31T00:00:00Z
5040935472,,
5040935473,277691.843809165,2011-12-31T00:00:00Z
5040935473,271042.576598711,2012-12-31T00:00:00Z
5040935473,307769.470105875,2013-12-31T00:00:00Z
5040935509,2281933.61997622,2011-12-31T00:00:00Z
5040935509,2184517.1221232,2012-12-31T00:00:00Z
5040935509,2181467.27897955,2013-12-31T00:00:00Z
5040935509,2199537.97495404,2014-12-31T00:00:00Z
5040935509,1807560.05302334,2015-12-31T00:00:00Z
5040935509,1815655.15152953,2016-12-31T00:00:00Z
5040935509,1821032.89797154,2017-12-31T00:00:00Z
5040935509,2015252.94144319,2018-12-31T00:00:00Z
5040935509,2028875.91674638,2019-12-31T00:00:00Z
5040935509,1854568.45009656,2020-12-31T00:00:00Z
5040935598,2311954.35984748,2011-12-31T00:00:00Z
5040935598,2167480.16016557,2012-12-31T00:00:00Z
5040935598,1483152.48792582,2013-12-31T00:00:00Z
5040935598,1321250.79456498,2014-12-31T00:00:00Z
5040935598,1108998.12907951,2015-12-31T00:00:00Z
5040935598,1077832.96294277,2016-12-31T00:00:00Z
5040935598,1219511.95601339,2017-12-31T00:00:00Z
5040935598,1379083.81554549,2018-12-31T00:00:00Z
5040935601,,
5040935707,1601106.12646726,2011-12-31T00:00:00Z
5040935707,1562065.6938327,2012-12-31T00:00:00Z
5040935707,1444830.33475824,2013-12-31T00:00:00Z
5040935707,1436965.68766807,2014-12-31T00:00:00Z
5040935707,1169656.17514439,2015-12-31T00:00:00Z
5040935707,1216196.96891098,2016-12-31T00:00:00Z
5040935707,1274614.03545591,2017-12-31T00:00:00Z
5040935707,1310215.70990027,2018-12-31T00:00:00Z
5040935707,1279749.00147522,2019-12-31T00:00:00Z
5040935707,1278615.51528396,2020-12-31T00:00:00Z
5040935710,646710.704394598,2010-12-31T00:00:00Z
5040935710,684222.696232493,2011-12-31T00:00:00Z
