Instrument,Full-Time Employees (Pvt),Date
5040933966,3,2011-12-31T00:00:00Z
5040933966,4,2012-12-31T00:00:00Z
5040933966,7,2013-12-31T00:00:00Z
5040933966,7,2014-12-31T00:00:00Z
5040933966,8,2015-12-31T00:00:00Z
5040933966,9,2016-12-31T00:00:00Z
5040933966,9,2017-12-31T00:00:00Z
5040933966,9,2018-12-31T00:00:00Z
5040933966,8,2019-12-31T00:00:00Z
5040933966,7,2020-12-31T00:00:00Z
5040934228,14,2011-12-31T00:00:00Z
5040934228,14,2012-12-31T00:00:00Z
5040934228,17,2013-12-31T00:00:00Z
5040934228,13,2014-12-31T00:00:00Z
5040934228,14,2015-12-31T00:00:00Z
5040934228,14,2016-12-31T00:00:00Z
5040934228,14,2017-12-31T00:00:00Z
5040934228,14,2018-12-31T00:00:00Z
5040934228,14,2019-12-31T00:00:00Z
5040934228,,2020-12-31T00:00:00Z
5040934387,15,2011-12-31T00:00:00Z
5040934387,43,2012-12-31T00:00:00Z
5040934387,23,2013-12-31T00:00:00Z
5040934387,18,2014-12-31T00:00:00Z
5040934387,19,2015-12-31T00:00:00Z
5040934387,26,2016-12-31T00:00:00Z
5040934387,32,2017-12-31T00:00:00Z
5040934387,37,2018-12-31T00:00:00Z
5040934387,38,2019-12-31T00:00:00Z
5040934387,38,2020-12-31T00:00:00Z
5040934389,24,2011-12-31T00:00:00Z
5040934389,23,2012-12-31T00:00:00Z
5040934389,17,2013-12-31T00:00:00Z
5040934389,18,2014-12-31T00:00:00Z
5040934389,18,2015-12-31T00:00:00Z
5040934389,18,2016-12-31T00:00:00Z
5040934391,,
5040934394,18,2010-12-31T00:00:00Z
5040934394,16,2011-12-31T00:00:00Z
5040934394,16,2012-12-31T00:00:00Z
5040934394,16,2013-12-31T00:00:00Z
5040934440,28,2011-12-31T00:00:00Z
5040934440,29,2012-12-31T00:00:00Z
5040934440,22,2013-12-31T00:00:00Z
5040934440,24,2014-12-31T00:00:00Z
5040934440,25,2015-12-31T00:00:00Z
5040934440,30,2016-12-31T00:00:00Z
5040934440,33,2017-12-31T00:00:00Z
5040934440,33,2018-12-31T00:00:00Z
5040934440,33,2019-12-31T00:00:00Z
5040934440,27,2020-12-31T00:00:00Z
5040934642,20,2011-12-31T00:00:00Z
5040934642,20,2012-12-31T00:00:00Z
5040934642,22,2013-12-31T00:00:00Z
5040934642,20,2014-12-31T00:00:00Z
5040934642,20,2015-12-31T00:00:00Z
5040934642,22,2016-12-31T00:00:00Z
5040934642,22,2017-12-31T00:00:00Z
5040934642,22,2018-12-31T00:00:00Z
5040934642,,2019-12-31T00:00:00Z
5040934642,19,2020-12-31T00:00:00Z
5040934798,4,2011-12-31T00:00:00Z
5040934798,7,2012-12-31T00:00:00Z
5040934798,8,2013-12-31T00:00:00Z
5040934798,7,2014-12-31T00:00:00Z
5040934798,7,2015-12-31T00:00:00Z
5040934798,7,2016-12-31T00:00:00Z
5040934798,7,2017-12-31T00:00:00Z
5040934798,7,2018-12-31T00:00:00Z
5040934798,8,2019-12-31T00:00:00Z
5040934798,8,2020-12-31T00:00:00Z
5040934829,9,2011-12-31T00:00:00Z
5040934829,9,2012-12-31T00:00:00Z
5040934829,9,2013-12-31T00:00:00Z
5040934832,20,2011-12-31T00:00:00Z
5040934832,20,2012-12-31T00:00:00Z
5040934832,20,2013-12-31T00:00:00Z
5040935378,8,2010-12-31T00:00:00Z
5040935378,9,2011-12-31T00:00:00Z
5040935378,11,2012-12-31T00:00:00Z
5040935378,12,2013-12-31T00:00:00Z
5040935378,9,2014-12-31T00:00:00Z
5040935378,9,2015-12-31T00:00:00Z
5040935378,9,2016-12-31T00:00:00Z
5040935378,9,2017-12-31T00:00:00Z
5040935378,9,2018-12-31T00:00:00Z
5040935378,,2019-12-31T00:00:00Z
5040935378,,2020-12-31T00:00:00Z
5040935472,,
5040935473,4,2011-12-31T00:00:00Z
5040935473,4,2012-12-31T00:00:00Z
5040935473,4,2013-12-31T00:00:00Z
5040935509,28,2011-12-31T00:00:00Z
5040935509,29,2012-12-31T00:00:00Z
5040935509,29,2013-12-31T00:00:00Z
5040935509,26,2014-12-31T00:00:00Z
5040935509,26,2015-12-31T00:00:00Z
5040935509,30,2016-12-31T00:00:00Z
5040935509,28,2017-12-31T00:00:00Z
5040935509,29,2018-12-31T00:00:00Z
5040935509,30,2019-12-31T00:00:00Z
5040935509,30,2020-12-31T00:00:00Z
5040935598,18,2011-12-31T00:00:00Z
5040935598,18,2012-12-31T00:00:00Z
5040935598,19,2013-12-31T00:00:00Z
5040935598,24,2014-12-31T00:00:00Z
5040935598,24,2015-12-31T00:00:00Z
5040935598,23,2016-12-31T00:00:00Z
5040935598,23,2017-12-31T00:00:00Z
5040935598,23,2018-12-31T00:00:00Z
5040935601,,
5040935707,14,2011-12-31T00:00:00Z
5040935707,17,2012-12-31T00:00:00Z
5040935707,15,2013-12-31T00:00:00Z
5040935707,16,2014-12-31T00:00:00Z
5040935707,15,2015-12-31T00:00:00Z
5040935707,17,2016-12-31T00:00:00Z
5040935707,22,2017-12-31T00:00:00Z
5040935707,19,2018-12-31T00:00:00Z
5040935707,20,2019-12-31T00:00:00Z
5040935707,20,2020-12-31T00:00:00Z
5040935710,4,2010-12-31T00:00:00Z
5040935710,5,2011-12-31T00:00:00Z
5040935710,5,2012-12-31T00:00:00Z
5040935710,5,2013-12-31T00:00:00Z
5040935710,5,2014-12-31T00:00:00Z
5040935710,4,2015-12-31T00:00:00Z
5040935710,4,2016-12-31T00:00:00Z
5040935710,4,2017-12-31T00:00:00Z
5040935710,4,2018-12-31T00:00:00Z
5040935710,,2019-12-31T00:00:00Z
5040935710,,2020-12-31T00:00:00Z
5040935733,17,2011-12-31T00:00:00Z
5040935733,26,2012-12-31T00:00:00Z
5040935733,24,2013-12-31T00:00:00Z
5040935733,30,2014-12-31T00:00:00Z
5040935733,31,2015-12-31T00:00:00Z
5040935733,28,2016-12-31T00:00:00Z
5040935733,29,2017-12-31T00:00:00Z
5040935733,27,2018-12-31T00:00:00Z
5040935733,30,2019-12-31T00:00:00Z
5040935733,30,2020-12-31T00:00:00Z
5040935778,31,2011-12-31T00:00:00Z
5040935778,36,2012-12-31T00:00:00Z
5040935778,34,2013-12-31T00:00:00Z
5040935778,34,2014-12-31T00:00:00Z
5040935778,36,2015-12-31T00:00:00Z
5040935778,35,2016-12-31T00:00:00Z
5040935778,39,2017-12-31T00:00:00Z
5040935778,40,2018-12-31T00:00:00Z
5040935778,38,2019-12-31T00:00:00Z
5040935778,39,2020-12-31T00:00:00Z
5040935786,14,2011-12-31T00:00:00Z
5040935786,20,2012-12-31T00:00:00Z
5040935786,18,2013-12-31T00:00:00Z
5040935786,16,2014-12-31T00:00:00Z
5040935786,18,2015-12-31T00:00:00Z
5040935786,19,2016-12-31T00:00:00Z
5040935786,20,2017-12-31T00:00:00Z
5040935786,22,2018-12-31T00:00:00Z
5040935786,17,2019-12-31T00:00:00Z
5040935786,17,2020-12-31T00:00:00Z
5040935805,15,2010-12-31T00:00:00Z
5040935805,22,2011-12-31T00:00:00Z
5040935805,22,2012-12-31T00:00:00Z
5040935805,21,2013-12-31T00:00:00Z
5040935805,24,2014-12-31T00:00:00Z
5040935805,23,2015-12-31T00:00:00Z
5040935805,25,2016-12-31T00:00:00Z
5040935805,25,2017-12-31T00:00:00Z
5040935805,25,2018-12-31T00:00:00Z
5040935805,25,2019-12-31T00:00:00Z
5040935805,25,2020-12-31T00:00:00Z
5040935981,14,2011-12-31T00:00:00Z
5040935981,14,2012-12-31T00:00:00Z
5040935981,12,2013-12-31T00:00:00Z
5040935981,13,2014-12-31T00:00:00Z
5040935981,13,2015-12-31T00:00:00Z
5040935981,13,2016-12-31T00:00:00Z
5040935981,13,2017-12-31T00:00:00Z
5040935981,13,2018-12-31T00:00:00Z
5040935981,13,2019-12-31T00:00:00Z
5040935981,,2020-12-31T00:00:00Z
5040936224,25,2011-12-31T00:00:00Z
5040936224,76,2012-12-31T00:00:00Z
5040936224,83,2013-12-31T00:00:00Z
5040936224,54,2014-12-31T00:00:00Z
5040936224,46,2015-12-31T00:00:00Z
5040936224,52,2016-12-31T00:00:00Z
5040936224,65,2017-12-31T00:00:00Z
5040936224,60,2018-12-31T00:00:00Z
5040936224,75,2019-12-31T00:00:00Z
5040936224,75,2020-12-31T00:00:00Z
5040936236,21,2011-12-31T00:00:00Z
5040936236,25,2012-12-31T00:00:00Z
5040936236,22,2013-12-31T00:00:00Z
5040936236,23,2014-12-31T00:00:00Z
5040936236,19,2015-12-31T00:00:00Z
5040936236,17,2016-12-31T00:00:00Z
5040936236,16,2017-12-31T00:00:00Z
5040936236,18,2018-12-31T00:00:00Z
5040936236,16,2019-12-31T00:00:00Z
5040936236,16,2020-12-31T00:00:00Z
5040936237,30,2014-12-31T00:00:00Z
5040936237,28,2015-12-31T00:00:00Z
5040936237,20,2016-12-31T00:00:00Z
5040936237,21,2017-12-31T00:00:00Z
5040936237,25,2018-12-31T00:00:00Z
5040936237,24,2019-12-31T00:00:00Z
5040936237,23,2020-12-31T00:00:00Z
5040936268,,
5040936277,,
5040936425,7,2011-12-31T00:00:00Z
5040936425,13,2012-12-31T00:00:00Z
5040936425,12,2013-12-31T00:00:00Z
5040936425,10,2014-12-31T00:00:00Z
5040936425,9,2015-12-31T00:00:00Z
5040936425,9,2016-12-31T00:00:00Z
5040936425,12,2017-12-31T00:00:00Z
5040936425,10,2018-12-31T00:00:00Z
5040936425,10,2019-12-31T00:00:00Z
5040936425,10,2020-12-31T00:00:00Z
