Instrument,Cost of Operating Revenue,Date
5040933966,13229139.3699357,2011-12-31T00:00:00Z
5040933966,12659151.0966208,2012-12-31T00:00:00Z
5040933966,14315964.1786437,2013-12-31T00:00:00Z
5040933966,13890721.3700133,2014-12-31T00:00:00Z
5040933966,10548160.7522771,2015-12-31T00:00:00Z
5040933966,11713389.0530509,2016-12-31T00:00:00Z
5040933966,13666042.3225707,2017-12-31T00:00:00Z
5040933966,16038520.9534507,2018-12-31T00:00:00Z
5040933966,15695152.9613864,2019-12-31T00:00:00Z
5040933966,17826276.6222043,2020-12-31T00:00:00Z
5040934228,1870756.70066805,2011-12-31T00:00:00Z
5040934228,3020877.07277065,2012-12-31T00:00:00Z
5040934228,2511208.11690151,2013-12-31T00:00:00Z
5040934228,1870538.4095564,2014-12-31T00:00:00Z
5040934228,1561820.38689577,2015-12-31T00:00:00Z
5040934228,721018.291221111,2016-12-31T00:00:00Z
5040934228,375905.174922103,2017-12-31T00:00:00Z
5040934228,1191541.20642235,2018-12-31T00:00:00Z
5040934228,1328318.2685297,2019-12-31T00:00:00Z
5040934228,,2020-12-31T00:00:00Z
5040934387,4171274.58818362,2011-12-31T00:00:00Z
5040934387,3556078.60497509,2012-12-31T00:00:00Z
5040934387,3432983.64109243,2013-12-31T00:00:00Z
5040934387,3488636.90100894,2014-12-31T00:00:00Z
5040934387,2780326.17700634,2015-12-31T00:00:00Z
5040934387,2334311.61490048,2016-12-31T00:00:00Z
5040934387,2439629.4293833,2017-12-31T00:00:00Z
5040934387,2876719.15580881,2018-12-31T00:00:00Z
5040934387,2935085.16879092,2019-12-31T00:00:00Z
5040934387,2971703.82773121,2020-12-31T00:00:00Z
5040934389,6377262.88408075,2011-12-31T00:00:00Z
5040934389,6684512.25576111,2012-12-31T00:00:00Z
5040934389,6863412.47197369,2013-12-31T00:00:00Z
5040934389,7111133.8090326,2014-12-31T00:00:00Z
5040934389,4750221.08281805,2015-12-31T00:00:00Z
5040934389,4721895.15974738,2016-12-31T00:00:00Z
5040934391,5149450.36232221,2011-12-31T00:00:00Z
5040934391,4973588.25795515,2012-12-31T00:00:00Z
5040934391,4230084.42697815,2013-12-31T00:00:00Z
5040934391,,2014-12-31T00:00:00Z
5040934391,,2015-12-31T00:00:00Z
5040934391,,2016-12-31T00:00:00Z
5040934391,,2017-12-31T00:00:00Z
5040934391,,2018-12-31T00:00:00Z
5040934391,,2019-12-31T00:00:00Z
5040934394,4105228.7036461,2010-12-31T00:00:00Z
5040934394,5689466.29024454,2011-12-31T00:00:00Z
5040934394,4828343.8550032,2012-12-31T00:00:00Z
5040934394,3916183.41236546,2013-12-31T00:00:00Z
5040934440,960306.286119984,2011-12-31T00:00:00Z
5040934440,899000.901683598,2012-12-31T00:00:00Z
5040934440,978321.9901982,2013-12-31T00:00:00Z
5040934440,797589.173782089,2014-12-31T00:00:00Z
5040934440,589178.562187501,2015-12-31T00:00:00Z
5040934440,319274.049947332,2016-12-31T00:00:00Z
5040934440,451837.051428597,2017-12-31T00:00:00Z
5040934440,461908.222863282,2018-12-31T00:00:00Z
5040934440,779838.161418018,2019-12-31T00:00:00Z
5040934440,,2020-12-31T00:00:00Z
5040934642,3641086.87867153,2011-12-31T00:00:00Z
5040934642,3430108.3408035,2012-12-31T00:00:00Z
5040934642,3235922.61347068,2013-12-31T00:00:00Z
5040934642,3150723.94632138,2014-12-31T00:00:00Z
5040934642,2408671.34558426,2015-12-31T00:00:00Z
5040934642,2508786.12371828,2016-12-31T00:00:00Z
5040934642,2600697.04621526,2017-12-31T00:00:00Z
5040934642,2880531.49737132,2018-12-31T00:00:00Z
5040934642,,2019-12-31T00:00:00Z
5040934642,,2020-12-31T00:00:00Z
5040934798,8392583.74281934,2011-12-31T00:00:00Z
5040934798,9290823.25422935,2012-12-31T00:00:00Z
5040934798,8715138.91303128,2013-12-31T00:00:00Z
5040934798,8916731.81090529,2014-12-31T00:00:00Z
5040934798,6373321.01215231,2015-12-31T00:00:00Z
5040934798,6371179.80969928,2016-12-31T00:00:00Z
5040934798,7224548.68400546,2017-12-31T00:00:00Z
5040934798,7794147.85639753,2018-12-31T00:00:00Z
5040934798,7360461.99319719,2019-12-31T00:00:00Z
5040934798,8129575.67487978,2020-12-31T00:00:00Z
5040934829,1769972.7882431,2011-12-31T00:00:00Z
5040934829,2348863.57333067,2012-12-31T00:00:00Z
5040934829,2801264.23620992,2013-12-31T00:00:00Z
5040934832,5435362.17061994,2011-12-31T00:00:00Z
5040934832,4111758.90963366,2012-12-31T00:00:00Z
5040934832,4665424.08696189,2013-12-31T00:00:00Z
5040935378,3621314.6954103,2010-12-31T00:00:00Z
5040935378,3672715.87246446,2011-12-31T00:00:00Z
5040935378,3847427.8635031,2012-12-31T00:00:00Z
5040935378,3800024.7080975,2013-12-31T00:00:00Z
5040935378,2952082.69928884,2014-12-31T00:00:00Z
5040935378,2171881.22723675,2015-12-31T00:00:00Z
5040935378,2556814.284274,2016-12-31T00:00:00Z
5040935378,2702787.27252303,2017-12-31T00:00:00Z
5040935378,2314583.24347972,2018-12-31T00:00:00Z
5040935378,,2019-12-31T00:00:00Z
5040935378,,2020-12-31T00:00:00Z
5040935472,,
5040935473,6863312.95818689,2011-12-31T00:00:00Z
5040935473,7826677.06902183,2012-12-31T00:00:00Z
5040935473,7641096.7002545,2013-12-31T00:00:00Z
5040935509,4207192.25910102,2011-12-31T00:00:00Z
5040935509,3381062.5412285,2012-12-31T00:00:00Z
5040935509,3527511.6189058,2013-12-31T00:00:00Z
5040935509,3800923.86148798,2014-12-31T00:00:00Z
5040935509,2816497.26595076,2015-12-31T00:00:00Z
5040935509,3002177.15275223,2016-12-31T00:00:00Z
5040935509,3168672.32662268,2017-12-31T00:00:00Z
5040935509,3952537.34899518,2018-12-31T00:00:00Z
5040935509,3946508.87522747,2019-12-31T00:00:00Z
5040935509,4080946.51699991,2020-12-31T00:00:00Z
5040935598,3420756.09140209,2011-12-31T00:00:00Z
5040935598,2651914.98754676,2012-12-31T00:00:00Z
5040935598,914281.41423815,2013-12-31T00:00:00Z
5040935598,808253.407396816,2014-12-31T00:00:00Z
5040935598,730258.238998222,2015-12-31T00:00:00Z
5040935598,584441.933908815,2016-12-31T00:00:00Z
5040935598,745512.96933649,2017-12-31T00:00:00Z
5040935598,1054419.88893232,2018-12-31T00:00:00Z
5040935601,,
5040935707,4808679.22580736,2011-12-31T00:00:00Z
5040935707,3895785.30097881,2012-12-31T00:00:00Z
5040935707,3919760.1466611,2013-12-31T00:00:00Z
5040935707,3789941.29254147,2014-12-31T00:00:00Z
5040935707,3147630.5338131,2015-12-31T00:00:00Z
5040935707,2654658.25404136,2016-12-31T00:00:00Z
