Instrument,Total Assets,Date
5062141525,,
5062141531,,
5062141606,,
5062141620,,
5062141622,,
5062141682,,
5062141725,,
5062141750,,
5062141836,,
5062141849,,
5062141853,,
5062141890,,
5062141903,,
5062141930,,
5062141990,,
5062142061,,
5062142072,,
5062142091,,
5062142148,,
5062142181,,
5062142221,,
5062142291,,
5062142378,,
5062142380,,
5062142502,,
5062142532,,
5062142566,,
5062142571,,
5062142630,,
5062142636,,
5062142644,,
5062142688,,
5062142731,,
5062142734,,
5062142743,,
5062142760,,
5062142802,,
5062142830,,
5062142833,,
5062142911,,
5062142915,,
5062142930,,
5062142945,,
5062142948,,
5062142957,,
5062143076,,
5062143129,,
5062143137,,
5062165127,13439896.830245,2015-12-31T00:00:00Z
5062165127,14971633.6690981,2016-12-31T00:00:00Z
5062165127,14795296.6979408,2017-12-31T00:00:00Z
5062165127,14024216.6066654,2018-12-31T00:00:00Z
5062165175,18751881.4403149,2016-12-31T00:00:00Z
5062165175,19980138.9058121,2017-12-31T00:00:00Z
5062165175,19255212.0110665,2018-12-31T00:00:00Z
5062348416,,
5062348482,,
5062348488,,
5062348740,,
5062348741,,
5062348831,,
5062348838,,
5062348839,,
5062348840,,
5062349165,,
5062351391,,
5062351433,,
5062351441,,
5062351467,,
5062351469,,
5062351486,,
5062351525,,
5062351534,,
5062351538,,
5062351689,,
5062351704,,
5062351706,,
5062351713,,
5062351724,,
5062351760,,
5062351824,,
5062351825,,
5062351829,,
5062388231,976579.229122056,2014-12-31T00:00:00Z
5062388231,1230344.57793163,2015-12-31T00:00:00Z
5062388231,1450156.30427232,2016-12-31T00:00:00Z
5062388231,474838.552455221,2017-12-31T00:00:00Z
5062388231,1164527.07004526,2018-12-31T00:00:00Z
5062388231,205048.756037547,2019-12-31T00:00:00Z
5062388231,299140.815351077,2020-12-31T00:00:00Z
5062388318,25311429.3361884,2014-12-31T00:00:00Z
5062388318,22078893.1876287,2015-12-31T00:00:00Z
5062388318,21984948.4774806,2016-12-31T00:00:00Z
5062388318,23405263.7991958,2017-12-31T00:00:00Z
5062388318,22834570.0163219,2018-12-31T00:00:00Z
5062388318,22379249.065889,2019-12-31T00:00:00Z
5062388318,23151703.7969666,2020-12-31T00:00:00Z
5062388420,6022.48394004283,2014-12-31T00:00:00Z
5062388420,936220.276476844,2015-12-31T00:00:00Z
5062388420,7679518.35127938,2016-12-31T00:00:00Z
5062388447,2264320.12847966,2014-12-31T00:00:00Z
5062388447,2097558.76829793,2015-12-31T00:00:00Z
5062388447,5680444.59881904,2016-12-31T00:00:00Z
5062388447,5811867.91763129,2017-12-31T00:00:00Z
5062388447,5663699.39921516,2018-12-31T00:00:00Z
5062388447,1906611.68322246,2019-12-31T00:00:00Z
5062388447,2295550.19293767,2020-12-31T00:00:00Z
5062388646,1641193.79014989,2014-12-31T00:00:00Z
5062388646,1880811.78307202,2015-12-31T00:00:00Z
5062388646,2375477.59638763,2016-12-31T00:00:00Z
5062388646,2301206.28731571,2017-12-31T00:00:00Z
5062388646,1886742.21815782,2018-12-31T00:00:00Z
5062388646,1778114.46277226,2019-12-31T00:00:00Z
5062388646,1978223.10821996,2020-12-31T00:00:00Z
5062388819,12570931.4775161,2014-12-31T00:00:00Z
5062388819,17577547.0033259,2015-12-31T00:00:00Z
5062388819,2499478.98575894,2016-12-31T00:00:00Z
5062389008,15231664.882227,2014-12-31T00:00:00Z
5062389008,16651621.0773999,2015-12-31T00:00:00Z
5062389008,19745166.1456524,2016-12-31T00:00:00Z
5062389008,26113805.2881686,2017-12-31T00:00:00Z
5062389008,30898167.548358,2018-12-31T00:00:00Z
5062389008,35974665.0870318,2019-12-31T00:00:00Z
5062389024,24424919.7002141,2014-12-31T00:00:00Z
5062389024,21282381.9543429,2015-12-31T00:00:00Z
5062389024,16877966.8866505,2016-12-31T00:00:00Z
5062389024,17842817.1073474,2017-12-31T00:00:00Z
5062389024,17629388.6811673,2018-12-31T00:00:00Z
5062389024,8104552.08238403,2019-12-31T00:00:00Z
5062389024,8290956.99413609,2020-12-31T00:00:00Z
5062389128,23697671.3062099,2014-12-31T00:00:00Z
5062389128,22992375.3931084,2015-12-31T00:00:00Z
5062389128,21425842.3063564,2016-12-31T00:00:00Z
5062389128,22143536.0058487,2017-12-31T00:00:00Z
5062389128,393346.22107493,2018-12-31T00:00:00Z
5062389128,12025653.8776998,2019-12-31T00:00:00Z
5062389128,20927849.4736474,2020-12-31T00:00:00Z
5062455107,7577167.99814751,2016-12-31T00:00:00Z
5062455107,8196539.53941757,2017-12-31T00:00:00Z
5062455107,8759419.82011182,2018-12-31T00:00:00Z
5062455107,7735919.98541875,2019-12-31T00:00:00Z
5062455107,9345644.03875074,2020-12-31T00:00:00Z
5062459910,2341632.36622829,2011-12-31T00:00:00Z
5062459910,1764875.06740967,2012-12-31T00:00:00Z
5062459910,1694607.91586305,2013-12-31T00:00:00Z
5063190558,,
5063190685,,
5063190729,,
5063190802,,
5063190836,,
5063190852,,
5063190854,,
5063190866,,
5063190870,143636911.134904,2014-12-31T00:00:00Z
5063190870,121468924.636304,2015-12-31T00:00:00Z
5063190870,124370846.358689,2016-12-31T00:00:00Z
5063190870,130274034.360911,2017-12-31T00:00:00Z
5063190870,61966962.6216908,2018-12-31T00:00:00Z
5063190870,938211.974847352,2019-12-31T00:00:00Z
5063190870,965387.798878513,2020-12-31T00:00:00Z
5063190878,,
5063190914,,
5063190951,,
5063190989,,
5063191024,,
5063191037,,
5063191091,,
5063191175,,
5063191184,,
5063191219,3598902.56959315,2014-12-31T00:00:00Z
5063191219,7724496.02932193,2015-12-31T00:00:00Z
5063191219,9557253.67604492,2016-12-31T00:00:00Z
5063191219,8907883.51407335,2017-12-31T00:00:00Z
5063191219,8143817.93556901,2018-12-31T00:00:00Z
