Instrument,Total Fixed Assets - Net,Date
5060878879,54112.1917103232,
5060878879,41216.7189437596,
5060878879,23739.7296655065,
5060878879,28766.9358071351,
5060878879,11568.4569594007,
5060878879,4124.27184466019,
5060878879,,
5060878879,,
5060878879,1545.17631403859,
5060878879,1258.85904801208,
5060878879,10732.7586206897,
5060878879,8260.45752810067,
5060878879,43228.7365813377,
5060878879,1476.3356724884,
5060878880,,
5060878880,79434.5049609457,
5060878880,74136.1299722352,
5060878880,56489.4453517208,
5060878880,40894.4299041062,
5060878880,1297.17199327166,
5060878880,957.750026991039,
5060878880,416.21937792458,
5060878880,1034.08963522633,
5060878900,29690.8195985801,
5060878900,32825.1513604202,
5060878900,31450.4969178513,
5060878900,32210.9603160969,
5060878900,13377.0316366798,
5060878900,12944.9838187702,
5060878900,13194.0046442896,
5060878915,,
5060878919,24046.9246908856,
5060878919,118445.225764097,
5060878919,92401.6997246334,
5060878919,74674.0966615129,
5060878919,44239.836800214,
5060878919,24106.2265372168,
5060878919,41823.0156217015,
5060878919,33069.6594001704,
5060878919,,
5060878919,16203.6685092473,
5060878919,41012.4053826745,
5060878919,38903.6359928504,
5060878919,548.100743187448,
5060878919,660.269488599422,
5060878928,32152.8570613084,
5060878928,31771.9849954874,
5060878928,32973.0421929196,
5060878928,30708.4151128557,
5060878928,30154.3846030301,
5060878928,28969.1152456508,
5060878928,,
5060878928,,
5060878928,25179.8227477452,
5060878928,25319.3270700351,
5060878928,26612.5088589653,
5060878928,26153.1452052886,
5060878928,24553.3456843941,
5060878928,26400.7663553592,
5060878938,38884.7996199575,
5060878938,83737.8948136261,
5060878938,89073.4543828015,
5060878938,4.29479470881292,
5060878938,4.01310949100395,
5060878938,3.88349514563107,
5060878938,3.95820139328689,
5060878938,2792.97358220854,
5060878938,1572.61235105547,
5060878938,613.590208620671,
5060878938,816.862910008411,
5060878938,653.782944062571,
5060878938,442.701165244518,
5060878938,270.161199919288,
5060878938,117.244748412311,
5060878939,48714.3102559698,
5060878939,35032.1583840546,
5060878942,7059.00240006082,
5060878942,6850.08410428932,
5060878942,18.1499742085628,
5060878942,7454.81236810717,
5060878942,7286.50539201399,
5060878943,,
5060878944,,
5060878948,33649.5955450575,
5060878948,37201.8382084762,
5060878948,35643.8965068981,
5060878948,36505.7550249098,
5060878948,34111.4306735335,
5060878948,33009.7087378641,
5060878948,,
5060878948,,
5060878948,,
5060878948,27693.0094156232,
5060878948,26808.2422203532,
5060878948,30589.844171735,
5060878948,29245.8023671897,
5060878948,28585.5211532857,
5060878948,31143.13629702,
5060878952,,
5060878953,3267.92617988183,
5060878953,2388.83996589368,
5060878953,51404.483765676,
5060878953,7152.6988161327,
5060878953,11883.4951456311,
5060878953,,
5060878953,,
5060878953,8619.12538559245,
5060878953,6144.59008916063,
5060878953,2691.33725820017,
5060878953,25739.8543683497,
5060878953,17687.4025139921,
5060878953,17655.7630652647,
5060878961,,
5060878963,16868.7401855346,
5060878963,20179.8818294551,
5060878963,20886.3448931382,
5060878963,35953.702113039,
5060878963,12646.7125944753,
5060878963,9330.12297734628,
5060878963,6870.77791851383,
5060878963,,
5060878963,,
5060878963,,
5060878963,1.57695542472666,
5060878963,1.79940259833735,
5060878963,13070.5798697128,
5060878963,9827.25377216779,
5060878963,7494.50415241817,
5060878964,16494.899776989,
5060878964,18236.1952002334,
5060878964,17472.4982876952,
5060878964,17894.9779533872,
5060878964,,
5060878964,,
5060878964,,
5060878964,,
5060878964,,
5060878964,,
5060878964,,
5060878964,,
5060878964,,
5060878964,,
5060878969,44148.8657086585,
5060878969,44690.5131323297,
5060878969,47269.4267880662,
5060878969,46039.6762758344,
5060878969,45270.213592233,
5060878969,44783.7370698755,
5060878971,,
5060878973,,
5060878979,227771.128455759,
5060878979,248161.208258202,
5060878979,174679.321995075,
5060878979,96600.8962611197,
5060878979,237332.038834951,
5060878979,313849.746675111,
5060878979,280018.968029249,
5060878979,287633.932135729,
5060878979,442304.275583454,
5060878979,395833.263246426,
5060878979,464706.037595518,
5060878979,804191.439581613,
5060878979,605538.416698428,
5060878979,,
5060878980,26392.8425330888,
5060878980,19281.9753446641,
5060878980,10260.4939824716,
5060878980,2100.15461260952,
5060878980,2814.52745635743,
5060878980,,
5060878980,,
5060878980,,
5060878980,,
5060878980,5168.25403720637,
5060878980,666.526492851136,
5060878980,860.114442005254,
5060878980,3591.79741260666,
5060878980,849.942828957694,
5060878983,,
5060878984,4337.29666642352,
5060878984,63380.439188717,
5060878984,49410.1815266564,
5060878984,30898.2676744031,
5060878984,6164.84142394822,
5060878984,2467.27886848216,
5060878984,1056.98655744014,
5060878984,,
5060878984,5618.84645040779,
5060878984,405.803195962994,
5060878984,1353.15075394969,
5060878984,,
5060878984,3540.12061968926,
5060878984,3423.30239374695,
5060878996,16494.899776989,
5060878996,18236.1952002334,
5060878996,17472.4982876952,
5060878996,17894.9779533872,
5060878996,,
5060878996,,
5060878996,,
5060878996,,
5060878996,,
5060878996,,
5060878996,,
5060878996,,
5060878996,,
5060878996,,
5060878997,40161.7819770127,
5060878997,44795.3898898534,
5060878997,4.19339958904684,
5060878997,4.29479470881292,
5060878997,4.01310949100395,
5060878997,47704.996763754,
5060878997,,
5060878997,,
5060878997,3.62910542551261,
5060878997,3.25800110772038,
5060878997,44493.5029436501,
5060878997,50769.8084236034,
5060878997,,
5060878997,49850.9965697375,
5060878997,24604.5798729849,
5060878998,7492.7599346761,
5060878998,16437.6472888001,
5060878998,16387.7628259041,
5060878998,24223.5217907655,
5060878998,17036.7694283879,
5060879006,,
5060879006,,
5060879006,,
5060879006,,
5060879006,1.13542526837325,
5060879006,,
5060879007,16494.899776989,
5060879007,18236.1952002334,
5060879007,17472.4982876952,
5060879007,17894.9779533872,
5060879007,,
5060879007,,
5060879007,,
5060879007,,
5060879007,,
5060879007,,
5060879007,,
5060879007,,
5060879007,,
5060879007,,
5060879010,,
5060879011,9957.0555857981,
5060879011,1166.3643965639,
5060879011,6036.85870479395,
5060879011,21699.6437182855,
5060879011,7471.13267272227,
5060879011,39351.321659978,
5060879020,,
5060879025,3029.13659096607,
5060879025,4665.31475672916,
5060879025,4866.37033309571,
5060879025,5604.54961919487,
5060879025,3920.84810380577,
5060879025,4278.12297734628,
5060879025,,
5060879025,,
5060879025,315.732172019597,
5060879025,852.890389982733,
5060879025,2573.67535744323,
5060879025,1768.2129532995,
5060879025,1414.12056151941,
5060879025,1113.15382373383,
5060879033,1531701.29112262,
5060879033,1154205.30884388,
5060879033,1094737.63099124,
5060879033,1373135.49595345,
5060879033,995957.216828479,
5060879033,1101169.10755753,
5060879033,1442617.27190258,
5060879033,1114238.5290026,
5060879033,645135.945526221,
5060879033,649374.358704794,
5060879033,829758.544163338,
5060879033,578088.012661712,
5060879033,486399.984305988,
5060879035,261949.196902727,
5060879035,211900.756938604,
5060879035,9980.158587349,
5060879037,86096.0531003814,
5060879037,118737.31125538,
5060879037,110600.131393187,
5060879037,143936.179350627,
5060879037,152408.90910307,
5060879037,174574.213592233,
5060879037,192005.317183872,
5060879037,40271.6551667262,
5060879037,111199.322566987,
5060879037,95918.3870722516,
5060879037,50216.7262405383,
5060879037,86765.3219131249,
5060879037,108339.859161391,
5060879037,85636.2240208058,
5060879038,,
5060879041,16867.4205935525,
5060879041,18648.0414326355,
5060879041,17867.0971890245,
5060879041,18299.1181354865,
5060879041,,
5060879041,,
5060879041,,
5060879041,,
5060879041,,
5060879041,,
5060879041,,
5060879041,,
5060879041,,
5060879041,,
5060879060,,
5060879069,29518.856225837,
5060879069,20575.4742036035,
5060879069,22334.3640840635,
5060879069,16246.4049227476,
5060879069,10796.1165048544,
5060879069,,
5060879069,,
5060879069,,
5060879069,,
5060879069,897.813288477713,
5060879069,431.856623600965,
5060879069,49714.423341591,
5060879069,89495.9419769971,
5060879069,,
5060879074,288761.353855132,
5060879074,268760.417103479,
5060879074,275258.961804959,
5060879074,387636.037723229,
5060879074,271790.30420712,
5060879074,251912.391809162,
5060879074,242862.385573302,
5060879074,210172.745418254,
5060879074,171161.531694921,
5060879074,152766.211101766,
5060879074,153063.986756397,
5060879074,145340.822552528,
5060879074,181572.640853754,
5060879079,33883.1633258996,
5060879079,23489.6783135167,
5060879079,10080.9326120686,
5060879079,173.223386588788,
5060879079,20.0655474550197,
5060879079,19.4174757281553,
5060879079,,
5060879079,,
5060879079,241.940361700841,
5060879079,16.2900055386019,
5060879079,15.7695542472666,
5060879079,17.9940259833735,
5060879079,1.14689421047803,
5060879079,1.12100082954061,
5060879095,57085.2238576481,
5060879095,61477.6527515318,
5060879095,59931.5229750518,
5060879095,60473.5145631068,
5060879109,32501.8624906333,
5060879109,48742.8301093356,
5060879109,200517.052338624,
5060879109,187540.313331498,
5060879109,133090.834697218,
5060879109,76781.6805080606,
5060879114,,
5060879114,,
5060879114,,
5060879114,,
5060879114,57344.7105239013,
5060879114,56050.0414770307,
5060879114,61064.9731314118,
5060879118,,
5060879118,11076.5956060425,
5060879118,10937.1530698066,
5060879118,12729.5617854872,
5060879118,12413.6618038352,
5060879118,12376.062148286,
5060879118,13753.0410356619,
5060879130,,
5060879131,,
5060879135,,
5060879135,5128.09374355187,
5060879135,3768.92346509672,
5060879135,57909.6220054942,
5060879135,58033.3516836407,
5060879135,66716.151379952,
5060879146,15121.2726063025,
5060879146,2198.06474734201,
5060879146,1844.16526492851,
5060879146,996.761075322993,
5060879146,5069.65088540233,
5060879146,4624.25173194628,
5060879148,441595.221677857,
5060879148,340146.610049847,
5060879148,188615.15979815,
5060879148,38410.3837525941,
5060879148,347287.813102119,
5060879154,,
5060879154,689.588514460095,
5060879154,104082.327586207,
5060879154,124061.815477262,
5060879154,102141.698779705,
5060879154,65397.3947940722,
5060879155,,
5060879161,79.9408822791993,
5060879161,145.889561601867,
5060879161,139.779986301561,
5060879161,143.159823627097,
5060879161,133.770316366798,
5060879161,129.449838187702,
5060879161,131.940046442896,
5060879161,137.449487313412,
5060879161,120.97018085042,
5060879161,108.600036924013,
5060879161,105.130361648444,
5060879161,119.96017322249,
5060879161,114.689421047803,
5060879161,112.100082954061,
5060879163,,
5060879163,,
5060879163,,
5060879163,,
5060879163,,
5060879163,,
5060879163,,
5060879163,,
5060879163,25223.2708159121,
5060879163,,
5060879163,,
5060879163,,
5060879163,,
5060879173,,
5060879173,600.294365012616,
5060879173,449.850649584338,
5060879173,205.294063675567,
5060879173,74234.9169338385,
5060879173,77619.6873473376,
5060879174,,
5060879184,,
5060879186,,
5060879187,,
5060879191,,
5060879191,,
5060879191,,
5060879191,1237.9889876561,
5060879191,2616.06569410038,
5060879191,66290.3840548842,
5060879191,52501.2212994626,
5060879192,,
5060879193,47268.217959005,
5060879193,45288.7155617059,
5060879193,46383.7828551795,
5060879193,43341.5825028426,
5060879193,41941.7475728155,
5060879193,,
5060879193,,
5060879193,,
